Kinase Uniprot ID,Kinase Name,Mean Specificity Score,Mean Significance Score,Mean Final Score,Median Final score,Mean Kinase Statistic,Median Kinase Statistic,SD Kinase Statitistic,Mean peptide set size
P31749,Akt1/PKB[alpha],0.04930729268743,0.110340650031677,0.159647942719107,0.170891864593597,-0.0505049911851415,-0.0495741395537787,0.00482727016772014,25.7777777777778
Q05655,PKC[delta],0.0633461942777388,0.103301832516855,0.166648026794594,0.168166045298215,-0.0517438735311394,-0.0511968293412079,9.9851521299403e-4,22.7777777777778
P51812,RSK2,0.0718257048283433,0.0966663276715049,0.168492032499848,0.164672231748191,-0.0376025412825775,-0.0376025412825775,0,9
P31751,Akt2/PKB[beta],0.0638252748325018,0.109983498720499,0.173808773553,0.152136263714527,-0.0526113722478765,-0.0524009170124477,0.00517455287717645,23.8888888888889
Q9UBS0,p70S6K[beta],0.0754944533514038,0.0981028146813655,0.173597268032769,0.151796098767246,-0.048610806930935,-0.0479315688391477,0.0111601294342806,21.2222222222222
O94921,PFTAIRE1,0.0879909508501106,0.0509500009101191,0.13894095176023,0.140476306979212,-0.030966186048735,-0.030966186048735,0,3
P49841,GSK3[beta],0.0795924521223634,0.0633164662339706,0.142908918356334,0.140275830543637,-0.0311025422279497,-0.0311025422279497,0,5
P51817,PRKX,0.0482313921472546,0.100108505626423,0.148339897773678,0.125634164269951,-0.0492686756503325,-0.0495930867467731,0.00875096709246008,28.3333333333333
Q15349,RSK1/p90RSK,0.0449378786237018,0.0660292183461604,0.110967096969862,0.115317895793975,-0.0202482682576902,-0.0202482682576902,0,6
Q15139,PKD1,0.0492320723807655,0.0568848347053962,0.106116907086162,0.107237765384183,-0.0187938133503828,-0.0187938133503828,0,5
Q9UKE5,TNIK/ZC2,0.0578313527268096,0.0388733684719625,0.0967047211987721,0.0962178107823391,-0.0221448851466037,-0.0221448851466037,0,3
Q13976,PKG1,0.0141245188833804,0.0885359807137344,0.102660499597115,0.088616510305771,-0.0434747551946877,-0.0416528200843454,0.00681160371246755,33.7777777777778
P17612,PKA[alpha],0.00135618514180177,0.0886251299763305,0.0899813151181323,0.0875611161487056,-0.0437361754465021,-0.0472063742617665,0.00609120941246362,45.8888888888889
O75116,ROCK2,0.0470195919064812,0.0363429737126386,0.0833625656191198,0.0867924644226345,-0.00506366022562546,-0.00487122791238356,0.0220145796905125,4.4
Q15131,CDK10,0.0479873713559338,0.0317929954977349,0.0797803668536687,0.0839631744037702,-0.0201467060696017,-0.0249187227012847,0.00962221356504041,5
Q13237,PKG2,0.00370189503181131,0.0598509852041927,0.063552880236004,0.0658450802259582,-0.0312284371637831,-0.0374651201327471,0.0118431366495833,31.1111111111111
Q9UQM7,CaMK2[alpha],0.0400273615495888,0.0209728648912252,0.061000226440814,0.0623216592944321,0.0148680236544233,0.0148680236544233,0,3
P53355,DAPK1,0.00788941293808182,0.00745210031238523,0.015341513250467,0.015341513250467,0.00448586690450478,0.00448586690450478,0,3
