Kinase Uniprot ID,Kinase Name,Mean Specificity Score,Mean Significance Score,Mean Final Score,Median Final score,Mean Kinase Statistic,Median Kinase Statistic,SD Kinase Statitistic,Mean peptide set size
Q8IWB6,SgK307,2.04828413423557,0.77705739345157,2.82534152768714,3.00348832784582,-0.225754497808871,-0.248016609303714,0.0464415495076779,4.11111111111111
P11802,CDK4,2.40613847691214,0.519357763002268,2.92549623991441,2.90657831483776,-0.213382929645866,-0.21679976275736,0.0102504993344814,6.11111111111111
Q96S38,RSKL1,1.8952913462883,0.775587808352269,2.67087915464056,2.65862790601613,-0.270983965232478,-0.270983965232478,0,3
Q00526,CDK3,1.89333699526754,0.470829922130749,2.36416691739829,2.51257878864053,-0.164407265688779,-0.183054750818778,0.0321246726044973,9.77777777777778
P06493,CDC2/CDK1,1.89313261147012,0.386871707104259,2.28000431857438,2.20844969497267,-0.149627679681086,-0.146577893461548,0.0126499607026451,12.4444444444444
Q13535,ATR,1.72592053750186,0.404963668349535,2.1308842058514,2.16494389827988,-0.17254420425622,-0.171831659328587,0.00213763478290114,6.88888888888889
Q13164,ERK5,1.84263438503646,0.468648106308442,2.31128249134491,2.11599807523121,-0.162228421120445,-0.154653445059166,0.0193446024713302,9.88888888888889
P48729,CK1[alpha],1.46108063747023,0.41980195625183,1.88088259372206,2.03114362538531,-0.151374497525098,-0.146633847264688,0.020451592706005,8.88888888888889
P45983,JNK1,1.5766089127176801,0.322973829174203,1.89958274189188,1.99293534362167,-0.123532424568149,-0.125476262742717,0.00538587774842682,20.4444444444444
P53779,JNK3,1.49990287696436,0.3173132324749,1.81721610943926,1.99293534362167,-0.121725180205168,-0.125476262742717,0.00710623951156935,20
P53778,p38[gamma],1.32958022941266,0.473485399206916,1.80306562861957,1.89633308625321,-0.150931053825334,-0.149534313636565,0.0197981829239355,8.22222222222222
Q00535,CDK5,1.5153087639368,0.351754457342921,1.86706322127972,1.89496694960641,-0.156453001170883,-0.156453001170883,0,8
P27361,ERK1,1.23120443067504,0.300372263053379,1.53157669372842,1.8770636269837,-0.116411153865311,-0.127186338288077,0.0147677009787059,16
P24941,CDK2,1.1540681015417,0.306791841142244,1.46085994268394,1.51987802738203,-0.125021339325382,-0.125634444232996,0.00969841277680202,13.5555555555556
Q8NI60,ADCK3,0.908284711857439,0.348709932639208,1.25699464449665,1.43823098442561,-0.117487719193365,-0.12834940891938,0.0252280653374623,8.77777777777778
P50613,CDK7,0.956745667787157,0.276748422679664,1.23349409046682,1.33799812061008,-0.118616682197509,-0.120214480993955,0.010015020281126,10.6666666666667
Q00534,CDK6,1.04069000886747,0.303803221282991,1.34449323015046,1.32934602769539,-0.147327191133185,-0.146467018756203,0.00258051713094392,4.88888888888889
Q9BWU1,CDK11,1.03706137833206,0.310578430865534,1.34763980919759,1.32864199655651,-0.154208570149035,-0.154208570149035,0,4
O14965,AurA/Aur2,0.885061201207327,0.307736796801158,1.19279799800849,1.26004811042468,-0.13999617939581,-0.144036108277722,0.0121197866457378,4.11111111111111
P28482,ERK2,0.835966232065192,0.28230020207953,1.11826643414472,1.11631585723184,-0.109120162556102,-0.107526642842908,0.0120148731355519,14.8888888888889
O76039,CDKL5,0.762341811669924,0.280999742362376,1.0433415540323,0.986454988547041,-0.12911509633106,-0.126938269742736,0.002716333859159,4.42857142857143
Q13627,DYRK1A,0.671669577737171,0.301527209754234,0.973196787491405,0.970867180019944,-0.128829583478161,-0.128829583478161,0,3
P50750,CDK9,0.741370537864764,0.238564155297404,0.979934693162168,0.969967295063829,-0.116037771280507,-0.114364326762319,0.00251016677728175,7.66666666666667
Q96GD4,AurB/Aur1,0.730937335209942,0.256272973545938,0.98721030875588,0.967606905292005,-0.126892724003198,-0.121186934901998,0.0141860294147534,4.11111111111111
Q13153,PAK1,0.572616460079111,0.371169962649027,0.943786422728138,0.932081478663575,-0.105479397695666,-0.105479397695666,0,6
Q92772,CDKL2,0.657577319177794,0.241088107602027,0.89866542677982,0.89866542677982,-0.125765942127433,-0.125765942127433,NA,4
Q16539,MAPK14,0.58659259287341,0.201798278507014,0.788390871380424,0.820896521755453,-0.0973934070937045,-0.0989436364348706,0.00781417502409736,10.6666666666667
Q05513,PKC[zeta],0.482119997602867,0.204242442560182,0.68636244016305,0.736468079905419,-0.091509400197296,-0.0962211836104578,0.00957238009921671,9.55555555555556
P05771,PKC[beta],0.520015116066854,0.213525358866202,0.733540474933055,0.730599146241321,-0.0939924217540325,-0.0939924217540325,0,10
Q16512,PKN1/PRK1,0.378032152715048,0.206220619576267,0.584252772291315,0.707062001545891,-0.0837519548622276,-0.0963333934611286,0.0170986508300312,7
P45984,JNK2,0.458967628588493,0.184433308136902,0.643400936725395,0.694270400110964,-0.0849860267232913,-0.0890011573001405,0.0106698697901771,16.2222222222222
Q8TD08,ERK7,0.408935392973501,0.275724130399211,0.684659523372712,0.684659523372712,-0.0913508620108643,-0.0913508620108643,NA,4
Q86V86,Pim3,0.426169422525162,0.185126677912477,0.611296100437639,0.615395724662028,-0.079218555483967,-0.0797292019708646,0.00359136644004075,54.5555555555556
P68400,CK2[alpha]1,0.40471360294307,0.204634737274168,0.609348340217238,0.611323437446512,-0.0981339915682553,-0.0981339915682553,0,3
Q14164,IKK[epsilon],0.38762711058614,0.217718345084635,0.605345455670775,0.603835537396182,-0.08823206908911,-0.0871612356321303,0.00466955740121915,6
Q00537,PCTAIRE2,0.413412695328245,0.188424994129407,0.601837689457652,0.601837689457652,-0.0943072990442462,-0.0943072990442462,NA,3
P11309,Pim1,0.360648624850836,0.177454296496647,0.538102921347483,0.601046662526012,-0.0776715180127003,-0.0791586037727899,0.00193985854225932,58.1111111111111
Q9UIK4,DAPK2,0.448559472259197,0.202747452330781,0.651306924589978,0.581701887270439,-0.0943115816863131,-0.087296511150048,0.0171833433234817,4.83333333333333
O14757,CHK1,0.384610823033625,0.161050282396108,0.545661105429733,0.553873090099802,-0.0840766667726481,-0.0853743478807376,0.00376371239077774,7.88888888888889
O15264,p38[delta],0.368807085725866,0.177282597183939,0.546089682909805,0.553276480431798,-0.0809345435317541,-0.0824349328785786,0.00335927120853447,13.4444444444444
P16066,ANP[alpha],0.334349100067869,0.20036106101518,0.534710161083049,0.527647325115485,-0.0774463778549854,-0.0764869914733824,0.00634705904451764,21.5555555555556
O15075,DCAMKL1,0.353606232400835,0.172863586451145,0.52646981885198,0.52646981885198,-0.0877636568143453,-0.0877636568143453,0,3
O14920,IKK[beta],0.284039572223392,0.199217577152934,0.483257149376326,0.523783018573281,-0.0770243404863117,-0.0837566939618001,0.0150540000197489,3.2
Q9UHD2,TBK1,0.388090739252646,0.174653586862828,0.562744326115474,0.499664708343053,-0.0843796000628143,-0.0802076579180842,0.0216820695961135,3.88888888888889
Q13464,ROCK1,0.261120229264774,0.133274141308194,0.394394370572968,0.48344876175535,-0.0671635216978538,-0.0800529741689988,0.017649609680842,4.4
P49674,CK1[epsilon],0.302770657240282,0.141462802430361,0.444233459670643,0.444233459670643,-0.0820533542464751,-0.0820533542464751,NA,3
Q00532,CDKL1,0.246645080731986,0.127085605191544,0.37373068592353,0.432437276064933,-0.0662932016959854,-0.0743311039441504,0.0179159117315335,5.6
P41279,COT,0.278232754358666,0.145613243109171,0.423845997467837,0.421645065191499,-0.0750369466329127,-0.0750369466329127,0,3
O43293,DAPK3,0.275774598096503,0.145984735645717,0.421759333742219,0.418760531195269,-0.0753769416800338,-0.0741048937568038,0.00381614376969006,3.11111111111111
O60285,NuaK1,0.257617764310241,0.17169751560716,0.429315279917401,0.417996810013886,-0.0706596159256059,-0.0700163145067909,0.00234343021079649,5.16666666666667
Q15759,p38[beta],0.295046267443027,0.152735831845824,0.44778209928885,0.41780198648422,-0.0768599317698104,-0.0768757183382878,0.0189440862317243,5.33333333333333
P23443,p70S6K,0.321255833187814,0.173289608414761,0.494545441602575,0.390234894307257,-0.0722625396254567,-0.0729505003108095,0.0170102611892819,18.1111111111111
Q9P1W9,Pim2,0.194446349739692,0.163783076475343,0.358229426215035,0.367518412300072,-0.0705919965083905,-0.0714684684388508,0.00636604757905019,36.4444444444444
O43930,PRKY,0.222520594808714,0.128825864871863,0.351346459680577,0.343629610379536,-0.0620892150479539,-0.0707380879249927,0.0163699990121761,9.88888888888889
Q16644,MAPKAPK3,0.271555337951298,0.17653107096079,0.448086408912088,0.343143164657518,-0.0739744423835444,-0.0698103102379295,0.0130847270945232,29
P42345,mTOR/FRAP,0.199565503983545,0.144912621518475,0.34447812550202,0.332300549887106,-0.0590632442177212,-0.0592540877648584,0.0119465115278522,4.88888888888889
P15056,BRAF,0.168595222913483,0.204635231226883,0.373230454140367,0.320604812990661,-0.0492107717498848,-0.0424005902750669,0.0137035057439506,3.33333333333333
P10398,ARAF,0.135099083903228,0.178434117300897,0.313533201204125,0.316592700867905,-0.0424005902750669,-0.0424005902750669,0,3
Q96Q40,PFTAIRE2,0.200313009153514,0.106533847905625,0.306846857059139,0.314093529376536,-0.0578933490217295,-0.061288268405649,0.00626650137983832,4.88888888888889
P49137,MAPKAPK2,0.149562547929238,0.148683261677158,0.298245809606397,0.304858186818391,-0.0649297170412032,-0.0663696485723514,0.00370940134129452,25.6666666666667
Q04759,PKC[theta],0.174380957916067,0.150014725747254,0.324395683663321,0.295053720002375,-0.0658470921278082,-0.0649897534253878,0.00475984287971394,22
P24723,PKC[eta],0.252534831706899,0.14861343068718,0.401148262394079,0.279318203188799,-0.069663936142335,-0.0602079466150799,0.0160041159847042,14.4444444444444
O00141,SGK1,0.16747584449765,0.101085605333971,0.268561449831621,0.275003635655733,-0.0496340975352214,-0.0496340975352214,0,3
O75676,MSK2,0.173085098169638,0.0980845237714546,0.271169621941092,0.274362745611458,-0.0522849901065449,-0.0522849901065449,0,3
Q9Y6S9,RSKL2,0.175090650386123,0.104269769379319,0.279360419765442,0.270241539321015,-0.0516160067934425,-0.0516160067934425,0.0202631652689159,3.5
Q15418,RSK3,0.124042758983021,0.140760766038156,0.264803525021178,0.263074697704999,-0.0517937588906345,-0.0517937588906345,0,10
P05129,PKC[gamma],0.151051807854856,0.124963664685927,0.276015472540784,0.245504885326765,-0.0591367354901713,-0.0550590663434031,0.00811590624951694,14.3333333333333
P04049,RAF1,0.114039811369452,0.131268999252546,0.245308810621999,0.241827188068757,-0.0421138680009972,-0.0382149148694871,0.00706218691395603,6.33333333333333
Q02156,PKC[epsilon],0.116102887516328,0.131721996355177,0.247824883871505,0.241815061849435,-0.0560889592687035,-0.058356686494325,0.00877124717802848,19.4444444444444
P49840,GSK3[alpha],0.124655113951123,0.0852972295376396,0.209952343488763,0.237816769345176,-0.0408942984864936,-0.0446763938757251,0.0113462861676945,3.88888888888889
O75582,MSK1,0.113220987145008,0.119434197051508,0.232655184196515,0.231554303487918,-0.0462646137469271,-0.0462646137469271,0,8
O96017,CHK2,0.166347440532038,0.130762170742999,0.297109611275036,0.22815393003166,-0.0618082348302386,-0.0559672944204215,0.0107461452220633,19
P41743,PKC[iota],0.10007516765296,0.121265082558679,0.221340250211639,0.214470862440528,-0.0481131530718214,-0.0472511910226653,0.0128995446253599,15.2222222222222
Q16566,CaMK4,0.116537283034866,0.0927465883165676,0.209283871351433,0.209199900583215,-0.0499561923545223,-0.0467951078027617,0.0111561801295793,11.5555555555556
Q13131,AMPK[alpha]1,0.0750868082748472,0.0749127982719629,0.14999960654681,0.200383795518501,-0.0301880596331031,-0.0488536409470901,0.0268473985941669,9.77777777777778
Q9HBY8,SGK2,0.148808810782449,0.111518777502662,0.260327588285111,0.193773884678626,-0.0563769318060885,-0.0504274246636419,0.0161840425123978,15.6666666666667
O95819,HGK/ZC1,0.107471987486939,0.0821280198429837,0.189600007329922,0.17351054684934,-0.0375882981280556,-0.0338298060790912,0.0104657742568497,5.71428571428571
P17252,PKC[alpha],0.0656955840320073,0.114021829240396,0.179717413272404,0.172134673800407,-0.0549230333281698,-0.0545807235032125,0.0017241346587221,27.2222222222222
