Kinase	Z	method	AvgZ
P38	2.2	meanLFC>0.2	1.9500000000000002
NDR	2.03	meanLFC>0.2	1.3099999999999998
NMO	1.9	meanLFC>0.2	1.815
PDK	1.86	meanLFC>0.2	0.75
BRSK	1.86	meanLFC>0.2	2.275
NIK	1.83	meanLFC>0.2	2.355
CAMK1	1.81	meanLFC>0.2	1.525
CAMKK	1.8	meanLFC>0.2	2.25
JNK	1.69	meanLFC>0.2	1.28
MARK	1.67	meanLFC>0.2	1.685
PKA	-1.45	meanLFC>0.2	-1.48
CDK	1.41	meanLFC>0.2	1.4649999999999999
STKR	1.3	meanLFC>0.2	0.785
ATM	1.3	meanLFC>0.2	1.095
GRK	-1.25	meanLFC>0.2	-1.28
PKG	-1.23	meanLFC>0.2	-0.735
MLCK	-1.21	meanLFC>0.2	-1.01
VRK1	-1.2	meanLFC>0.2	-1.005
RIPK	1.12	meanLFC>0.2	1.05
DYRK	1.12	meanLFC>0.2	1.085
MSN	-1.1	meanLFC>0.2	-0.905
ERK	1.06	meanLFC>0.2	1.135
PRKDC	0.93	meanLFC>0.2	1.305
PKCA	0.87	meanLFC>0.2	0.535
AKT	0.86	meanLFC>0.2	0.56
NUAK	-0.79	meanLFC>0.2	-0.65
HAL	-0.78	meanLFC>0.2	-0.655
PKN	-0.78	meanLFC>0.2	-0.645
TLK	-0.77	meanLFC>0.2	-0.63
PAKB	-0.77	meanLFC>0.2	-0.645
"NAK"	-0.77	meanLFC>0.2	-0.635
TTK	-0.76	meanLFC>0.2	-0.63
QIK	0.75	meanLFC>0.2	0.9
IKK	0.71	meanLFC>0.2	1.245
MLK	-0.7	meanLFC>0.2	-0.375
MST	0.7	meanLFC>0.2	0.77
PAKA	-0.68	meanLFC>0.2	-0.27
STE7	0.62	meanLFC>0.2	0.9450000000000001
BUD32	-0.55	meanLFC>0.2	-0.45
WNK	-0.55	meanLFC>0.2	-0.46
SLK	-0.54	meanLFC>0.2	-0.45
ULK	-0.54	meanLFC>0.2	-0.455
KHS	-0.54	meanLFC>0.2	-0.44000000000000006
MOS	-0.53	meanLFC>0.2	-0.43500000000000005
PASK	-0.53	meanLFC>0.2	-0.445
