BioNavigator Version	6.3.67.0	PamGrid Version	QuantitationType	Median_SigmBg	Protocol file name	Image Analysis_STKDate	Wed, 19 May 2021 10:36:37 GMT
	Barcode	710317315	710317315	710317315	710317315	710317315	710317315	710317315	710317315	710317315	710317315	710317315	710317315	710317315	710317315	710317315	710317315	710317315	710317315	710317315	710317315	710317316	710317316	710317316	710317316	710317316	710317316	710317316	710317316	710317316	710317316	710317316	710317316	710317316	710317316	710317316	710317316	710317316	710317316	710317316	710317316	710317317	710317317	710317317	710317317	710317317	710317317	710317317	710317317	710317317	710317317	710317317	710317317	710317317	710317317	710317317	710317317	710317317	710317317	710317317	710317317
	Array	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
	Sample name	CTL_111	CTL_111	CTL_111	CTL_111	CTL_111	SCZ_930	SCZ_930	SCZ_930	SCZ_930	SCZ_930	CTL_116	CTL_116	CTL_116	CTL_116	CTL_116	SCZ_22	SCZ_22	SCZ_22	SCZ_22	SCZ_22	CTL_702	CTL_702	CTL_702	CTL_702	CTL_702	SCZ_640	SCZ_640	SCZ_640	SCZ_640	SCZ_640	CTL_167	CTL_167	CTL_167	CTL_167	CTL_167	SCZ_331	SCZ_331	SCZ_331	SCZ_331	SCZ_331	CTL_686	CTL_686	CTL_686	CTL_686	CTL_686	SCZ_552	SCZ_552	SCZ_552	SCZ_552	SCZ_552	CTL_223	CTL_223	CTL_223	CTL_223	CTL_223	SCZ_339	SCZ_339	SCZ_339	SCZ_339	SCZ_339
	Exposure time	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0
	Cycle	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
ID
#REF		59.0	122.0	300.0	594.0	1169.0	61.0	127.0	318.0	631.0	1229.0	63.0	126.0	321.0	642.0	1277.0	62.0	122.0	306.0	610.0	1199.0	56.0	117.0	285.0	559.0	1124.0	59.0	118.0	293.0	577.0	1151.0	55.0	114.0	282.0	582.0	1157.0	61.0	122.0	305.0	602.0	1207.0	56.0	112.0	284.0	566.0	1124.0	58.0	117.0	296.0	584.0	1155.0	63.0	123.0	304.0	614.0	1227.0	61.0	119.0	302.0	599.0	1209.0
#REF		60.0	122.0	303.0	600.0	1209.0	60.0	123.0	304.0	616.0	1206.0	63.0	125.0	313.0	621.0	1241.0	61.0	125.0	311.0	617.0	1226.0	59.0	116.0	295.0	589.0	1179.0	56.0	115.0	282.0	563.0	1134.0	57.0	113.0	291.0	568.0	1121.0	61.0	128.0	310.0	609.0	1241.0	58.0	116.0	285.0	567.0	1128.0	59.0	119.0	293.0	582.0	1167.0	64.0	123.0	309.0	611.0	1225.0	51.0	85.0	212.0	498.0	1025.0
#REF		62.0	123.0	300.0	613.0	1208.0	64.0	127.0	334.0	656.0	1271.0	63.0	127.0	322.0	635.0	1259.0	64.0	125.0	316.0	625.0	1248.0	61.0	119.0	300.0	596.0	1184.0	58.0	119.0	292.0	589.0	1167.0	58.0	120.0	298.0	591.0	1189.0	65.0	130.0	323.0	626.0	1243.0	58.0	118.0	295.0	596.0	1182.0	61.0	121.0	298.0	601.0	1194.0	66.0	127.0	319.0	636.0	1258.0	62.0	127.0	310.0	618.0	1248.0
#REF		65.0	130.0	325.0	641.0	1261.0	65.0	131.0	338.0	647.0	1374.0	68.0	134.0	338.0	669.0	1339.0	70.0	138.0	341.0	676.0	1357.0	62.0	128.0	313.0	629.0	1242.0	61.0	121.0	301.0	611.0	1199.0	62.0	126.0	306.0	619.0	1241.0	70.0	132.0	334.0	660.0	1320.0	62.0	122.0	308.0	619.0	1215.0	63.0	125.0	307.0	631.0	1245.0	67.0	133.0	325.0	654.0	1299.0	66.0	128.0	331.0	655.0	1309.0
