Pair,Peptide,Score
R1C1P1,ADDB_696_708,0.4509841956852356
R1C1P1,BCKD_45_57,0.13520073788051423
R1C1P1,CAC1C_1974_1986,0.12271915825313327
R1C1P1,CDC2_154_169,0.03689958281152927
R1C1P1,CGHB_109_121,-0.49543127912958784
R1C1P1,CREB1_126_138,-0.11146922255780378
R1C1P1,CSF1R_701_713,0.2939284137795779
R1C1P1,DCX_49_61,-0.228972569760161
R1C1P1,ERBB2_679_691,0.33267447635135916
R1C1P1,F263_454_466,-0.1134941311408344
R1C1P1,GRIK2_708_720,0.05784407457228413
R1C1P1,H32_3_18,0.1799888671296701
R1C1P1,KAPCG_192_206,0.08497512902259219
R1C1P1,KCNA6_504_516,-0.01471078337544096
R1C1P1,MYPC3_268_280,-0.02682378807571028
R1C1P1,NCF1_296_308,0.2083471334419138
R1C1P1,NFKB1_330_342,-0.1614634226941161
R1C1P1,NMDZ1_890_902,-0.1772272521635232
R1C1P1,PLEK_106_118,-0.5537801587840843
R1C1P1,PLM_76_88,0.5651992458997261
R1C1P1,PTK6_436_448,0.25543268310045564
R1C1P1,PTN12_32_44,-0.20880263338976413
R1C1P1,RBL2_655_667,0.13353076418191367
R1C1P1,RYR1_4317_4329,0.2483926405407351
R1C1P1,TY3H_65_77,-0.08003949792511689
R1C1P1,VASP_271_283,-0.6647372666110272
R1C1P2,ADDB_696_708,-0.850622375961773
R1C1P2,BCKD_45_57,0.7325871536556319
R1C1P2,CAC1C_1974_1986,0.2693708685852245
R1C1P2,CGHB_109_121,4.740189071316558
R1C1P2,CREB1_126_138,0.31247903136848487
R1C1P2,CSF1R_701_713,-0.0480408995419257
R1C1P2,DCX_49_61,0.1064220591361542
R1C1P2,ERBB2_679_691,0.11011212306016473
R1C1P2,F263_454_466,0.7790910698388829
R1C1P2,GRIK2_708_720,0.9385994553358564
R1C1P2,H32_3_18,-0.29376284075894965
R1C1P2,KAPCG_192_206,0.17333160288556204
R1C1P2,KCNA6_504_516,1.6649618227863758
R1C1P2,MYPC3_268_280,0.4433013514975652
R1C1P2,NCF1_296_308,0.4484479145451141
R1C1P2,NFKB1_330_342,1.139162747671625
R1C1P2,NMDZ1_890_902,0.7064744018044564
R1C1P2,PLEK_106_118,2.2583588465310767
R1C1P2,PLM_76_88,0.19122440324276813
R1C1P2,PTK6_436_448,0.21480924991738393
R1C1P2,PTN12_32_44,0.4518478831314736
R1C1P2,RBL2_655_667,0.5396664150683099
R1C1P2,RYR1_4317_4329,0.6390777734967736
