Peptide,R1C1P1,R1C1P2,R1C2P3,R1C3P5,R2C2P3,R2C2P4,R2C3P6,R3C1P1,R3C1P2,R3C2P3,R4C1P1,R4C1P2,R3C3P5,R3C2P4,R2C1P2,R1C2P4,R3C3P6,R2C1P1,R2C3P5,Total
ACM1_421_433,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,12
GBRB2_427_439,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,10
KAP2_92_104,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,10
ACM5_498_510,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,9
BCKD_45_57,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,9
CD27_212_224,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,9
CFTR_761_773,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,9
CGHB_109_121,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,9
ESR1_160_172,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,9
MPIP3_208_220,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,9
NCF1_296_308,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,9
PLEK_106_118,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,9
RS6_228_240,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,9
ACM5_494_506,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,8
BAD_69_81,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,8
CDK7_163_175,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,8
CSF1R_701_713,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,8
ERBB2_679_691,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,8
GRIK2_708_720,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,8
H32_3_18,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,8
KAP3_107_119,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,8
KCNA6_504_516,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,8
MARCS_152_164,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,8
NMDZ1_890_902,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,8
NR4A1_344_356,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,8
RB_803_815,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,8
STK6_283_295,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,8
VASP_271_283,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,8
VTNC_390_402,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,8
ACM4_456_468,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,7
ADRB2_338_350,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,7
CENPA_1_14,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,7
DESP_2842_2854,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,7
E1A_ADE05_212_224,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,7
FOXO3_25_37,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,7
GPR6_349_361,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,7
H2B1B_ 27_40,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,7
KIF2C_105_118_S106G,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,7
KPCB_19_31_A25S,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,7
MARCS_160_172,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,7
PTN12_32_44,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,7
ACM1_444_456,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,6
CDC2_154_169,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,6
GSUB_61_73,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,6
GYS2_1_13,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,6
IF4E_203_215,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,6
KS6A1_374_386,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,6
NCF1_321_333,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,6
NOS3_1171_1183,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,6
P53_12_24,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,6
RAF1_253_265,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,6
RYR1_4317_4329,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,6
CA2D1_494_506,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,5
CAC1C_1974_1986,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,5
CREB1_126_138,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,5
EPB42_241_253,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,5
FRAP_2443_2455,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,5
MBP_222_234,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,5
MYPC3_268_280,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,5
PPR1A_28_40,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,5
PYGL_8_20,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,5
RB_242_254,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,5
ADDB_706_718,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,4
BAD_93_105,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,4
FIBA_569_581,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,4
KAPCG_192_206,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,4
KCC2G_278_289,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,4
MP2K1_287_299,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,4
MPIP1_172_184,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,4
PLM_76_88,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,4
PRKDC_2618_2630,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,4
RAP1B_172_184,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,4
TOP2A_1463_1475,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,4
SCN7A_898_910,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,4
CDN1A_139_151,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,4
ADDB_696_708,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,3
ANDR_785_797,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,3
BAD_112_124,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,3
F263_454_466,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,3
