Dataset,Barcode,Peptide,Kinase,LFC,totalMeanLFC
Pair16,710230321,ACM1_444_456,ERK,0.7487748964558394,0.7487748964558394
Pair16,710230321,ACM1_444_456,JNK,0.7487748964558394,0.7487748964558394
Pair16,710230321,ACM1_444_456,P38,0.7487748964558394,0.7487748964558394
Pair16,710230321,ACM1_444_456,PIM,0.7487748964558394,0.7487748964558394
Pair16,710230321,ACM4_456_468,PIM,0.03179106691507938,0.03179106691507938
Pair16,710230321,ADDB_696_708,ERK,0.4509841956852356,0.4509841956852356
Pair16,710230321,ADDB_696_708,JNK,0.4509841956852356,0.4509841956852356
Pair16,710230321,ADDB_696_708,P38,0.4509841956852356,0.4509841956852356
Pair16,710230321,ADDB_706_718,ERK,0.09181608736996161,0.09181608736996161
Pair16,710230321,ADDB_706_718,JNK,0.09181608736996161,0.09181608736996161
Pair16,710230321,ADDB_706_718,P38,0.09181608736996161,0.09181608736996161
Pair16,710230321,ADDB_706_718,PIM,0.09181608736996161,0.09181608736996161
Pair16,710230321,ANDR_785_797,PIM,-0.045252900971116006,-0.045252900971116006
Pair16,710230321,BAD_112_124,PIM,-3.369019823453388,-3.369019823453388
Pair16,710230321,BAD_69_81,ERK,0.7483105677602153,0.7483105677602153
Pair16,710230321,BAD_69_81,PIM,0.7483105677602153,0.7483105677602153
Pair16,710230321,BAD_93_105,PIM,0.292507023907409,0.292507023907409
Pair16,710230321,BCKD_45_57,PIM,0.13520073788051423,0.13520073788051423
Pair16,710230321,CA2D1_494_506,ERK,0.08570374936806768,0.08570374936806768
Pair16,710230321,CAC1C_1974_1986,PIM,0.12271915825313329,0.12271915825313329
Pair16,710230321,CD27_212_224,ERK,0.18637319853546686,0.18637319853546686
Pair16,710230321,CD27_212_224,JNK,0.18637319853546686,0.18637319853546686
Pair16,710230321,CD27_212_224,P38,0.18637319853546686,0.18637319853546686
Pair16,710230321,CD27_212_224,PIM,0.18637319853546686,0.18637319853546686
Pair16,710230321,CDK7_163_175,JNK,-0.28654404325179916,-0.28654404325179916
Pair16,710230321,CDK7_163_175,P38,-0.28654404325179916,-0.28654404325179916
Pair16,710230321,CDK7_163_175,PIM,-0.28654404325179916,-0.28654404325179916
Pair16,710230321,CENPA_1_14,PIM,-0.5673494879270633,-0.5673494879270633
Pair16,710230321,CREB1_126_138,PIM,-0.11146922255780334,-0.11146922255780334
Pair16,710230321,CSF1R_701_713,PIM,0.2939284137795779,0.2939284137795779
Pair16,710230321,DCX_49_61,ERK,-0.228972569760161,-0.228972569760161
Pair16,710230321,DCX_49_61,PIM,-0.228972569760161,-0.228972569760161
Pair16,710230321,DESP_2842_2854,P38,0.2575592757676426,0.2575592757676426
Pair16,710230321,DESP_2842_2854,PIM,0.2575592757676426,0.2575592757676426
Pair16,710230321,E1A_ADE05_212_224,P38,-0.7954440594319347,-0.7954440594319347
Pair16,710230321,EPB42_241_253,PIM,0.11381989955716199,0.11381989955716199
Pair16,710230321,ERBB2_679_691,PIM,0.33267447635135916,0.33267447635135916
Pair16,710230321,ESR1_160_172,PIM,-0.2866061129878066,-0.2866061129878066
Pair16,710230321,F263_454_466,ERK,-0.11349413114083395,-0.11349413114083395
Pair16,710230321,FIBA_569_581,ERK,-0.15200309344505003,-0.15200309344505003
Pair16,710230321,FIBA_569_581,JNK,-0.15200309344505003,-0.15200309344505003
Pair16,710230321,FIBA_569_581,PIM,-0.15200309344505003,-0.15200309344505003
Pair16,710230321,FOXO3_25_37,ERK,0.11611122975309662,0.11611122975309662
Pair16,710230321,FOXO3_25_37,P38,0.11611122975309662,0.11611122975309662
Pair16,710230321,FOXO3_25_37,PIM,0.11611122975309662,0.11611122975309662
Pair16,710230321,FRAP_2443_2455,PIM,0.69128277883918,0.69128277883918
Pair16,710230321,GPR6_349_361,ERK,0.6401040549136168,0.6401040549136168
Pair16,710230321,GPR6_349_361,JNK,0.6401040549136168,0.6401040549136168
Pair16,710230321,GPR6_349_361,P38,0.6401040549136168,0.6401040549136168
Pair16,710230321,GRIK2_708_720,PIM,0.05784407457228413,0.05784407457228413
Pair16,710230321,GSUB_61_73,ERK,-0.13857522990858184,-0.13857522990858184
Pair16,710230321,H2B1B_ 27_40,PIM,0.08305573972755864,0.08305573972755864
Pair16,710230321,H32_3_18,PIM,0.1799888671296701,0.1799888671296701
Pair16,710230321,IF4E_203_215,ERK,-0.07769128450769491,-0.07769128450769491
Pair16,710230321,IF4E_203_215,P38,-0.07769128450769491,-0.07769128450769491
Pair16,710230321,KAP2_92_104,ERK,0.2415632720065215,0.2415632720065215
Pair16,710230321,KAP2_92_104,PIM,0.2415632720065215,0.2415632720065215
Pair16,710230321,KAPCG_192_206,ERK,0.08497512902259219,0.08497512902259219
Pair16,710230321,KAPCG_192_206,PIM,0.08497512902259219,0.08497512902259219
Pair16,710230321,KCC2G_278_289,PIM,-0.31841827441252324,-0.31841827441252324
Pair16,710230321,KCNA2_442_454,JNK,0.1622714288988767,0.1622714288988767
Pair16,710230321,KCNA2_442_454,P38,0.1622714288988767,0.1622714288988767
Pair16,710230321,KCNA2_442_454,PIM,0.1622714288988767,0.1622714288988767
Pair16,710230321,KCNA6_504_516,ERK,-0.014710783375441405,-0.014710783375441405
Pair16,710230321,KCNA6_504_516,JNK,-0.014710783375441405,-0.014710783375441405
Pair16,710230321,KCNA6_504_516,PIM,-0.014710783375441405,-0.014710783375441405
Pair16,710230321,KS6A1_374_386,PIM,-0.5419275897490365,-0.5419275897490365
Pair16,710230321,LIPS_944_956,ERK,-0.08816018841974849,-0.08816018841974849
Pair16,710230321,LIPS_944_956,PIM,-0.08816018841974849,-0.08816018841974849
Pair16,710230321,MARCS_152_164,ERK,0.31423370309736187,0.31423370309736187
Pair16,710230321,MARCS_152_164,JNK,0.31423370309736187,0.31423370309736187
Pair16,710230321,MARCS_152_164,P38,0.31423370309736187,0.31423370309736187
Pair16,710230321,MARCS_160_172,ERK,0.4728603258756219,0.4728603258756219
Pair16,710230321,MARCS_160_172,JNK,0.4728603258756219,0.4728603258756219
Pair16,710230321,MARCS_160_172,P38,0.4728603258756219,0.4728603258756219
Pair16,710230321,MBP_222_234,ERK,0.2615323806685623,0.2615323806685623
Pair16,710230321,MBP_222_234,JNK,0.2615323806685623,0.2615323806685623
Pair16,710230321,MP2K1_287_299,ERK,0.06021752283410731,0.06021752283410731
Pair16,710230321,MP2K1_287_299,JNK,0.06021752283410731,0.06021752283410731
Pair16,710230321,MP2K1_287_299,P38,0.06021752283410731,0.06021752283410731
Pair16,710230321,MP2K1_287_299,PIM,0.06021752283410731,0.06021752283410731
Pair16,710230321,MPIP1_172_184,PIM,0.11778930330357174,0.11778930330357174
Pair16,710230321,MPIP3_208_220,ERK,0.05009861159036566,0.05009861159036566
Pair16,710230321,MPIP3_208_220,JNK,0.05009861159036566,0.05009861159036566
Pair16,710230321,MPIP3_208_220,P38,0.05009861159036566,0.05009861159036566
Pair16,710230321,NCF1_296_308,PIM,0.20834713344191336,0.20834713344191336
Pair16,710230321,NEK2_172_184,ERK,0.12089256090501976,0.12089256090501976
Pair16,710230321,NEK2_172_184,P38,0.12089256090501976,0.12089256090501976
Pair16,710230321,NEK3_158_170,ERK,-0.19871959235207992,-0.19871959235207992
Pair16,710230321,NFKB1_330_342,PIM,-0.16146342269411607,-0.16146342269411607
Pair16,710230321,NMDZ1_890_902,PIM,-0.1772272521635232,-0.1772272521635232
Pair16,710230321,NOS3_1171_1183,PIM,0.14887887769223607,0.14887887769223607
Pair16,710230321,NR4A1_344_356,PIM,0.3723431491444007,0.3723431491444007
Pair16,710230321,P53_12_24,ERK,-0.27056246263631945,-0.27056246263631945
Pair16,710230321,P53_12_24,JNK,-0.27056246263631945,-0.27056246263631945
Pair16,710230321,P53_12_24,P38,-0.27056246263631945,-0.27056246263631945
Pair16,710230321,PLM_76_88,PIM,0.5651992458997266,0.5651992458997266
Pair16,710230321,PP2AB_297_309,JNK,0,0
Pair16,710230321,PPR1A_28_40,JNK,0.09259864191210276,0.09259864191210276
Pair16,710230321,PPR1A_28_40,P38,0.09259864191210276,0.09259864191210276
Pair16,710230321,PRKDC_2618_2630,P38,0.2119632551421753,0.2119632551421753
Pair16,710230321,PRKDC_2618_2630,PIM,0.2119632551421753,0.2119632551421753
Pair16,710230321,PTK6_436_448,P38,0.25543268310045564,0.25543268310045564
Pair16,710230321,PTK6_436_448,PIM,0.25543268310045564,0.25543268310045564
Pair16,710230321,PTN12_32_44,PIM,-0.208802633389765,-0.208802633389765
Pair16,710230321,RADI_559_569,PIM,-0.255944981047475,-0.255944981047475
Pair16,710230321,RAF1_253_265,ERK,0.377933504616105,0.377933504616105
Pair16,710230321,RAF1_253_265,JNK,0.377933504616105,0.377933504616105
Pair16,710230321,RAF1_253_265,P38,0.377933504616105,0.377933504616105
Pair16,710230321,RAP1B_172_184,PIM,0.12936528976531836,0.12936528976531836
Pair16,710230321,RBL2_655_667,ERK,0.13353076418191367,0.13353076418191367
Pair16,710230321,RBL2_655_667,JNK,0.13353076418191367,0.13353076418191367
Pair16,710230321,RBL2_655_667,P38,0.13353076418191367,0.13353076418191367
Pair16,710230321,RBL2_655_667,PIM,0.13353076418191367,0.13353076418191367
Pair16,710230321,RB_242_254,ERK,0.40593970753295494,0.40593970753295494
Pair16,710230321,RB_242_254,P38,0.40593970753295494,0.40593970753295494
Pair16,710230321,RB_350_362,PIM,-0.17073030151395563,-0.17073030151395563
Pair16,710230321,RB_803_815,ERK,-0.18955095227705332,-0.18955095227705332
Pair16,710230321,RB_803_815,JNK,-0.18955095227705332,-0.18955095227705332
Pair16,710230321,RS6_228_240,PIM,0.03368312625628844,0.03368312625628844
Pair16,710230321,RYR1_4317_4329,PIM,0.24839264054073507,0.24839264054073507
Pair16,710230321,TAU_524_536,ERK,0.30737978631820706,0.30737978631820706
Pair16,710230321,TAU_524_536,JNK,0.30737978631820706,0.30737978631820706
Pair16,710230321,TAU_524_536,P38,0.30737978631820706,0.30737978631820706
Pair16,710230321,TAU_524_536,PIM,0.30737978631820706,0.30737978631820706
Pair16,710230321,TOP2A_1463_1475,PIM,-0.2596066356876827,-0.2596066356876827
Pair16,710230321,TY3H_65_77,PIM,-0.08003949792511689,-0.08003949792511689
Pair16,710230321,VASP_271_283,PIM,-0.6647372666110272,-0.6647372666110272
Pair16,710230321,YAP1_121_133,ERK,0.6022998171541678,0.6022998171541678
Pair16,710230321,YAP1_121_133,JNK,0.6022998171541678,0.6022998171541678
