Kinase,Total_Rank
JNK,1
ERK,1.1
DMPK,1.3
NMO,1.3
P38,1.3
PLK,1.3
DYRK,1.4
STKR,1.4
CDK,1.5
PKCD,1.5
CK1,1.6
PKA,1.6
PKCH,1.6
PKCI,1.6
AUR,1.8
PKG,2
STE7,2
"NAK",2.1
PAKA,2.1
FRAY,2.2
RSK,2.2
TLK,2.2
CHK1,2.3
GRK,2.3
HAL,2.3
PIM,2.3
TTK,2.3
WNK,2.3
COT,2.4
MSN,2.4
PAKB,2.4
PKN,2.4
RIPK,2.4
BRSK,2.5
NUAK,2.5
PHK,2.5
RAF,2.5
AKT,2.6
MAPKAPK,2.6
MARK,2.6
NDR,2.6
PASK,2.6
TAO,2.6
BARK2,2.7
BUD32,2.7
CAMK2,2.7
MST,2.7
MTOR,2.7
NEK,2.7
PEK,2.7
SLK,2.7
IKK,2.8
MOS,2.8
PDHK,2.8
PKCA,2.8
PKD,2.8
ATM,2.9
MLK,2.9
STE11,2.9
CAMKK,3
CLK,3
KHS,3
PDK1,3
ULK,3
CAMK1,3.1
GSK,3.1
LKB,3.1
ATR,3.2
MELK,3.2
NIK,3.2
RAD53,3.2
VRK1,3.2
AMPK,3.3
QIK,3.3
DAPK,3.4
IRAK,3.4
MLCK,3.4
PRKDC,3.5
SGK,3.6
CK2,3.8
PDK,90.3
