Peptide,R2C1P1,R2C1P2,R2C3P5,R3C2P4,R1C2P4,R2C2P3,R3C1P2,R3C2P3,R1C1P2,R1C2P3,R2C3P6,R2C2P4,R3C3P6,R1C1P1,R1C3P5,R3C3P5,R3C1P1,Total
E1A_ADE05_212_224,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,10
RB_350_362,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,10
VASP_271_283,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,10
ESR1_160_172,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,9
KCNA6_504_516,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,9
NCF1_321_333,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,9
NOS3_1171_1183,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,9
RB_242_254,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,9
BAD_112_124,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,8
CGHB_109_121,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,8
MBP_222_234,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,8
PLEK_106_118,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,8
ACM4_456_468,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,7
BAD_69_81,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,7
EPB42_241_253,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,7
GRIK2_708_720,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,7
KPCB_626_639,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,7
NEK2_172_184,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,7
NEK3_158_170,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,7
RB_803_815,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,7
TOP2A_1463_1475,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,7
ACM1_444_456,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,6
ACM5_494_506,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,6
CA2D1_494_506,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,6
CFTR_761_773,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,6
CREB1_126_138,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,6
CSF1R_701_713,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,6
GBRB2_427_439,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,6
KIF2C_105_118_S106G,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,6
NCF1_296_308,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,6
NMDZ1_890_902,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,6
PRKDC_2618_2630,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,6
RBL2_655_667,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,6
RYR1_4317_4329,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,6
STK6_283_295,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,6
ADDB_706_718,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,5
ANDR_785_797,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,5
BAD_93_105,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,5
ERBB2_679_691,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,5
FOXO3_25_37,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,5
GSUB_61_73,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,5
H32_3_18,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,5
KAPCG_192_206,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,5
KS6A1_374_386,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,5
MARCS_160_172,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,5
NR4A1_344_356,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,5
PTN12_32_44,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,5
PYGL_8_20,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,5
VTNC_390_402,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,5
ACM1_421_433,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,4
ACM5_498_510,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,4
ADRB2_338_350,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,4
CENPA_1_14,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,4
GYS2_1_13,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,4
KPCB_19_31_A25S,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,4
MARCS_152_164,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,4
MP2K1_287_299,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,4
MYPC3_268_280,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,4
P53_12_24,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,4
RS6_228_240,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,4
BCKD_45_57,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,3
CD27_212_224,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,3
CDC2_154_169,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,3
CDK7_163_175,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,3
DCX_49_61,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,3
FIBA_569_581,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,3
GPR6_349_361,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,3
KAP2_92_104,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,3
KAP3_107_119,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,3
KCC2G_278_289,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,3
MPIP3_208_220,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,3
PLM_76_88,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,3
PP2AB_297_309,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,3
RAF1_253_265,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,3
RAP1B_172_184,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,3
TAU_524_536,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,3
ADDB_696_708,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,2
CAC1C_1974_1986,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2
FRAP_2443_2455,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,2
H2B1B_ 27_40,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,2
IF4E_203_215,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,2
MPIP1_172_184,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,2
NFKB1_330_342,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,2
PPR1A_28_40,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,2
PTK6_436_448,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,2
DESP_2842_2854,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,1
K6PL_766_778,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1
KCNA2_442_454,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1
RADI_559_569,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,1
CDN1A_139_151,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,1
