Name,Dataset,LogFC
MEKK2 (MAP3K2),Lewis_2017_L5,0.21
MEKK2 (MAP3K2),Lewis_2015_L5,-0.09
MEKK2 (MAP3K2),Deep_Neurons,-0.02
MEKK2 (MAP3K2),Superficial_Neurons,-0.02
MEKK2 (MAP3K2),Superficial_Deep_Neurons,-0.04
MEKK2 (MAP3K2),MtSinaiDLPFC,-0.28
MEKK2 (MAP3K2),Iwamoto_BA46_SCZ,0.08
MEKK3 (MAP3K3),Lewis_2017_L5,-0.01
MEKK3 (MAP3K3),Lewis_2015_L5,0.05
MEKK3 (MAP3K3),Deep_Neurons,-0.01
MEKK3 (MAP3K3),Superficial_Neurons,-0.02
MEKK3 (MAP3K3),Superficial_Deep_Neurons,-0.03
MEKK3 (MAP3K3),MtSinaiDLPFC,0.27
MEKK3 (MAP3K3),Iwamoto_BA46_SCZ,0.01
TPL2 (MAP3K8),Lewis_2017_L5,0.02
TPL2 (MAP3K8),Lewis_2015_L5,0.12
TPL2 (MAP3K8),Deep_Neurons,0.11
TPL2 (MAP3K8),Superficial_Neurons,0.12
TPL2 (MAP3K8),Superficial_Deep_Neurons,0.23
TPL2 (MAP3K8),MtSinaiDLPFC,NA
TPL2 (MAP3K8),Iwamoto_BA46_SCZ,-0.09
ERK5 (MAPK7),Lewis_2017_L5,-0.23
ERK5 (MAPK7),Lewis_2015_L5,0.19
ERK5 (MAPK7),Deep_Neurons,-0.05
ERK5 (MAPK7),Superficial_Neurons,-0.09
ERK5 (MAPK7),Superficial_Deep_Neurons,-0.15
ERK5 (MAPK7),MtSinaiDLPFC,NA
ERK5 (MAPK7),Iwamoto_BA46_SCZ,0
RAF1 (RAF1),Lewis_2017_L5,-0.15
RAF1 (RAF1),Lewis_2015_L5,-0.1
RAF1 (RAF1),Deep_Neurons,-0.02
RAF1 (RAF1),Superficial_Neurons,-0.01
RAF1 (RAF1),Superficial_Deep_Neurons,-0.03
RAF1 (RAF1),MtSinaiDLPFC,0.13
RAF1 (RAF1),Iwamoto_BA46_SCZ,0.01
RAFA (ARAF),Lewis_2017_L5,-0.08
RAFA (ARAF),Lewis_2015_L5,-0.21
RAFA (ARAF),Deep_Neurons,NA
RAFA (ARAF),Superficial_Neurons,NA
RAFA (ARAF),Superficial_Deep_Neurons,NA
RAFA (ARAF),MtSinaiDLPFC,-0.14
RAFA (ARAF),Iwamoto_BA46_SCZ,-0.12
RAFB (BRAF),Lewis_2017_L5,0.28
RAFB (BRAF),Lewis_2015_L5,0.11
RAFB (BRAF),Deep_Neurons,0.02
RAFB (BRAF),Superficial_Neurons,0.03
RAFB (BRAF),Superficial_Deep_Neurons,0.05
RAFB (BRAF),MtSinaiDLPFC,-0.16
RAFB (BRAF),Iwamoto_BA46_SCZ,-0.03
MEK1 (MAP2K1),Lewis_2017_L5,-0.09
MEK1 (MAP2K1),Lewis_2015_L5,-0.16
MEK1 (MAP2K1),Deep_Neurons,0.11
MEK1 (MAP2K1),Superficial_Neurons,0.12
MEK1 (MAP2K1),Superficial_Deep_Neurons,0.23
MEK1 (MAP2K1),MtSinaiDLPFC,-0.03
MEK1 (MAP2K1),Iwamoto_BA46_SCZ,-0.03
MEK2 (MAP2K2),Lewis_2017_L5,0.09
MEK2 (MAP2K2),Lewis_2015_L5,0
MEK2 (MAP2K2),Deep_Neurons,0
MEK2 (MAP2K2),Superficial_Neurons,-0.01
MEK2 (MAP2K2),Superficial_Deep_Neurons,-0.02
MEK2 (MAP2K2),MtSinaiDLPFC,0.11
MEK2 (MAP2K2),Iwamoto_BA46_SCZ,-0.05
ERK1 (MAPK3),Lewis_2017_L5,0.56
ERK1 (MAPK3),Lewis_2015_L5,0
ERK1 (MAPK3),Deep_Neurons,0.06
ERK1 (MAPK3),Superficial_Neurons,0.05
ERK1 (MAPK3),Superficial_Deep_Neurons,0.1
ERK1 (MAPK3),MtSinaiDLPFC,0
ERK1 (MAPK3),Iwamoto_BA46_SCZ,-0.11
ERK2 (MAPK1),Lewis_2017_L5,-0.03
ERK2 (MAPK1),Lewis_2015_L5,0.01
ERK2 (MAPK1),Deep_Neurons,0.02
ERK2 (MAPK1),Superficial_Neurons,0.01
ERK2 (MAPK1),Superficial_Deep_Neurons,0.03
ERK2 (MAPK1),MtSinaiDLPFC,0.04
ERK2 (MAPK1),Iwamoto_BA46_SCZ,-0.09
