Peptide,run1_CTL_869,run1_SCZ_737,run1_CTL_346,run1_SCZ_929,run1_CTL_676,run1_SCZ_802,run1_CTL_524,run1_SCZ_931,run1_CTL_46,run1_SCZ_94,run1_CTL_859,run2_CTL_874,run2_SCZ_225,run2_CTL_846,run2_SCZ_291,run2_CTL_836,run2_SCZ_732,run2_CTL_195,run2_SCZ_565,run2_CTL_901,run2_SCZ_69,run2_CTL_554,run2_SCZ_547,run3_CTL_111,run3_SCZ_930,run3_CTL_116,run3_SCZ_22,run3_CTL_702,run3_SCZ_640,run3_CTL_167,run3_SCZ_331,run3_CTL_686,run3_SCZ_552,run3_CTL_223,run3_SCZ_339,run4_SCZ_446,run4_CTL_882,run4_SCZ_585,run4_CTL_834
ATF2_47_59,1,4,0,0,2,1,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDN1A_139_151,1166,764,3711,3631,63,1666,3695,3429,3211,3695,3656,1270,281,2842,3718,1877,1580,2705,1233,2596,2627,2123,2428,558,2040,1666,1425,1089,1459,1476,1836,1724,2076,1702,1681,2052,2843,2590,1602
FIBA_569_581,13,12,18,20,10,13,13,5,14,23,20,5,8,10,8,6,8,9,6,10,7,8,7,7,11,13,10,7,8,3,13,9,10,9,11,5,6,7,3
IKKB_173_185_C179A,5,3,4,2,0,3,1,1,2,3,1,2,3,2,3,4,4,4,3,2,2,3,3,3,1,1,2,1,2,2,0,1,4,0,0,4,0,1,2
LIPS_944_956,15,14,22,25,12,13,21,24,19,41,47,6,7,8,5,8,5,7,4,5,7,5,3,4,7,9,10,8,6,7,12,12,13,12,15,11,10,9,17
MYBB_513_525,3,2,4,3,4,1,0,0,0,0,1,2,4,4,3,2,2,3,1,4,2,1,2,3,3,1,3,2,2,3,2,3,2,3,1,2,0,0,3
PLEK_106_118,259,178,1530,1006,72,345,1399,609,654,1082,1229,72,56,277,307,141,115,273,77,208,235,191,174,52,160,138,108,96,117,169,136,129,153,126,120,203,270,275,137
RBL2_632_644,2,3,5,1,3,1,0,2,0,3,3,4,3,3,2,3,3,4,2,3,2,4,1,3,1,4,3,2,3,2,2,0,3,2,2,3,1,1,2
VIGLN_289_301,7,6,5,4,3,1,1,5,3,7,4,4,5,4,3,3,3,4,5,3,3,4,3,5,6,3,2,2,6,7,4,4,6,4,3,3,4,2,3
GRIK2_708_720,17,16,34,34,11,22,32,199,26,31,32,10,11,18,14,16,12,25,10,12,11,11,10,12,16,27,14,15,12,19,18,15,18,15,11,8,10,10,7
RADI_559_569,7,6,8,11,8,7,6,8,6,10,10,4,3,6,6,6,5,6,4,4,5,3,6,4,4,3,6,4,4,3,8,4,7,7,5,4,4,6,4
ACM1_421_433,24,34,47,68,29,44,58,60,35,50,57,30,26,48,62,46,29,54,32,46,50,42,49,21,42,35,30,17,30,27,28,31,49,32,37,20,24,15,13
ATM_1972_1984,2,8,0,1,5,0,0,0,0,0,0,0,4,0,0,1,2,0,2,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CDN1B_151_163,0,3,0,3,0,0,0,0,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
FOXO3_25_37,139,150,251,223,159,187,236,193,210,227,216,165,144,247,251,186,184,270,143,180,211,128,178,113,192,158,154,142,124,149,181,164,177,140,151,107,122,101,84
IKKB_686_698,3,2,0,0,1,0,0,0,0,1,1,1,3,3,2,0,2,1,2,1,2,2,2,3,1,0,0,0,1,2,1,1,1,1,3,0,0,2,0
LMNA_192_204,4,3,3,4,0,2,0,0,1,3,4,3,2,3,2,2,2,3,4,1,3,3,1,3,1,0,2,3,0,0,2,2,1,3,3,3,3,2,3
MYC_51_63,6,3,2,3,3,2,0,0,0,4,3,4,4,3,4,3,5,2,3,3,3,3,2,5,4,4,2,6,3,4,2,3,2,2,2,2,2,3,2
PP2AB_297_309,10,10,13,12,12,7,15,8,10,15,8,3,6,2,4,5,5,4,4,5,3,3,3,6,7,7,6,5,1,6,5,3,6,6,5,2,6,5,4
RBL2_655_667,43,47,75,71,42,60,73,51,58,57,49,20,18,30,24,19,22,27,18,21,20,20,19,22,25,21,20,22,16,20,20,22,18,19,18,13,14,11,10
YAP1_121_133,7,12,11,11,5,6,6,6,10,11,7,5,5,5,6,5,4,4,5,4,4,5,8,6,6,5,4,5,5,5,6,9,6,7,6,5,4,4,4
KAP2_92_104,51,63,92,113,49,85,135,96,78,119,123,46,42,69,72,58,64,73,37,52,59,34,36,48,74,67,68,64,65,41,72,60,84,71,67,30,38,22,25
