BioNavigator Version	6.3.67.0	PamGrid Version	QuantitationType	Median_SigmBg	Protocol file name	Image Analysis_STKDate	Thu, 20 May 2021 20:13:25 GMT
	Barcode	710317302	710317302	710317302	710317302	710317302	710317302	710317302	710317302	710317302	710317302	710317302	710317302	710317302	710317302	710317302	710317302	710317302	710317302	710317302	710317302	710317303	710317303	710317303	710317303	710317303	710317303	710317303	710317303	710317303	710317303	710317303	710317303	710317303	710317303	710317303	710317303	710317303	710317303	710317303	710317303	710317305	710317305	710317305	710317305	710317305	710317305	710317305	710317305	710317305	710317305	710317305	710317305	710317305	710317305	710317305	710317305	710317305	710317305	710317305	710317305
	Exposure time	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0
	Cycle	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
	Sample name	CTL_874	CTL_874	CTL_874	CTL_874	CTL_874	SCZ_225	SCZ_225	SCZ_225	SCZ_225	SCZ_225	CTL_846	CTL_846	CTL_846	CTL_846	CTL_846	SCZ_291	SCZ_291	SCZ_291	SCZ_291	SCZ_291	CTL_836	CTL_836	CTL_836	CTL_836	CTL_836	SCZ_732	SCZ_732	SCZ_732	SCZ_732	SCZ_732	CTL_195	CTL_195	CTL_195	CTL_195	CTL_195	SCZ_565	SCZ_565	SCZ_565	SCZ_565	SCZ_565	CTL_901	CTL_901	CTL_901	CTL_901	CTL_901	SCZ_69	SCZ_69	SCZ_69	SCZ_69	SCZ_69	CTL_554	CTL_554	CTL_554	CTL_554	CTL_554	SCZ_547	SCZ_547	SCZ_547	SCZ_547	SCZ_547
	Array	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
ID
#REF		68.0	133.0	338.0	670.0	1325.0	69.0	141.0	353.0	710.0	1410.0	67.0	130.0	329.0	665.0	1312.0	71.0	139.0	344.0	682.0	1359.0	66.0	125.0	315.0	614.0	1221.0	63.0	127.0	320.0	642.0	1264.0	64.0	128.0	319.0	645.0	1284.0	70.0	141.0	350.0	722.0	1405.0	59.0	120.0	299.0	600.0	1171.0	59.0	118.0	307.0	614.0	1211.0	61.0	123.0	314.0	621.0	1250.0	61.0	127.0	314.0	650.0	1256.0
#REF		66.0	138.0	336.0	671.0	1367.0	71.0	138.0	350.0	702.0	1382.0	67.0	129.0	332.0	661.0	1311.0	66.0	139.0	347.0	686.0	1369.0	63.0	123.0	298.0	633.0	1261.0	63.0	121.0	319.0	624.0	1231.0	67.0	127.0	321.0	637.0	1276.0	71.0	142.0	346.0	689.0	1367.0	60.0	124.0	296.0	615.0	1240.0	59.0	114.0	300.0	604.0	1229.0	65.0	131.0	329.0	636.0	1277.0	62.0	125.0	317.0	616.0	1254.0
#REF		68.0	137.0	350.0	706.0	1377.0	73.0	145.0	353.0	710.0	1406.0	69.0	136.0	336.0	670.0	1338.0	68.0	135.0	342.0	687.0	1345.0	62.0	124.0	315.0	620.0	1213.0	63.0	129.0	322.0	649.0	1281.0	67.0	139.0	329.0	668.0	1335.0	70.0	143.0	360.0	716.0	1417.0	62.0	124.0	312.0	627.0	1196.0	61.0	126.0	316.0	615.0	1214.0	62.0	128.0	321.0	626.0	1247.0	63.0	128.0	304.0	636.0	1293.0
#REF		75.0	156.0	381.0	755.0	1508.0	76.0	156.0	382.0	761.0	1503.0	74.0	143.0	360.0	722.0	1426.0	76.0	152.0	364.0	756.0	1461.0	66.0	139.0	338.0	672.0	1346.0	67.0	140.0	345.0	688.0	1383.0	68.0	137.0	343.0	673.0	1346.0	77.0	153.0	373.0	752.0	1488.0	65.0	138.0	341.0	679.0	1340.0	68.0	130.0	325.0	658.0	1322.0	68.0	136.0	342.0	682.0	1367.0	69.0	136.0	337.0	673.0	1334.0
#REF		91.0	181.0	448.0	885.0	1767.0	89.0	179.0	459.0	919.0	1799.0	92.0	185.0	460.0	913.0	1827.0	94.0	187.0	469.0	937.0	1858.0	90.0	173.0	426.0	870.0	1722.0	84.0	174.0	445.0	885.0	1723.0	89.0	186.0	452.0	900.0	1800.0	92.0	184.0	457.0	909.0	1790.0	87.0	164.0	418.0	815.0	1620.0	80.0	166.0	413.0	844.0	1679.0	85.0	179.0	442.0	892.0	1759.0	88.0	169.0	433.0	859.0	1707.0
#REF		89.0	169.0	433.0	845.0	1700.0	88.0	173.0	434.0	851.0	1702.0	89.0	175.0	432.0	863.0	1716.0	89.0	178.0	440.0	878.0	1742.0	84.0	167.0	413.0	862.0	1735.0	83.0	163.0	413.0	829.0	1644.0	87.0	171.0	427.0	868.0	1712.0	90.0	174.0	439.0	859.0	1716.0	85.0	168.0	418.0	840.0	1680.0	80.0	166.0	404.0	807.0	1618.0	85.0	172.0	421.0	839.0	1667.0	88.0	173.0	426.0	845.0	1672.0
#REF		87.0	174.0	432.0	861.0	1688.0	89.0	173.0	433.0	863.0	1731.0	87.0	176.0	440.0	865.0	1710.0	91.0	180.0	451.0	900.0	1771.0	85.0	168.0	412.0	838.0	1647.0	85.0	172.0	428.0	845.0	1682.0	89.0	178.0	459.0	899.0	1788.0	91.0	176.0	438.0	870.0	1736.0	85.0	163.0	412.0	824.0	1656.0	80.0	166.0	399.0	805.0	1597.0	84.0	166.0	416.0	816.0	1642.0	83.0	162.0	415.0	841.0	1666.0
