Pair,estimate,.y.,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,Significant
P01,-0.03850610061844907,Slope,CTL_869,SCZ_737,15,15,49,0.851,-0.22041482260815304,0.18011238303973187,Wilcoxon,two.sided,FALSE
P02,-0.28311588981,Slope,CTL_676,SCZ_802,15,15,36,0.188,-0.9191467128359689,0.10074939816700312,Wilcoxon,two.sided,FALSE
P04,0.09451948000731014,Slope,CTL_346,SCZ_929,15,15,97,0.0353,0.00772553317135416,0.19697775895990244,Wilcoxon,two.sided,TRUE
P05,0.3478636747979682,Slope,CTL_524,SCZ_931,15,15,92,0.073,-0.029111091305118686,0.5979813247986568,Wilcoxon,two.sided,TRUE
P03,0.07040605107921605,Slope,CTL_46,SCZ_94,15,15,68,0.679,-0.16851832850807513,0.28548925666148905,Wilcoxon,two.sided,FALSE
P06,0.13951070710548952,Slope,CTL_874,SCZ_225,13,13,58,0.414,-0.16765104148256738,0.2978273111420491,Wilcoxon,two.sided,FALSE
P09,0.0975001205820124,Slope,CTL_846,SCZ_291,13,13,70,0.0942,-0.020357307624366272,0.22464526161563425,Wilcoxon,two.sided,TRUE
P11,0.13980864501469903,Slope,CTL_554,SCZ_547,13,13,78,0.0215,0.021826362453178927,0.35663414079640565,Wilcoxon,two.sided,TRUE
P10,0.5163774953709561,Slope,CTL_195,SCZ_565,13,13,89,7.32e-4,0.29020586028625805,1.1322692996899875,Wilcoxon,two.sided,TRUE
P08,0.14532316469518372,Slope,CTL_901,SCZ_69,13,13,68,0.124,-0.04409552883733161,0.34991449149269854,Wilcoxon,two.sided,FALSE
P07,-0.045927218870220665,Slope,CTL_836,SCZ_732,13,13,30,0.505,-0.2631320429974433,0.1893953228801134,Wilcoxon,two.sided,FALSE
P15,0.18415854574125584,Slope,CTL_116,SCZ_22,12,12,66,0.0342,0.014366232890663078,0.5122806315057093,Wilcoxon,two.sided,TRUE
P16,-0.14827964153340312,Slope,CTL_167,SCZ_331,12,12,19,0.129,-0.4096067601220268,0.11346983836218794,Wilcoxon,two.sided,FALSE
P17,0.0858877241001309,Slope,CTL_223,SCZ_339,12,12,57,0.176,-0.053166389589859975,0.271970442682233,Wilcoxon,two.sided,FALSE
P14,-0.1225448371276402,Slope,CTL_686,SCZ_552,12,12,20,0.151,-0.3903683844148724,0.07400058144377653,Wilcoxon,two.sided,FALSE
P13,0.1139209999551265,Slope,CTL_702,SCZ_640,12,12,56,0.204,-0.07048579342354278,0.35122491179175097,Wilcoxon,two.sided,FALSE
P12,-0.31898226750046665,Slope,CTL_111,SCZ_930,12,12,9,0.0161,-1.0800946169082175,-0.04373073340794931,Wilcoxon,two.sided,TRUE
P18,0.18260679133477864,Slope,CTL_882,SCZ_446,12,12,63,0.064,-0.006946706812743342,0.3180503535390433,Wilcoxon,two.sided,TRUE
P19,-0.1895513211470523,Slope,CTL_834,SCZ_585,12,12,18,0.11,-0.5872927573791984,0.09409857262008237,Wilcoxon,two.sided,FALSE
