Pair,estimate,.y.,group1,group2,n1,n2,statistic,p,conf.low,conf.high,method,alternative,Significant
P01,-0.11007077818049615,Slope,CTL_869,SCZ_737,39,39,219,0.0285,-0.20449406116523958,-0.011720962055032171,Wilcoxon,two.sided,TRUE
P02,-0.37293395657169515,Slope,CTL_676,SCZ_802,39,39,119,7.96e-4,-0.5737131596398909,-0.17927380430838646,Wilcoxon,two.sided,TRUE
P04,0.09372022586520246,Slope,CTL_346,SCZ_929,39,39,548,0.0268,0.016030594486741823,0.16569010856920707,Wilcoxon,two.sided,TRUE
P05,0.17215215805227696,Slope,CTL_524,SCZ_931,39,39,461,0.329,-0.23457811625224045,0.4122127139250459,Wilcoxon,two.sided,FALSE
P03,-0.1381817265103854,Slope,CTL_46,SCZ_94,39,39,259,0.0682,-0.28486940791221205,0.014775391451026687,Wilcoxon,two.sided,TRUE
P06,0.08545558677369502,Slope,CTL_874,SCZ_225,29,29,283,0.162,-0.04067212652469321,0.21448932119901698,Wilcoxon,two.sided,FALSE
P09,0.06153796133965206,Slope,CTL_846,SCZ_291,29,29,280,0.183,-0.02777450191366282,0.15045023313245354,Wilcoxon,two.sided,FALSE
P11,0.19343373758095428,Slope,CTL_554,SCZ_547,29,29,378,2.42e-4,0.09888247474219858,0.2979502735157994,Wilcoxon,two.sided,TRUE
P10,0.8470214213811227,Slope,CTL_195,SCZ_565,29,29,433,1.12e-8,0.6594958919398133,1.066042277359942,Wilcoxon,two.sided,TRUE
P08,-0.04414237549080735,Slope,CTL_901,SCZ_69,29,29,187,0.517,-0.16403729988875826,0.13002437835199898,Wilcoxon,two.sided,FALSE
P07,0.05519478849839665,Slope,CTL_836,SCZ_732,29,29,253,0.26,-0.04356094310486512,0.16086830564330268,Wilcoxon,two.sided,FALSE
P15,0.24237678743103022,Slope,CTL_116,SCZ_22,33,33,472,1.04e-4,0.1448930639514447,0.38570989494224106,Wilcoxon,two.sided,TRUE
P16,-0.2523264302394106,Slope,CTL_167,SCZ_331,33,33,99,7.59e-4,-0.403995071102774,-0.10789837568819083,Wilcoxon,two.sided,TRUE
P17,0.05098058370562786,Slope,CTL_223,SCZ_339,33,33,361,0.155,-0.017606165051753386,0.15939429620596846,Wilcoxon,two.sided,FALSE
P14,-0.2029070177918273,Slope,CTL_686,SCZ_552,33,33,94,5.14e-4,-0.316921994148182,-0.08847616130377034,Wilcoxon,two.sided,TRUE
P13,0.037745472249416157,Slope,CTL_702,SCZ_640,33,33,305,0.672,-0.1094175335729266,0.17561698794954417,Wilcoxon,two.sided,FALSE
P12,-0.5146322972525972,Slope,CTL_111,SCZ_930,33,33,11,1.28e-8,-0.6978392628763856,-0.3647509693951232,Wilcoxon,two.sided,TRUE
P18,0.2613243395248328,Slope,CTL_882,SCZ_446,29,29,407,5.52e-6,0.19509618723137911,0.3241728565610571,Wilcoxon,two.sided,TRUE
P19,-0.2729106944182027,Slope,CTL_834,SCZ_585,29,29,74,0.00128,-0.44400782487704427,-0.12732698897281058,Wilcoxon,two.sided,TRUE
