BioNavigator Version	6.3.67.0	PamGrid Version	QuantitationType	Median_SigmBg	Protocol file name	Image Analysis_STKDate	Sat, 05 Jun 2021 10:43:06 GMT
	Barcode	710317412	710317412	710317412	710317412	710317412	710317412	710317412	710317412	710317412	710317412	710317412	710317412	710317412	710317412	710317412	710317412	710317412	710317412	710317412	710317412	710373109	710373109	710373109	710373109	710373109	710373109	710373109	710373109	710373109	710373109	710373109	710373109	710373109	710373109	710373109	710373109	710373109	710373109	710373109	710373109	710373115	710373115	710373115	710373115	710373115	710373115	710373115	710373115	710373115	710373115	710373115	710373115	710373115	710373115	710373115	710373115	710373115	710373115	710373115	710373115
	Exposure time	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0	10.0	20.0	50.0	100.0	200.0
	Cycle	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
	Array	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
	Sample name	SCZ_446	SCZ_446	SCZ_446	SCZ_446	SCZ_446	CTL_882	CTL_882	CTL_882	CTL_882	CTL_882	SCZ_585	SCZ_585	SCZ_585	SCZ_585	SCZ_585	CTL_834	CTL_834	CTL_834	CTL_834	CTL_834	PIM1_0.025_DMSO	PIM1_0.025_DMSO	PIM1_0.025_DMSO	PIM1_0.025_DMSO	PIM1_0.025_DMSO	PIM1_0.025_10DEBC_1mM	PIM1_0.025_10DEBC_1mM	PIM1_0.025_10DEBC_1mM	PIM1_0.025_10DEBC_1mM	PIM1_0.025_10DEBC_1mM	PIM1_0.025_THIOR_1mM	PIM1_0.025_THIOR_1mM	PIM1_0.025_THIOR_1mM	PIM1_0.025_THIOR_1mM	PIM1_0.025_THIOR_1mM	PIM1_0.025_TRIFLUO_1mM	PIM1_0.025_TRIFLUO_1mM	PIM1_0.025_TRIFLUO_1mM	PIM1_0.025_TRIFLUO_1mM	PIM1_0.025_TRIFLUO_1mM	PIM1_0.025_DMSO	PIM1_0.025_DMSO	PIM1_0.025_DMSO	PIM1_0.025_DMSO	PIM1_0.025_DMSO	PIM1_0.025_10DEBC_1mM	PIM1_0.025_10DEBC_1mM	PIM1_0.025_10DEBC_1mM	PIM1_0.025_10DEBC_1mM	PIM1_0.025_10DEBC_1mM	PIM1_0.025_PROCHLOR_1mM	PIM1_0.025_PROCHLOR_1mM	PIM1_0.025_PROCHLOR_1mM	PIM1_0.025_PROCHLOR_1mM	PIM1_0.025_PROCHLOR_1mM	PIM1_0.025_CHLORPR_1mM	PIM1_0.025_CHLORPR_1mM	PIM1_0.025_CHLORPR_1mM	PIM1_0.025_CHLORPR_1mM	PIM1_0.025_CHLORPR_1mM
ID
#REF		36.0	72.0	182.0	347.0	724.0	50.0	104.0	251.0	505.0	995.0	56.0	108.0	272.0	541.0	1061.0	53.0	101.0	266.0	525.0	1054.0	119.0	231.0	578.0	1150.0	2248.0	121.0	238.0	595.0	1167.0	2322.0	124.0	242.0	609.0	1207.0	2372.0	117.0	232.0	582.0	1168.0	2305.0	113.0	221.0	558.0	1094.0	2166.0	108.0	208.0	519.0	1069.0	2042.0	104.0	206.0	507.0	1001.0	1982.0	108.0	209.0	514.0	1028.0	2037.0
#REF		37.0	70.0	179.0	352.0	705.0	53.0	105.0	257.0	527.0	1030.0	55.0	109.0	278.0	545.0	1087.0	54.0	109.0	264.0	540.0	1070.0	103.0	200.0	504.0	994.0	1972.0	106.0	204.0	518.0	1022.0	2043.0	104.0	208.0	517.0	1033.0	2039.0	103.0	205.0	503.0	1012.0	1980.0	94.0	197.0	476.0	971.0	1879.0	93.0	183.0	449.0	918.0	1762.0	92.0	187.0	463.0	935.0	1844.0	93.0	185.0	456.0	912.0	1831.0
#REF		36.0	71.0	177.0	365.0	734.0	51.0	107.0	257.0	497.0	1008.0	55.0	107.0	272.0	534.0	1079.0	53.0	110.0	279.0	560.0	1109.0	100.0	198.0	504.0	999.0	1965.0	108.0	208.0	510.0	1016.0	2018.0	101.0	204.0	515.0	1019.0	2035.0	102.0	198.0	497.0	1003.0	1956.0	96.0	201.0	498.0	962.0	1915.0	89.0	177.0	435.0	895.0	1720.0	88.0	174.0	435.0	862.0	1730.0	90.0	177.0	444.0	889.0	1760.0
#REF		37.0	75.0	193.0	381.0	769.0	56.0	113.0	286.0	568.0	1116.0	59.0	117.0	292.0	557.0	1136.0	55.0	117.0	279.0	570.0	1124.0	121.0	235.0	594.0	1173.0	2308.0	119.0	236.0	580.0	1154.0	2304.0	119.0	241.0	598.0	1193.0	2343.0	119.0	236.0	584.0	1154.0	2306.0	109.0	210.0	567.0	1048.0	2154.0	105.0	207.0	522.0	1064.0	2050.0	102.0	205.0	505.0	985.0	1959.0	106.0	209.0	521.0	1041.0	2086.0
