Kinase	Observed	SamplingAvg	SD	Z
CK1	11	20.0805	2.734914921860442	-3.3202129716791835
CDK	40	48.843	2.675991678935655	-3.304569318958871
STE7	16	25.036	2.8343819185900503	-3.187996628377772
PLK	14	22.4645	2.797079115039096	-3.0261925572604653
JNK	15	23.517	2.8253676488513113	-3.0144749492911806
P38	17	25.4545	2.847100760663501	-2.9695120442557594
PKCH	13	7.825	1.9008370763417357	2.722484774949555
NMO	1	5.375	1.6378999841806854	-2.6711032677544555
PKCD	11	6.369	1.7644817079949922	2.624566737652541
RAD53	22	16.129	2.4894693669262997	2.3583338995847174
DYRK	20	26.482	2.847407569164005	-2.2764566864950444
PKCI	9	5.407	1.5816452828938765	2.2716850856887607
DMPK	56	50.374	2.6932788335851376	2.0889036552190143
FRAY	14	9.8325	2.0934744009740762	1.9907097971013628
ERK	23	28.7695	2.9004441104801537	-1.9891781328083888
STKR	1	3.354	1.3090228303529288	-1.7982879636754177
GRK	3	5.8985	1.6663091078853018	-1.7394731783459199
RIPK	14	18.532	2.6306721989083046	-1.7227535995859622
AUR	8	5.371	1.5784818029997054	1.6655244267016047
PEK	43	47.542	2.8194344477754134	-1.6109613768760345
MARK	1	2.931	1.2053901786315377	-1.6019709088655731
PAKA	20	16.13	2.5509515238119325	1.5170809652301784
IKK	24	28.339	2.9059079735214066	-1.4931649727165852
PAKB	2	0.9805	0.6945220878166746	1.4679158775280106
PKN	2	0.99	0.7079198932701665	1.4267150981368868
NUAK	0	0.9825	0.6995987916188945	-1.4043763536618794
PIM	39	34.8695	2.9676376440854932	1.3918478248960384
NAK	0	0.969	0.7023429666633038	-1.3796678346528228
NDR	1	2.426	1.0564478411263427	-1.3498063458387644
TTK	0	0.9435	0.7018219339786316	-1.3443580975751135
TLK	0	0.9745	0.7322006616389064	-1.3309193108604243
PDK1	27	30.8115	2.9072656994026986	-1.3110256832676408
PKA	33	29.433	2.954467031076647	1.207324354098525
STE11	3	4.8615	1.5548397066117872	-1.1972295228145857
MLK	11	8.8045	1.9629585714366435	1.1184647663721012
WNK	1	0.487	0.4999559760508864	1.0260903450982772
PKD	24	21.119	2.822024257595109	1.0208983825160842
PASK	1	0.491	0.5000440200732387	1.017910383020778
CAMKK	0	0.504	0.500109042636967	-1.0077802179750976
ATM	1	2	0.9927198730624801	-1.0073335158639074
BRSK	1	0.5015	0.500122796326765	0.9967552042444698
CLK	0	0.498	0.5001210458781605	-0.9957589349705606
TAO	0	0.495	0.5001000400170075	-0.989801960390097
ULK	0	0.493	0.5000760322381083	-0.9858500872228584
MOS	0	0.4905	0.500034766175005	-0.980931793507198
NIK	0	0.486	0.4999289594354793	-0.9721381224820264
BUD32	0	0.4825	0.4998186264332941	-0.9653501780098116
SLK	0	0.4765	0.4995723533865081	-0.9538157921868476
PHK	50	47.4045	2.7843771526257055	0.9321653848338791
KHS	0	0.4595	0.49848168672078413	-0.9217991598102198
AKT	22	19.489	2.7352549807842323	0.9180131350240933
PDHK	33	30.368	2.991830798317793	0.8797288942542766
PKG	26	23.481	2.8960028342886863	0.8698195907044797
CHK1	5	6.364	1.7498671428164922	-0.7794877488839402
ATR	5	6.3525	1.7440655470240096	-0.7754869089111024
CAMK2	7	8.264	1.9334355656559314	-0.6537585334896736
CK2	3	3.885	1.388430361751974	-0.6374104343866935
BARK2	2	1.471	0.8345701010860702	0.6338592759452851
QIK	33	34.808	2.989080678344234	-0.6048682503282313
GSK	9	10.2635	2.166890735069229	-0.5830935448434752
CAMK1	9	10.2055	2.086251656197424	-0.577830577830311
COT	3	2.4095	1.0655409136768796	0.554178626480284
MELK	15	13.6595	2.4383462666852975	0.5497578495372129
MST	11	12.217	2.3072868886190108	-0.5274593315651424
PRKDC	5	5.798	1.6645063203981303	-0.4794214297781266
IRAK	6	6.7905	1.760727074226712	-0.4489622563151514
VRK1	2	2.4425	1.0896271810563687	-0.40610220421539617
MLCK	2	2.432	1.0830339243258358	-0.3988794720986327
PKCA	60	59.2025	2.0578170607534005	0.3875465974162065
MTOR	13	12.2	2.2681649600818434	0.3527080322989973
DAPK	11	11.755	2.224735877550958	-0.33936612773608105
SGK	12	12.7095	2.3092804372940576	-0.30723856164969293
AMPK	11	11.644	2.2382513005563562	-0.28772461780315856
LKB	5	5.368	1.5980778849803383	-0.23027663636339474
NEK	10	10.271	2.102086673805839	-0.1289195176283354
RAF	12	11.754	2.1798761272065397	0.11285044912861342
RSK	41	40.668	2.9809762007696032	0.11137291197235583
MSN	2	1.985	0.9946203470759125	0.015081131251837396
HAL	1	1.0065	0.7047737956617894	-0.009222817363543415
MAPKAPK	24	24.0045	2.799892756825672	-0.0016072044148940777
