Kinase	Observed	SamplingAvg	SD	Z
JNK	14	23.1245	2.871257879554787	-3.177875475753098
PKCI	10	5.2945	1.668280950758994	2.8205680810892226
P38	17	25.1645	2.9066585767924344	-2.8088954324349014
STE7	17	24.5605	2.8041525253974413	-2.696180015717379
FRAY	15	9.5985	2.048266449396626	2.6371080781951797
CDK	41	48.198	2.7458269761387815	-2.621432472821694
PLK	15	22.1175	2.785601108696	-2.5551038078570607
ERK	21	28.379	2.8943993805083195	-2.5494062946849056
CK1	13	19.879	2.71146363012834	-2.5370061849859304
AUR	9	5.2865	1.5785004218532523	2.352549260417766
MLK	13	8.6905	2.015127817300935	2.138574021459418
MSN	4	1.9375	0.9864483210716477	2.090834315333785
NMO	2	5.288	1.5979150998514178	-2.0576812875137955
STKR	1	3.39	1.2785606589752947	-1.8692894883184275
BARK2	3	1.4755	0.8412809440450952	1.8121175937610232
AKT	24	19.237	2.7087819679470213	1.7583548828811302
PKA	34	28.856	2.9369332284534826	1.751486874187025
PKCD	9	6.2305	1.7311464941165569	1.5998068386542517
MARK	1	2.9235	1.2030675108728766	-1.5988296439028757
PAKA	20	15.9765	2.595248621558993	1.5503331613689644
IRAK	4	6.643	1.7669499302549618	-1.4957979027841657
DYRK	22	26.16	2.8956160477777564	-1.436654560328396
VRK1	4	2.4325	1.0931794320400094	1.4338908637119607
NAK	0	0.962	0.7048435302966897	-1.3648419239871088
IKK	24	27.9455	2.933399421504518	-1.345026514655949
TLK	0	0.935	0.7085379404142754	-1.31961881879369
CHK1	4	6.2245	1.7307794627780824	-1.2852590684369714
DMPK	53	49.706	2.6109332596301886	1.2616178478903584
PKCH	10	7.705	1.8430066024483835	1.2452478449893536
STE11	3	4.8205	1.532466631606866	-1.1879540881690305
MELK	16	13.47	2.3424012085274493	1.0800882405582792
GRK	4	5.782	1.664890966689856	-1.0703403620136043
WNK	1	0.475	0.4994994993740609	1.0510521044723662
SLK	1	0.4775	0.4996184136715137	1.045798124533357
PASK	1	0.4895	0.5000147571609156	1.0209698667667721
CLK	0	0.509	0.5000440200732387	-1.017910383020778
BUD32	1	0.4935	0.5000827845424174	1.0128323062819578
TAO	1	0.5	0.5001250468945398	0.9997499687421849
QIK	37	34.1085	2.9813037141354717	0.9698777036000464
CAMKK	0	0.4805	0.49974455706006	-0.9614912122839846
KHS	0	0.48	0.49972478668884895	-0.960528700568278
BRSK	0	0.479	0.4996837419017758	-0.95860633403229345
ULK	0	0.476	0.49954857059868923	-0.9528602983079959
NIK	0	0.472	0.4993402350453722	-0.945247282060321
MOS	0	0.471	0.49928312791532464	-0.9433525261840586
MTOR	14	12.057	2.2707551969735293	0.8556624697323767
RAD53	18	15.863	2.510255303917397	0.8513078317831217
PHK	49	46.773	2.7981039460403223	0.79589609354988
RSK	42	40.0035	2.9251950589775264	0.6825185875631332
RAF	10	11.5095	2.2159343249442736	-0.6812024991029282
PKG	25	23.1845	2.8819459669254974	0.6299562937110866
SGK	14	12.574	2.3234076507483095	0.6137536818133152
CAMK2	7	8.203	1.9694492542796302	-0.6108306661803395
CK2	3	3.8585	1.4072910089928081	-0.6100372947130703
COT	3	2.3635	1.0931446531069473	0.5822651176044569
PIM	36	34.292	2.9702099376200275	0.5750435275186596
CAMK1	9	10.148	2.0933913020674813	-0.5483924571895414
NDR	3	2.4015	1.1076602392443278	0.5403281428683502
GSK	9	10.123	2.095248441836077	-0.5359746260046894
PDK1	29	30.49	2.9180742928838184	-0.510610714618746
MLCK	3	2.467	1.0970472899461485	0.4858496118486958
RIPK	17	18.271	2.6480304062673183	-0.479979382786473
NEK	11	10.0125	2.088426324354328	0.47284406851426897
PDHK	31	29.9365	2.955983198249639	0.35977877026829647
PKCA	59	58.317	2.082949913024815	0.32790034735312573
PEK	46	46.7695	2.77023588407679	-0.27777417960075435
LKB	5	5.329	1.5681162247254261	-0.20980587714893834
AMPK	12	11.5515	2.191517539186552	0.2046527084453422
DAPK	12	11.6025	2.2038426012548067	0.1803667828971431
ATR	6	6.233	1.7652957640484168	-0.13198921378797868
MAPKAPK	24	23.6355	2.862819871876225	0.1273220168620371
PRKDC	6	5.8125	1.612341022174246	0.11629053495590887
PKD	21	20.7175	2.744715008929	0.10292507567488095
HAL	1	0.9365	0.7061990573161913	0.08991799032035343
ATM	2	1.921	0.9809383874943574	0.08053512943029197
MST	12	12.152	2.314859669103901	-0.06566272764985341
TTK	1	0.9555	0.7083577029422768	0.06282136809575463
PAKB	1	0.961	0.715356461796297	0.05451827457051135
PKN	1	0.9685	0.7012514718796722	0.044919691812647
NUAK	1	0.9905	0.712505145097841	0.01333323705149584
