Kinase Score
PKN 3.343979328449029
PAKA 2.663352044684004
PKCD 2.396257364457594
MTOR -2.3708010290564374
CK1 -2.231708156941796
JNK -2.2195333631497727
PKA 2.2097847432552595
DMPK 2.023507411804193
P38 -1.961025789682487
PKCH 1.8326726669632376
PKG 1.6681838364752888
RAF -1.6613433404423312
CHK1 -1.6391103759462808
CAMK1 -1.4969447477254891
PHK 1.3880243981625064
STE11 1.3007058124562874
CDK -1.2946749451696695
CAMK2 -1.1780165843756811
STKR -1.1327362223080173
MARK -1.0825516960572132
ERK -1.0263644426524638
RIPK -1.015862090988704
NDR -0.9876957325232747
VRK1 -0.9764410275051741
COT -0.9579529747249562
ATM -0.8787046059774106
MSN -0.8757990134968631
NEK -0.8641967449326559
GSK -0.8047776076005045
MELK -0.7988401905141757
MAPKAPK -0.7954391394178546
BARK2 0.7810792264635061
PRKDC -0.7270550634836935
GRK -0.6992118443117729
DYRK -0.6834945707718467
PKD 0.6498610780231248
NMO -0.6256681277201894
LKB -0.6219722816045581
PLK -0.614918573170664
NAK -0.6114839386785306
HAL -0.6108468224668109
NUAK -0.6079995477907174
TLK -0.6072766160626492
PAKB -0.6045716073786185
TTK -0.6008332285003603
MLK -0.554049540519065
MST -0.5255849539600207
QIK -0.5106328499440643
STE7 -0.4683214431282093
RSK 0.45718933280432333
ULK -0.4468334902023423
BUD32 -0.44118676165756343
PEK 0.4335894323576423
KHS -0.4322616665492703
TAO -0.42981589798556485
PIM 0.4290184831001694
SLK -0.4281824805925512
NIK -0.4265466919086943
WNK -0.4265466919086943
CLK -0.42490849073861886
CAMKK -0.42162468307779083
MOS -0.42080215726882314
BRSK -0.41833071551592504
PASK -0.41833071551592504
AKT 0.3891199420346181
MLCK 0.3184949995835879
PKCI 0.28592265829752916
AUR 0.25144611741860257
CK2 -0.23119828543131188
DAPK 0.16892842511681805
IRAK -0.16374495948625628
AMPK 0.14251800966847444
PDHK 0.13541756523772347
PKCA 0.09253015961946756
FRAY -0.0845534475496657
RAD53 -0.08195809175004538
PDK1 0.051513341856991815
SGK -0.0487667104389949
ATR -0.0372614204500253
IKK -0.020592464599711837
