Kinase Score
JNK -2.7920663326961503
STE7 -2.6829250534891735
CK1 -2.2700976012006673
RAD53 2.1420679414011072
NMO -1.9574911582731487
PKCD 1.8793774590566414
PDK1 -1.7918444710204025
PAKA 1.7411534244714622
PHK 1.7396233039427496
PASK 1.738572056827293
PEK -1.7243591512765075
GSK -1.7226879579978043
BRSK 1.7224313749086901
BUD32 1.720149947412771
BARK2 1.7060738953015702
PKCI 1.6409170493371281
P38 -1.56938777981736
CDK -1.5654969723005938
MELK 1.5192905961534804
ERK -1.4312153235745944
DYRK -1.3502956017506769
NDR -1.259246080966629
AUR -1.2238276605517588
ATM 1.2019356370946592
MAPKAPK 1.1654349651462164
CHK1 1.1531501873414678
MTOR -1.1402048670228457
STE11 -1.1081441325238173
AMPK 1.0775322127214297
PLK -1.025097880336224
PKD 0.9747033822025334
IRAK -0.9672312547062708
TTK 0.9289866891574602
MLK 0.8782321960567795
CK2 -0.8599450760691827
PKA 0.8576580639016125
NUAK 0.856526850867101
HAL -0.8523427226263374
SGK 0.8227031744669715
VRK1 0.8203784854563089
NAK -0.8114044135844163
PKN -0.8048187787567169
TLK -0.7923226787903808
PAKB 0.7593085096084738
CAMK1 -0.6890675409633426
STKR -0.6708206551475817
GRK -0.6548120149843271
DMPK 0.6071990529665036
SLK -0.6003032113675816
KHS -0.5995327321680248
PDHK -0.5994442712389715
MST -0.5952122464617735
PKCA -0.5876188215167417
RIPK -0.5857989605438694
ULK -0.5795147464468574
NIK -0.578745132077905
QIK 0.5781576918744227
WNK -0.5779755218022083
CLK -0.5718185405045594
TAO -0.571048874419806
MOS -0.5664304555992581
CAMKK -0.5587305164623163
PIM 0.5473652130966135
FRAY -0.528928354496203
ATR 0.5187117548405655
DAPK -0.4948095076368666
NEK 0.4390730129668894
AKT 0.4325763210168946
MARK -0.41648687227388126
PKG 0.41418160460400727
MLCK -0.2716810162896764
COT -0.2539795531442704
RSK -0.22421720164315354
LKB 0.1896105467480902
IKK -0.1688242504547882
CAMK2 -0.1543155703118084
PRKDC 0.027162635758633317
RAF -0.019106758509526704
MSN 0.009248028671727639
PKCH 0.006927527799254751
