Kinase Score
ERK -3.3144824041268475
CK1 -2.882300983471452
JNK -2.6484957895037105
P38 -2.6398414763008637
DMPK 2.5750631747389847
PKCD 2.3919565882131075
PLK -2.3616869966214935
AUR 2.193847208645379
COT 1.820561662715908
PKCH 1.7058483385697951
RAF -1.688927639529456
DYRK -1.6662635114349753
STKR -1.6638907602802735
BRSK 1.6314631963891066
FRAY 1.5120366235984306
PHK 1.4640313465794672
NMO -1.3546748842741771
MLK 1.3216731636330628
PKA 1.265007496308977
RSK 1.241720309935487
MTOR 1.2042663500463486
MAPKAPK -1.111246465803446
MSN 1.0910705747052818
IRAK -1.0604490973888665
RAD53 1.0437477916025182
PAKA 1.022677158376989
CDK -0.9676122738872104
PKG 0.9502285405594678
CHK1 -0.911122822647843
PIM 0.9065125391005598
TTK -0.8801213430479332
SGK -0.87600175777673694
PAKB -0.8670715120384554
HAL -0.863411079772877
NAK -0.8569797014424112
AMPK 0.8435720085787676
TLK -0.8329774029529026
NUAK -0.8267491168995912
NEK -0.7871776704907979
PKCI 0.7769426178977527
PKN 0.7751516201706404
GRK -0.7735791385973448
MST 0.7272772061515285
PKCA 0.6961857495784229
PEK 0.6720153533463423
PKD 0.6703828492732421
LKB -0.6458453916620693
PDK1 -0.610502271139657
CAMKK -0.6041565355550869
NIK -0.6033857406155468
SLK -0.5995327321680248
PASK -0.5926007725911904
ULK -0.5895210262842767
BUD32 -0.588751175054408
MOS -0.5879813540226689
TAO -0.5879813540226689
CLK -0.582593285551529
WNK -0.578745132077905
KHS -0.5741274600866361
STE7 -0.520019377263467
MARK -0.5145190633225816
MLCK -0.3634337668396399
DAPK 0.3623872179426889
NDR -0.3212861158388755
PDHK 0.3212518344949124
BARK2 0.3151735351039623
IKK 0.3052095243273851
CAMK1 -0.2966454637398941
MELK 0.29081562035249725
VRK1 -0.28915770765068644
CAMK2 0.28817061162843316
STE11 0.28154758646116607
GSK -0.27797751789930136
ATR -0.2772497938635269
QIK -0.2364799444309538
AKT 0.22424993121137263
PRKDC -0.08109755776994877
CK2 -0.06480586597412476
RIPK 0.04464703628975573
ATM -0.02975159739875959
