Kinase,Score,dataset,rank,quartile
IKK[beta],1.92081875395238,R1C1P1,1,1
ERK1,1.30102999566398,R1C1P1,2,1
ARAF,1.2839966563652,R1C1P1,3,1
BRAF,1.2839966563652,R1C1P1,4,1
RSK1/p90RSK,1.18045606445813,R1C1P1,5,1
PKD1,1.13076828026902,R1C1P1,6,1
PAK1,1.07572071393812,R1C1P1,7,1
RSK3,1.06550154875643,R1C1P1,8,1
AlphaK1,1.0268721464003,R1C1P1,9,1
p38[beta],1.02520742433667,R1C1P1,10,1
CDKL2,1.01772876696043,R1C1P1,11,1
p38[delta],0.96657624451305,R1C1P1,12,1
RAF1,0.96657624451305,R1C1P1,13,1
p38[gamma],0.928117992693875,R1C1P1,14,1
ERK2,0.913640169325252,R1C1P1,15,1
CK2[alpha]1,0.87942606879415,R1C1P1,16,1
ERK5,0.866461091629782,R1C1P1,17,1
PKG1,0.835647144215563,R1C1P1,18,1
ANP[alpha],0.790484985457369,R1C1P1,19,1
PFTAIRE1,0.785188448708657,R1C1P1,20,1
PFTAIRE2,0.764471553092451,R1C1P1,21,1
HGK/ZC1,0.75448733218585,R1C1P1,22,1
AurA/Aur2,0.749579997691106,R1C1P1,23,1
CDK2,0.72584215073632,R1C1P1,24,1
PKG2,0.707743928643524,R1C1P1,25,1
PKC[delta],0.681936665037238,R1C1P1,26,1
IKK[epsilon],0.673664139071249,R1C1P1,27,2
RSKL2,0.663544877622232,R1C1P1,28,2
MAPKAPK3,0.6345120151091,R1C1P1,29,2
PKN1/PRK1,0.616184634019569,R1C1P1,30,2
PRKY,0.59516628338006194,R1C1P1,31,2
PKC[theta],0.59516628338006194,R1C1P1,32,2
CDKL5,0.586962598649587,R1C1P1,33,2
TBK1,0.585026652029182,R1C1P1,34,2
JNK1,0.525783735923745,R1C1P1,35,2
MSK2,0.522878745280338,R1C1P1,36,2
RSK2,0.522878745280338,R1C1P1,37,2
JNK3,0.522878745280338,R1C1P1,38,2
ICK,0.522878745280338,R1C1P1,39,2
PKC[iota],0.51427857351842,R1C1P1,40,2
DAPK3,0.500312917381596,R1C1P1,41,2
ROCK1,0.500312917381596,R1C1P1,42,2
Akt2/PKB[beta],0.492144128304169,R1C1P1,43,2
MAPK14,0.478861916295964,R1C1P1,44,2
CDK11,0.455931955649724,R1C1P1,45,2
CaMK2[alpha],0.441291429466834,R1C1P1,46,2
JNK2,0.436518914605589,R1C1P1,47,2
CK1[delta],0.413412695328245,R1C1P1,48,2
CDK7,0.408935392973501,R1C1P1,49,2
CDK6,0.39577394691553,R1C1P1,50,2
PDHK1,0.368556230986828,R1C1P1,51,2
p70S6K[beta],0.356547323513813,R1C1P1,52,2
RSKL1,0.326987902625895,R1C1P1,53,3
ROCK2,0.324256454775144,R1C1P1,54,3
ADCK3,0.309803919971486,R1C1P1,55,3
p70S6K,0.302770657240282,R1C1P1,56,3
CaMK4,0.299296282854981,R1C1P1,57,3
Pim2,0.289036881004724,R1C1P1,58,3
CDK10,0.283996656365201,R1C1P1,59,3
GSK3[alpha],0.275724130399211,R1C1P1,60,3
PRKX,0.258060922270801,R1C1P1,61,3
NuaK1,0.248895723976347,R1C1P1,62,3
PDK1,0.245651664288981,R1C1P1,63,3
SGK1,0.241088107602027,R1C1P1,64,3
GSK3[beta],0.235077015350112,R1C1P1,65,3
ATR,0.230622673923862,R1C1P1,66,3
PKC[eta],0.224753740259764,R1C1P1,67,3
CDK4,0.217527375833714,R1C1P1,68,3
Akt1/PKB[alpha],0.211831628858832,R1C1P1,69,3
MSK1,0.20342566678957,R1C1P1,70,3
ERK7,0.20342566678957,R1C1P1,71,3
DAPK2,0.200659450546418,R1C1P1,72,3
CDC2/CDK1,0.199282921717615,R1C1P1,73,3
CK1[epsilon],0.197910742118267,R1C1P1,74,3
PKC[epsilon],0.188424994129407,R1C1P1,75,3
MAPKAPK2,0.1791420105603,R1C1P1,76,3
DYRK1A,0.16813069671335,R1C1P1,77,3
SgK307,0.163675884293248,R1C1P1,78,4
CK1[alpha],0.147520006363144,R1C1P1,79,4
PKA[alpha],0.146301788223826,R1C1P1,80,4
PKC[beta],0.1438755557577,R1C1P1,81,4
PKC[alpha],0.141462802430361,R1C1P1,82,4
mTOR/FRAP,0.141462802430361,R1C1P1,83,4
CDK3,0.120330794367946,R1C1P1,84,4
AurB/Aur1,0.118045028660399,R1C1P1,85,4
Pim1,0.109020403010311,R1C1P1,86,4
CHK1,0.10790539730952,R1C1P1,87,4
PKC[gamma],0.0990869322623309,R1C1P1,88,4
CHK2,0.0947439512515487,R1C1P1,89,4
CDKL1,0.0946284238173104,R1C1P1,90,4
CDKL3,0.0851281824599496,R1C1P1,91,4
PKC[zeta],0.0705810742857073,R1C1P1,92,4
SGK2,0.0594835150674328,R1C1P1,93,4
Pim3,0.051587034221399,R1C1P1,94,4
AMPK[alpha]1,0.0447934624580583,R1C1P1,95,4
DCAMKL1,0.0327467344671277,R1C1P1,96,4
CDK5,0.0213630516155257,R1C1P1,97,4
CDK9,0.0186344909214556,R1C1P1,98,4
PCTAIRE2,0.0105501823333082,R1C1P1,99,4
TNIK/ZC2,0.00877482871272445,R1C1P1,100,4
COT,0.00174066157630127,R1C1P1,101,4
DAPK1,8.6945871262889e-4,R1C1P1,102,4
CHK1,2.09691001300806,R1C1P2,1,1
Pim3,1.65757731917779,R1C1P2,2,1
Pim1,1.58502665202918,R1C1P2,3,1
CDKL3,1.49485002168009,R1C1P2,4,1
Pim2,1.31875876262441,R1C1P2,5,1
RSKL2,0.972463808775291,R1C1P2,6,1
PKC[theta],0.958607314841775,R1C1P2,7,1
PFTAIRE2,0.950781977329818,R1C1P2,8,1
PDK1,0.913640169325252,R1C1P2,9,1
PDHK1,0.866461091629782,R1C1P2,10,1
PKG1,0.785156151952302,R1C1P2,11,1
DAPK1,0.780018032039548,R1C1P2,12,1
CK2[alpha]1,0.774690718274137,R1C1P2,13,1
ADCK3,0.730487055782084,R1C1P2,14,1
MAPK14,0.72584215073632,R1C1P2,15,1
PAK1,0.721246399047171,R1C1P2,16,1
GSK3[beta],0.669586226650809,R1C1P2,17,1
CDK7,0.616184634019569,R1C1P2,18,1
PKC[zeta],0.616184634019569,R1C1P2,19,1
AlphaK1,0.605548319173784,R1C1P2,20,1
HGK/ZC1,0.552841968657781,R1C1P2,21,1
PKC[alpha],0.534617148551582,R1C1P2,22,1
