HGNC,PTMSEA,KEA3,UKA,KRSA,CombinedScore,Percentile,Rescaled
SGK1,0.6197183098591549,0.9228571428571428,0.3211009174311927,0.47648902821316613,0.615943584808613,96,0.6315258230387368
PIK3C2A,0,-1,-1,-1,0.2562474081209193,10,0.1210381639477088
CHEK1,0.38028169014084506,0.9542857142857144,-1,0.7272727272727273,0.6051388252099867,95,0.6161915025982584
AURKA,0.971830985915493,0.9771428571428572,-1,0.6394984326018809,0.6591907448116301,98,0.6929030155226142
RPS6KA5,0.943661971830986,0.8428571428571429,-1,0.7774294670846394,0.6446386283471836,97,0.6722503749047372
CHEK2,0.676056338028169,0.8028571428571428,-1,0.6896551724137931,0.5832702844039143,93,0.5851552533207984
RAF1,0.704225352112676,0.8057142857142857,0.1834862385321101,0.12539184952978055,0.46044768241626,77,0.410843079225644
PRKCG,0,0.7371428571428571,-1,0.06269592476489028,0.35089327872825954,43,0.25536138465551034
PRKCB,0.5070422535211268,0.8657142857142858,-1,0.06269592476489028,0.4472406874086539,75,0.39209946057741624
CDK1,0.5633802816901409,0.9142857142857144,-1,0.8526645768025078,0.6405656614367594,97,0.6664699427555713
ARAF,0.5915492957746479,0.7028571428571428,0.6238532110091743,0.12539184952978055,0.5214479005322956,85,0.49741574963001794
PIM1,0.7464788732394366,0.9342857142857144,0.944954128440367,0.7523510971786834,0.8662579022246564,100,0.9867766658788919
CDK4,0.647887323943662,0.8314285714285714,0.45871559633027525,0.8526645768025078,0.7174445754609333,99,0.77557796056955
BRAF,0.5915492957746479,0.7828571428571428,0.6238532110091743,0.12539184952978055,0.5502319005322956,90,0.5382665501989495
PRKCA,0.4929577464788733,0.9657142857142856,-1,0.06269592476489028,0.4765278950878652,80,0.43366442306089104
PRKACA,0.2535211267605634,0.9885714285714284,-1,0.16300940438871472,0.4786679467041519,80,0.43670162504060717
PRKACG,0.7464788732394366,-1,-1,0.16300940438871472,0.30638616804908614,27,0.19219604619475864
PRKACB,0.7464788732394366,0.2,-1,0.16300940438871472,0.29039870780935767,21,0.16950633837594017
RPS6KB1,0.9859154929577464,0.98,-1,0.7774294670846394,0.6916851228767499,99,0.7390196552512716
CDK2,0.5211267605633803,0.9514285714285714,0.9724770642201837,0.8526645768025078,0.8755752336855103,100,1
MAPK3,0.5774647887323944,0.9314285714285714,-1,0.46394984326018807,0.5627763498017787,91,0.5560698713271712
MAPK1,0.7183098591549296,0.9428571428571428,-1,0.46394984326018807,0.5820446234592661,92,0.5834157719834252
AKT1,0.5352112676056338,0.9628571428571427,-1,0.3385579937304075,0.5404455204156934,89,0.5243775332994541
AKT2,0.3661971830985915,0.9485714285714286,-1,0.3385579937304075,0.5171472415462287,85,0.4913121725540451
MAP3K8,0.39436619718309857,0.6314285714285715,-1,0.677115987460815,0.49615183950432773,82,0.46151509842681343
PRKCI,0.7464788732394366,0.7057142857142857,-1,0.4263322884012539,0.5038151088902079,83,0.4723909561737766
MAPK8,0.8732394366197183,0.7742857142857142,-1,0.890282131661442,0.6401828926039472,97,0.6659267099438281
MAPK9,0,0.8371428571428572,-1,0.890282131661442,0.5619856083598458,91,0.5549476360247119
