Kinase,Z,method,AvgZ
P38,-4.2,710317412>0.15,-3.9175
JNK,-4.15,710317412>0.15,-3.8475
DYRK,-3.34,710317412>0.15,-3.5575
PLK,-3.08,710317412>0.15,-1.9575
CK1,-3.04,710317412>0.15,-2.715
CDK,-2.92,710317412>0.15,-2.37
PKCI,2.83,710317412>0.15,3.035
ERK,-2.78,710317412>0.15,-2.9775
NMO,-2.72,710317412>0.15,-2.045
PKCH,2.64,710317412>0.15,1.3525
STE7,-2.58,710317412>0.15,-1.685
PIM,2.54,710317412>0.15,2.455
FRAY,2.5,710317412>0.15,2.405
MARK,-2.46,710317412>0.15,-1.94
PKCD,2.1,710317412>0.15,1.9224999999999999
DMPK,1.91,710317412>0.15,2.25
STKR,-1.9,710317412>0.15,-1.5274999999999999
PAKA,1.84,710317412>0.15,2.0125
MELK,1.74,710317412>0.15,1.25
PDK1,-1.73,710317412>0.15,-1.5175
IKK,-1.66,710317412>0.15,-0.665
IRAK,-1.64,710317412>0.15,-1.3175
AUR,1.61,710317412>0.15,2.1075
GSK,-1.59,710317412>0.15,-1.8375
RSK,1.59,710317412>0.15,1.3875
MLK,1.53,710317412>0.15,1.25
PKG,1.52,710317412>0.15,1.75
PAKB,1.51,710317412>0.15,0.325
AKT,1.5,710317412>0.15,1.6125
TLK,-1.45,710317412>0.15,-1.115
PDHK,1.43,710317412>0.15,1.24
RAD53,1.43,710317412>0.15,0.63
HAL,-1.42,710317412>0.15,-1.1400000000000001
CHK1,-1.41,710317412>0.15,-1.0075
PKN,1.41,710317412>0.15,0.30249999999999994
RIPK,-1.4,710317412>0.15,-1.025
TTK,-1.36,710317412>0.15,-1.0975000000000001
PKA,1.35,710317412>0.15,1.92
NAK,-1.35,710317412>0.15,-1.09
NUAK,-1.34,710317412>0.15,-1.11
COT,1.33,710317412>0.15,-0.15249999999999997
PKD,1.32,710317412>0.15,1.27
STE11,-1.3,710317412>0.15,-1.0025
GRK,-1.2,710317412>0.15,-0.8025
CAMK1,-1.12,710317412>0.15,-1.705
TAO,1.06,710317412>0.15,0.755
CLK,-1.05,710317412>0.15,-0.8150000000000001
MSN,1.05,710317412>0.15,1.3250000000000002
PHK,1.05,710317412>0.15,1.6
WNK,1.01,710317412>0.15,0.7449999999999999
BUD32,-1,710317412>0.15,-0.785
NIK,-1,710317412>0.15,-0.795
KHS,-0.99,710317412>0.15,-0.79
MOS,-0.99,710317412>0.15,-0.78
CAMKK,-0.98,710317412>0.15,-0.775
PASK,0.98,710317412>0.15,0.73
BRSK,-0.98,710317412>0.15,-0.7875
SLK,-0.97,710317412>0.15,-0.7825
ULK,-0.96,710317412>0.15,-0.7825
ATM,-0.96,710317412>0.15,-1.3375
MAPKAPK,0.95,710317412>0.15,0.7075
PKCA,0.89,710317412>0.15,0.64
SGK,0.88,710317412>0.15,0.13749999999999998
PEK,-0.81,710317412>0.15,-0.14250000000000002
MTOR,0.69,710317412>0.15,0.36
CK2,-0.69,710317412>0.15,-0.1875
MST,-0.62,710317412>0.15,-0.5325
BARK2,0.59,710317412>0.15,0.745
AMPK,0.5,710317412>0.15,0.22
MLCK,0.48,710317412>0.15,0.39
NDR,0.48,710317412>0.15,1.115
VRK1,-0.45,710317412>0.15,-0.8775000000000001
LKB,-0.31,710317412>0.15,-0.27749999999999997
CAMK2,0.3,710317412>0.15,0.2025
NEK,0.28,710317412>0.15,0.545
ATR,-0.24,710317412>0.15,0.0925
RAF,0.1,710317412>0.15,0.47750000000000004
QIK,-0.08,710317412>0.15,-0.11999999999999997
PRKDC,0.03,710317412>0.15,0.3375
DAPK,0.02,710317412>0.15,-0.1425
DYRK,-3.96,710317412>0.2,-3.5575
P38,-3.73,710317412>0.2,-3.9175
JNK,-3.67,710317412>0.2,-3.8475
PKCI,3.43,710317412>0.2,3.035
CK1,-2.52,710317412>0.2,-2.715
ERK,-2.52,710317412>0.2,-2.9775
STE7,-2.5,710317412>0.2,-1.685
PLK,-2.5,710317412>0.2,-1.9575
PIM,2.44,710317412>0.2,2.455
NMO,-2.39,710317412>0.2,-2.045
MARK,-2.17,710317412>0.2,-1.94
AKT,2.1,710317412>0.2,1.6125
PKA,2.07,710317412>0.2,1.92
FRAY,2.07,710317412>0.2,2.405
DMPK,2.02,710317412>0.2,2.25
CAMK1,-1.97,710317412>0.2,-1.705
CDK,-1.95,710317412>0.2,-2.37
GSK,-1.9,710317412>0.2,-1.8375
PKG,1.89,710317412>0.2,1.75
PAKA,1.85,710317412>0.2,2.0125
PHK,1.84,710317412>0.2,1.6
ATM,-1.78,710317412>0.2,-1.3375
IRAK,-1.72,710317412>0.2,-1.3175
MELK,1.59,710317412>0.2,1.25
STKR,-1.56,710317412>0.2,-1.5274999999999999
STE11,-1.48,710317412>0.2,-1.0025
PDHK,1.48,710317412>0.2,1.24
PDK1,-1.45,710317412>0.2,-1.5175
RSK,1.42,710317412>0.2,1.3875
AUR,1.39,710317412>0.2,2.1075
PKCD,1.35,710317412>0.2,1.9224999999999999
MSN,1.34,710317412>0.2,1.3250000000000002
MAPKAPK,1.3,710317412>0.2,0.7075
HAL,-1.3,710317412>0.2,-1.1400000000000001
PKD,1.27,710317412>0.2,1.27
MST,-1.26,710317412>0.2,-0.5325
NUAK,-1.25,710317412>0.2,-1.11
TLK,-1.21,710317412>0.2,-1.115
NAK,-1.21,710317412>0.2,-1.09
PASK,1.2,710317412>0.2,0.73
TTK,-1.19,710317412>0.2,-1.0975000000000001
TAO,1.16,710317412>0.2,0.755
MLK,1.15,710317412>0.2,1.25
WNK,1.14,710317412>0.2,0.7449999999999999
VRK1,-1.06,710317412>0.2,-0.8775000000000001
COT,-1,710317412>0.2,-0.15249999999999997
CHK1,-0.97,710317412>0.2,-1.0075
KHS,-0.9,710317412>0.2,-0.79
NIK,-0.89,710317412>0.2,-0.795
CLK,-0.89,710317412>0.2,-0.8150000000000001
BUD32,-0.88,710317412>0.2,-0.785
MOS,-0.86,710317412>0.2,-0.78
BRSK,-0.86,710317412>0.2,-0.7875
ULK,-0.86,710317412>0.2,-0.7825
SLK,-0.86,710317412>0.2,-0.7825
CAMKK,-0.85,710317412>0.2,-0.775
BARK2,0.84,710317412>0.2,0.745
PKCA,0.82,710317412>0.2,0.64
NDR,0.81,710317412>0.2,1.115
SGK,0.75,710317412>0.2,0.13749999999999998
IKK,-0.73,710317412>0.2,-0.665
RAD53,0.73,710317412>0.2,0.63
GRK,-0.7,710317412>0.2,-0.8025
RAF,0.68,710317412>0.2,0.47750000000000004
DAPK,-0.58,710317412>0.2,-0.1425
MTOR,0.58,710317412>0.2,0.36
RIPK,-0.57,710317412>0.2,-1.025
PKCH,0.57,710317412>0.2,1.3525
LKB,-0.51,710317412>0.2,-0.27749999999999997
NEK,0.42,710317412>0.2,0.545
QIK,0.42,710317412>0.2,-0.11999999999999997
PEK,-0.36,710317412>0.2,-0.14250000000000002
ATR,-0.32,710317412>0.2,0.0925
CK2,-0.29,710317412>0.2,-0.1875
AMPK,-0.2,710317412>0.2,0.22
CAMK2,-0.18,710317412>0.2,0.2025
PAKB,0.16,710317412>0.2,0.325
MLCK,-0.12,710317412>0.2,0.39
PKN,0.12,710317412>0.2,0.30249999999999994
PRKDC,-0.11,710317412>0.2,0.3375
DYRK,-4.08,710317412>0.3,-3.5575
JNK,-3.9,710317412>0.3,-3.8475
P38,-3.73,710317412>0.3,-3.9175
PKCI,3.17,710317412>0.3,3.035
CK1,-3.05,710317412>0.3,-2.715
ERK,-2.99,710317412>0.3,-2.9775
DMPK,2.65,710317412>0.3,2.25
CDK,-2.38,710317412>0.3,-2.37
FRAY,2.38,710317412>0.3,2.405
CAMK1,-2.3,710317412>0.3,-1.705
PKA,2.25,710317412>0.3,1.92
PIM,2.16,710317412>0.3,2.455
PAKA,2.07,710317412>0.3,2.0125
PKCD,2.03,710317412>0.3,1.9224999999999999
STE7,-1.97,710317412>0.3,-1.685
NMO,-1.96,710317412>0.3,-2.045
AUR,1.94,710317412>0.3,2.1075
PDHK,1.93,710317412>0.3,1.24
MARK,-1.85,710317412>0.3,-1.94
GSK,-1.78,710317412>0.3,-1.8375
PLK,-1.72,710317412>0.3,-1.9575
PKG,1.71,710317412>0.3,1.75
MLK,1.7,710317412>0.3,1.25
MSN,1.59,710317412>0.3,1.3250000000000002
ATM,-1.51,710317412>0.3,-1.3375
PHK,1.46,710317412>0.3,1.6
WNK,1.38,710317412>0.3,0.7449999999999999
AKT,1.37,710317412>0.3,1.6125
TAO,1.33,710317412>0.3,0.755
PDK1,-1.33,710317412>0.3,-1.5175
PKD,1.31,710317412>0.3,1.27
PASK,1.31,710317412>0.3,0.73
PKCH,1.23,710317412>0.3,1.3525
MELK,1.23,710317412>0.3,1.25
STKR,-1.22,710317412>0.3,-1.5274999999999999
IRAK,-1.18,710317412>0.3,-1.3175
NDR,1.16,710317412>0.3,1.115
BARK2,1.1,710317412>0.3,0.745
HAL,-1.08,710317412>0.3,-1.1400000000000001
STE11,-1.08,710317412>0.3,-1.0025
NUAK,-1.08,710317412>0.3,-1.11
RIPK,-1.08,710317412>0.3,-1.025
TTK,-1.08,710317412>0.3,-1.0975000000000001
CHK1,-1.06,710317412>0.3,-1.0075
TLK,-1.05,710317412>0.3,-1.115
NAK,-1.03,710317412>0.3,-1.09
RSK,1.02,710317412>0.3,1.3875
GRK,-0.83,710317412>0.3,-0.8025
VRK1,-0.8,710317412>0.3,-0.8775000000000001
BRSK,-0.79,710317412>0.3,-0.7875
COT,-0.79,710317412>0.3,-0.15249999999999997
CLK,-0.78,710317412>0.3,-0.8150000000000001
NIK,-0.78,710317412>0.3,-0.795
ULK,-0.77,710317412>0.3,-0.7825
SLK,-0.77,710317412>0.3,-0.7825
MOS,-0.76,710317412>0.3,-0.78
BUD32,-0.75,710317412>0.3,-0.785
CAMKK,-0.74,710317412>0.3,-0.775
KHS,-0.74,710317412>0.3,-0.79
NEK,0.69,710317412>0.3,0.545
PKCA,0.62,710317412>0.3,0.64
QIK,-0.6,710317412>0.3,-0.11999999999999997
MST,-0.48,710317412>0.3,-0.5325
PRKDC,0.44,710317412>0.3,0.3375
MTOR,0.43,710317412>0.3,0.36
PKN,0.42,710317412>0.3,0.30249999999999994
PAKB,0.4,710317412>0.3,0.325
IKK,-0.36,710317412>0.3,-0.665
PEK,0.3,710317412>0.3,-0.14250000000000002
MLCK,0.21,710317412>0.3,0.39
DAPK,0.19,710317412>0.3,-0.1425
SGK,-0.18,710317412>0.3,0.13749999999999998
RAF,0.17,710317412>0.3,0.47750000000000004
ATR,0.16,710317412>0.3,0.0925
AMPK,0.16,710317412>0.3,0.22
MAPKAPK,0.08,710317412>0.3,0.7075
CAMK2,-0.05,710317412>0.3,0.2025
CK2,0.05,710317412>0.3,-0.1875
LKB,0.01,710317412>0.3,-0.27749999999999997
RAD53,0.01,710317412>0.3,0.63
P38,-4.01,710317412>0.4,-3.9175
JNK,-3.67,710317412>0.4,-3.8475
ERK,-3.62,710317412>0.4,-2.9775
AUR,3.49,710317412>0.4,2.1075
DYRK,-2.85,710317412>0.4,-3.5575
PKCI,2.71,710317412>0.4,3.035
PIM,2.68,710317412>0.4,2.455
FRAY,2.67,710317412>0.4,2.405
DMPK,2.42,710317412>0.4,2.25
PAKA,2.29,710317412>0.4,2.0125
CK1,-2.25,710317412>0.4,-2.715
CDK,-2.23,710317412>0.4,-2.37
PKCD,2.21,710317412>0.4,1.9224999999999999
GSK,-2.08,710317412>0.4,-1.8375
PHK,2.05,710317412>0.4,1.6
NDR,2.01,710317412>0.4,1.115
PKA,2.01,710317412>0.4,1.92
PKG,1.88,710317412>0.4,1.75
PDK1,-1.56,710317412>0.4,-1.5175
RSK,1.52,710317412>0.4,1.3875
AKT,1.48,710317412>0.4,1.6125
CAMK1,-1.43,710317412>0.4,-1.705
STKR,-1.43,710317412>0.4,-1.5274999999999999
MSN,1.32,710317412>0.4,1.3250000000000002
MARK,-1.28,710317412>0.4,-1.94
VRK1,-1.2,710317412>0.4,-0.8775000000000001
PKD,1.18,710317412>0.4,1.27
NMO,-1.11,710317412>0.4,-2.045
ATM,-1.1,710317412>0.4,-1.3375
RIPK,-1.05,710317412>0.4,-1.025
MLCK,0.99,710317412>0.4,0.39
PRKDC,0.99,710317412>0.4,0.3375
PKCH,0.97,710317412>0.4,1.3525
RAF,0.96,710317412>0.4,0.47750000000000004
SGK,-0.9,710317412>0.4,0.13749999999999998
NEK,0.79,710317412>0.4,0.545
NUAK,-0.77,710317412>0.4,-1.11
PAKB,-0.77,710317412>0.4,0.325
ATR,0.77,710317412>0.4,0.0925
NAK,-0.77,710317412>0.4,-1.09
HAL,-0.76,710317412>0.4,-1.1400000000000001
TTK,-0.76,710317412>0.4,-1.0975000000000001
TLK,-0.75,710317412>0.4,-1.115
PKN,-0.74,710317412>0.4,0.30249999999999994
CAMK2,0.74,710317412>0.4,0.2025
IRAK,-0.73,710317412>0.4,-1.3175
MLK,0.62,710317412>0.4,1.25
CHK1,-0.59,710317412>0.4,-1.0075
PASK,-0.57,710317412>0.4,0.73
WNK,-0.55,710317412>0.4,0.7449999999999999
ULK,-0.54,710317412>0.4,-0.7825
CLK,-0.54,710317412>0.4,-0.8150000000000001
TAO,-0.53,710317412>0.4,0.755
CAMKK,-0.53,710317412>0.4,-0.775
KHS,-0.53,710317412>0.4,-0.79
PLK,-0.53,710317412>0.4,-1.9575
SLK,-0.53,710317412>0.4,-0.7825
BRSK,-0.52,710317412>0.4,-0.7875
BUD32,-0.51,710317412>0.4,-0.785
NIK,-0.51,710317412>0.4,-0.795
MOS,-0.51,710317412>0.4,-0.78
MAPKAPK,0.5,710317412>0.4,0.7075
GRK,-0.48,710317412>0.4,-0.8025
BARK2,0.45,710317412>0.4,0.745
MELK,0.44,710317412>0.4,1.25
AMPK,0.42,710317412>0.4,0.22
RAD53,0.35,710317412>0.4,0.63
STE7,0.31,710317412>0.4,-1.685
PEK,0.3,710317412>0.4,-0.14250000000000002
LKB,-0.3,710317412>0.4,-0.27749999999999997
MTOR,-0.26,710317412>0.4,0.36
MST,0.23,710317412>0.4,-0.5325
PKCA,0.23,710317412>0.4,0.64
QIK,-0.22,710317412>0.4,-0.11999999999999997
DAPK,-0.2,710317412>0.4,-0.1425
CK2,0.18,710317412>0.4,-0.1875
STE11,-0.15,710317412>0.4,-1.0025
COT,-0.15,710317412>0.4,-0.15249999999999997
PDHK,0.12,710317412>0.4,1.24
IKK,0.09,710317412>0.4,-0.665
