Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
CHEK2,O96017,CAMK,RAD53,NA,0.4811596985603175,0.4294570601181025,0.6695862266508091,-0.8700013802796408,-0.8771241986880658,0.02852137558400251,NA,12
RPS6KA4,O75676,AGC-CAMK,RSK,NA,0.42108431845825994,0.42108431845825994,0.44855000202712486,-0.8827453602973317,-0.8827453602973317,0,NA,3
AKT1,P31749,AGC,AKT,NA,0.47715440060869163,0.41341269532824504,0.6903698325741012,-0.8570365274062658,-0.8656205350711781,0.02380513451064165,NA,19
CAMK2G,Q13555,CAMK,CAMK2,NA,0.35834429563173964,0.4078360262901093,0.42712839779951983,-0.8921565968598744,-0.8428740174706234,0.10034851253968387,NA,4
AURKB,Q96GD4,CAMK,AUR,NA,0.3992643773719628,0.3957739469155299,0.42481215507233894,-0.8640429415487664,-0.8640429415487664,0,NA,3
PKN1,Q16512,AGC,PKN,NA,0.3843200064365937,0.37675070960209955,0.438898616350944,-0.840935486131053,-0.8517826360128621,0.021524145765832888,NA,4
CAMK2B,Q13554,CAMK,CAMK2,NA,0.3491266956928491,0.3605180799916949,0.39147396642280585,-0.8621482890085804,-0.8446868991018396,0.03492277981348163,NA,4
PRKCI,P41743,AGC,PKC,NA,0.33670181590827086,0.3372421683184259,0.46852108295774486,-0.8515372288085067,-0.8342962086910257,0.028358755208115084,NA,13
MYLK3,Q32MK0,CAMK,MLCK,NA,0.3286019366562901,0.32733274258005207,0.3585258894959005,-0.8385782935107146,-0.8385782935107146,0,NA,3
AKT3,Q9Y243,AGC,AKT,NA,0.3279282760181715,0.3182692255867033,0.393618634889395,-0.8277688356432287,-0.8302266365464335,0.02361317247767144,NA,5
MAPKAPK3,Q16644,CAMK,MAPKAPK,NA,0.23954521817224475,0.3115801779972894,0.3851027839668654,-0.8324021508890498,-0.7843276669512709,0.07129742651833403,NA,18
CDK19,Q9BWU1,CMGC,CDK,NA,0.30899558867143334,0.29929628285498067,0.3391345219961308,-0.8014996465403224,-0.8014996465403224,0,NA,3
SGK2,Q9HBY8,AGC,SGK,NA,0.2798897517918683,0.28567024025476695,0.5406075122407692,-0.8025924904060244,-0.7788655077684183,0.09738401273235918,NA,9
SGK3,Q96BR1,AGC,SGK,NA,0.24524707853377262,0.266000713461613,0.44855000202712486,-0.8123052943252477,-0.7647472180171679,0.09048863761470215,NA,9
SGK1,O00141,AGC,SGK,NA,0.3132764885366297,0.2580609222708011,0.549750891680639,-0.7998975855137868,-0.8085929888161862,0.06806012181713704,NA,12
CDK13,Q14004,CMGC,CDK,NA,0.23367300950436667,0.2448884043082449,0.2564902352715702,-0.7538156321383181,-0.7503422659464962,0.015032477161244078,NA,4
NPR1,P16066,RGC,RGC,NA,0.2447543538944265,0.24260397120697583,0.29929628285498067,-0.803172464716756,-0.8033611433925465,0.017462932252923512,NA,12
PLK3,Q9H4B4,CAMK,PLK,NA,0.24468237769552575,0.23807216157947098,0.29929628285498067,-0.7402906746373076,-0.7614680323955902,0.031766036637424055,NA,3
CDK10,Q15131,CMGC,CDK,NA,0.2418573565789717,0.23600985601412347,0.30627305107635305,-0.7632884011546281,-0.7529800344385328,0.031803528648194676,NA,4
RPS6KA1,Q15418,AGC-CAMK,RSK,NA,0.2257169929049144,0.23062267392386154,0.31515463835558755,-0.8016912500771374,-0.7971883313736189,0.021266142147191417,NA,15
CDK4,P11802,CMGC,CDK,NA,0.23554488216862232,0.22914798835785583,0.28232949699773785,-0.7627870747115861,-0.7627870747115861,0,NA,5
ROCK1,Q13464,AGC,DMPK,NA,0.2237596380045133,0.22475374025976358,0.239577516576788,-0.7381450243682993,-0.7381450243682993,0,NA,3
RPS6KA3,P51812,AGC-CAMK,RSK,NA,0.2523530027321036,0.2218487496163564,0.3625102704874893,-0.8006201459024609,-0.8026165685007693,0.018986638575991355,NA,12
RPS6KC1,Q96S38,OTHER,RSKL,NA,0.2183512098028487,0.21681189828048944,0.23062267392386154,-0.7251295919446817,-0.7251295919446817,0,NA,3
PAK1,Q13153,STE,STE20,NA,0.21183187027704356,0.21183162885883233,0.23807216157947098,-0.7618408253655864,-0.7618408253655864,0,NA,6
NPR2,P20594,RGC,RGC,NA,0.21259884842583432,0.20760831050174613,0.2502636844309389,-0.7085613590533715,-0.7371471199217043,0.039142665127585935,NA,3
RPS6KB1,P23443,AGC,RSK,NA,0.20994011154668096,0.1817741063860445,0.42712839779951983,-0.7704478110081237,-0.7790754069018907,0.05729458605135243,NA,14
MAPKAPK2,P49137,CAMK,MAPKAPK,NA,0.10468676384949006,0.1284270644541213,0.1938200260161128,-0.7610848000179504,-0.7164423479128915,0.06686680000483516,NA,15
RPS6KA6,Q9UK32,AGC-CAMK,RSK,NA,0.13764557593813315,0.1222988959585872,0.2596373105057561,-0.7308227798383781,-0.7236200588560336,0.05539099449981733,NA,10
ATR,Q13535,Atypical,PIKK,NA,0.1103126107685952,0.1180450286603995,0.14146280243036088,-0.6836883056787295,-0.648959811116938,0.1041854836853744,NA,6
MAPK11,Q15759,CMGC,MAPK,NA,0.110876110742762,0.11577123036739606,0.1390633792999063,-0.6508609469557515,-0.6354524213396293,0.06353766574762267,NA,4
MAPK9,P45984,CMGC,MAPK,NA,0.1069531217757652,0.114638779968488,0.12959609472097294,-0.7172725786171771,-0.7299451612197637,0.016235483935348963,NA,13
CDK9,P50750,CMGC,CDK,NA,0.09995925364280078,0.10568393731556154,0.11577123036739606,-0.6702328100434611,-0.6544775914624238,0.02363282787155607,NA,6
