HGNC,PTMSEA,KEA3,UKA,KRSA,CombinedScore,Percentile,Rescaled
SGK1,0.6944444444444444,0.5228571428571429,0.9158878504672896,0.5768025078369906,0.6594359687855025,97,0.6875555922290592
PIK3C2A,0,-1,-1,-1,0.2562474081209193,10,0.13682066208528695
CHEK1,0.3611111111111111,0.9828571428571428,-1,0.3636363636363637,0.5326213811595899,86,0.5143333585866968
AURKA,0.8611111111111112,0.9257142857142856,-1,0.915360501567398,0.6910218175133139,98,0.7307002443589952
DAPK3,0,0.7828571428571428,0.2897196261682243,0.90282131661442,0.5850375846248499,92,0.5859312087495561
RPS6KA5,0.9305555555555556,0.7942857142857143,-1,0.06269592476489028,0.47252998382598177,78,0.4322515865785421
CHEK2,0.7777777777777778,0.8514285714285714,-1,0.11285266457680251,0.48401322359461835,79,0.4479371041472448
RAF1,0.7222222222222222,0.7114285714285714,0.8317757009345794,0.2006269592476489,0.6138681423776925,94,0.6253122744817925
PRKCG,0,0.5742857142857143,-1,0.7147335423197492,0.44263357010167903,72,0.3914146161623587
PRKCB,0.5555555555555556,0.7085714285714285,-1,0.7147335423197492,0.5461664745367012,88,0.5328352626152689
CDK1,0.4722222222222222,0.7457142857142857,-1,0.677115987460815,0.5401233565601321,87,0.5245806728739566
ARAF,0.2361111111111111,0.6714285714285714,0.7102803738317757,0.2006269592476489,0.5050452103943073,82,0.476665721253392
PIM1,0.9583333333333334,0.8885714285714286,0.45794392523364486,0.45141065830721006,0.6763798499448238,97,0.7107000663462361
CDK4,0.5277777777777778,0.9457142857142856,0.6261682242990654,0.677115987460815,0.7411936422588762,98,0.7992323881055526
BRAF,0.2361111111111111,0.4942857142857143,0.7102803738317757,0.2006269592476489,0.4413092103943072,71,0.38960560861084875
PRKCA,0.3055555555555556,0.96,-1,0.7147335423197492,0.5958199422629011,93,0.6006593572138608
PRKACA,0.2638888888888889,0.9771428571428572,-1,0.7648902821316614,0.6073767567023822,94,0.6164453740158281
PRKACG,0.3888888888888889,-1,-1,0.7648902821316614,0.3792755818752657,54,0.3048708482478917
PRKACB,0.8194444444444444,0.18,-1,0.7648902821316614,0.42345837795500435,68,0.3652222854821794
RPS6KB1,0.9861111111111112,0.9742857142857144,-1,0.06269592476489028,0.5342894393294041,87,0.5166118406401412
CDK2,0.6527777777777778,0.98,0.897196261682243,0.677115987460815,0.8391732170252314,100,0.9330674705680129
MAPK3,0.3472222222222222,0.8114285714285714,-1,0.7899686520376176,0.5710102439111393,90,0.5667705795508147
MAPK1,0.3194444444444444,0.8342857142857143,-1,0.7899686520376176,0.5749597360542282,91,0.5721653835996751
AKT1,0.6111111111111112,0.8485714285714285,-1,0.7774294670846394,0.609235259705583,94,0.6189839939606814
AKT2,0.5416666666666666,0.9085714285714286,-1,0.7774294670846394,0.6199907424657052,95,0.6336754327177601
MAP3K8,0.5694444444444444,0.6771428571428572,-1,0.21316614420062696,0.4287885552558803,69,0.3725030347638881
PRKCI,0.8194444444444444,0.6485714285714286,-1,0.47648902821316613,0.5052580007729304,82,0.47695638201547585
MAPK8,0.2916666666666667,0.7714285714285715,-1,0.8652037617554859,0.5688412920841887,89,0.5638079024080607
MAPK9,0,0.9571428571428572,-1,0.8652037617554859,0.5935576639410219,92,0.5975692008574596
CSNK1A1,0,0.5457142857142857,-1,0.8526645768025078,0.46385454533561005,77,0.42040138179325254
CSNK1D,0,0.74,-1,0.8526645768025078,0.52381370869881,86,0.502302528968363
MAPKAPK2,0.5833333333333334,0.5971428571428572,0.102803738317757,0.3887147335423197,0.41586248081524235,65,0.3548466789080478
GSK3B,0.6388888888888888,0.9885714285714284,-1,0.5517241379310345,0.6063917466226797,93,0.6150999006806182
CDK7,0,0.8428571428571429,0.6635514018691588,0.677115987460815,0.6449825529546187,96,0.6678129662358018
CDK9,0.4305555555555556,0.9514285714285714,0.9532710280373832,0.677115987460815,0.8142871941799562,99,0.8990744375547306
RPS6KA3,0.375,0.9942857142857144,-1,0.06269592476489028,0.4721621104717596,78,0.431749090412219
NEK2,0,0.7142857142857143,-1,0.0877742946708464,0.34930080482868336,45,0.2639268375457676
DAPK1,0.5,0.9657142857142856,0.9626168224299064,0.90282131661442,0.8881739771482143,100,1
PRKAA2,0.8888888888888888,0.8,-1,0.1755485893416928,0.4942136519549224,80,0.4618703670136039
CSNK2A1,0.3333333333333333,0.8628571428571429,-1,0.438871473354232,0.5088678891415502,83,0.48188730469652036
PRKDC,0.9722222222222222,0.8971428571428571,-1,0.5391849529780565,0.6126992219994011,94,0.6237155890951317
ATM,0.8055555555555556,0.6514285714285715,-1,0.03761755485893417,0.409010446543858,64,0.34548715092547455
AURKB,0.6805555555555556,0.9228571428571428,-1,0.915360501567398,0.6699606391161917,97,0.7019317530253979
CDK3,0,0.94,0.5700934579439252,0.677115987460815,0.6560186651041514,96,0.6828877303702635
CDK6,0.4305555555555556,0.9914285714285714,0.29906542056074764,0.677115987460815,0.6612679792266852,97,0.6900580246906459
CDK5,0.5972222222222222,0.7857142857142857,0.9252336448598132,0.677115987460815,0.7692050944914827,99,0.8374945976363035
PRKCE,0.4583333333333333,0.7771428571428571,-1,0.23824451410658307,0.4526933263550597,75,0.4051557281332362
PRKCQ,0.9166666666666666,0.84,-1,0.9905956112852664,0.6871629355524077,98,0.7254292091796495
