Kinase,HGNC,Perc,PTMSEA,KEA3,UKA,KRSA,CombinedScore,Percentile,Rescaled
SGK1,SGK1,0.7361111111111112,0.7361111111111112,-1,-1,-1,0.31277464208999367,39,0.40179392910313433
PIK3C2A,PIK3C2A,0,0,-1,-1,-1,0.2562474081209193,12,0.17899266749969753
CHEK1,CHEK1,0.6666666666666666,0.6666666666666666,-1,-1,-1,0.3074418841683829,37,0.38077494215941404
AURKA,AURKA,0.2638888888888889,0.2638888888888889,-1,-1,-1,0.2765118882230403,21,0.25886481788583526
DAPK3,DAPK3,0,0,-1,0,-1,0.21083491664,1,0
RPS6KA5,RPS6KA5,0.5694444444444444,0.5694444444444444,-1,-1,-1,0.29997602307812776,33,0.3513483604382052
CHEK2,CHEK2,0.5833333333333334,0.5833333333333334,-1,-1,-1,0.3010425746624499,33,0.35555215782694916
RAF1,RAF1,0.7083333333333334,0.7083333333333334,-1,-1,-1,0.3106415389213493,38,0.393386334325646
PRKCG,PRKCG,0,0,-1,-1,-1,0.2562474081209193,12,0.17899266749969753
PRKCB,PRKCB,0.6527777777777778,0.6527777777777778,-1,-1,-1,0.30637533258406074,37,0.3765711447706699
CDK1,CDK1,0.875,0.875,-1,-1,-1,0.3234401579332153,45,0.44383190299057534
ARAF,ARAF,0.5416666666666666,0.5416666666666666,-1,-1,-1,0.29784291990948347,32,0.34294076566071713
PIM1,PIM1,0.7777777777777778,0.7777777777777778,-1,-1,-1,0.31597429684296013,41,0.4144053212693665
CDK4,CDK4,0.2777777777777778,0.2777777777777778,-1,-1,-1,0.27757843980736246,22,0.2630686152745794
BRAF,BRAF,0.5416666666666666,0.5416666666666666,-1,-1,-1,0.29784291990948347,32,0.34294076566071713
PRKCA,PRKCA,0.7916666666666666,0.7916666666666666,-1,-1,-1,0.31704084842728236,41,0.4186091186581109
PRKACA,PRKACA,0.4722222222222222,0.4722222222222222,-1,-1,-1,0.29251016198787266,29,0.3219217787169966
PRKACG,PRKACG,0.4027777777777778,0.4027777777777778,-1,-1,-1,0.28717740406626185,26,0.30090279177327606
PRKACB,PRKACB,0.8888888888888888,0.8888888888888888,-1,-1,-1,0.3245067095175374,45,0.4480357003793193
