Kinase,Total_Rank
Akt1/PKB[alpha],1.4444444444444444
PKA[alpha],1.4444444444444444
PKG1,1.4444444444444444
AMPK[alpha]1,1.6666666666666667
PRKX,1.6666666666666667
PAK1,1.7777777777777777
PKC[delta],1.7777777777777777
PKC[eta],1.7777777777777777
Akt2/PKB[beta],1.8888888888888888
HGK/ZC1,1.8888888888888888
PKC[beta],1.8888888888888888
PKC[epsilon],1.8888888888888888
PKC[zeta],1.8888888888888888
PKG2,1.8888888888888888
PKC[alpha],2
PKC[iota],2
PKC[theta],2
RSK3,2
SGK2,2
ADCK3,2.111111111111111
IKK[beta],2.111111111111111
CaMK4,2.2222222222222223
CDK6,2.2222222222222223
CHK1,2.2222222222222223
MSK1,2.2222222222222223
mTOR/FRAP,2.2222222222222223
Pim1,2.2222222222222223
PKN1/PRK1,2.2222222222222223
RSK1/p90RSK,2.2222222222222223
AurA/Aur2,2.3333333333333335
CDK10,2.3333333333333335
DAPK3,2.3333333333333335
NuaK1,2.3333333333333335
p70S6K[beta],2.3333333333333335
Pim2,2.3333333333333335
Pim3,2.3333333333333335
RAF1,2.3333333333333335
ROCK2,2.3333333333333335
RSK2,2.3333333333333335
ARAF,2.4444444444444446
AurB/Aur1,2.4444444444444446
BRAF,2.4444444444444446
CDK7,2.4444444444444446
p70S6K,2.4444444444444446
PKC[gamma],2.4444444444444446
ANP[alpha],2.5555555555555554
CDK9,2.5555555555555554
ERK1,2.5555555555555554
PCTAIRE2,2.5555555555555554
ATR,2.6666666666666665
CDK4,2.6666666666666665
CDKL1,2.6666666666666665
CHK2,2.6666666666666665
CK1[epsilon],2.6666666666666665
PRKY,2.6666666666666665
CDK11,2.7777777777777777
ERK5,2.7777777777777777
p38[delta],2.7777777777777777
p38[gamma],2.7777777777777777
PKD1,2.7777777777777777
CDK2,2.888888888888889
CDK3,2.888888888888889
ERK2,2.888888888888889
IKK[epsilon],2.888888888888889
JNK1,2.888888888888889
JNK3,2.888888888888889
MAPK14,2.888888888888889
MAPKAPK2,2.888888888888889
CDC2/CDK1,3
PFTAIRE2,3
TBK1,3
CDKL5,3.111111111111111
MAPKAPK3,3.111111111111111
ROCK1,3.111111111111111
CDK5,3.2222222222222223
CK1[alpha],3.2222222222222223
COT,3.2222222222222223
JNK2,3.2222222222222223
p38[beta],3.3333333333333335
CDKL2,3.4444444444444446
RSKL2,13
RSKL1,13.222222222222221
TNIK/ZC2,13.777777777777779
SgK307,14
CK2[alpha]1,23.444444444444443
DCAMKL1,24.11111111111111
SGK1,24.11111111111111
GSK3[beta],24.22222222222222
AlphaK1,24.333333333333332
DAPK1,24.333333333333332
DAPK2,24.333333333333332
DYRK1A,24.444444444444443
GSK3[alpha],24.77777777777778
ERK7,25.22222222222222
CaMK2[alpha],34.77777777777778
ICK,35.666666666666664
CK1[delta],45.888888888888886
PFTAIRE1,56.666666666666664
MSK2,56.77777777777778
PDHK1,56.77777777777778
PDK1,67.33333333333333
CDKL3,67.55555555555556
