Kinase,Z,method,AvgZ
ERK,-5.83,710144413>0.15,-4.60375
PKA,5.18,710144413>0.15,4.01125
DYRK,-5.14,710144413>0.15,-4.15125
JNK,-4.85,710144413>0.15,-3.7675
RSK,3.92,710144413>0.15,3.3325
AMPK,3.85,710144413>0.15,2.6475
PDK1,-3.79,710144413>0.15,-2.695
P38,-3.71,710144413>0.15,-2.5525
PKG,3.53,710144413>0.15,3.45125
AKT,3.29,710144413>0.15,2.7600000000000002
PKD,3.14,710144413>0.15,2.27125
MST,-3.09,710144413>0.15,-2.10625
DMPK,3.07,710144413>0.15,2.02
PAKA,2.87,710144413>0.15,2.04375
STE7,-2.82,710144413>0.15,-1.89
PHK,2.59,710144413>0.15,1.30375
NMO,-2.56,710144413>0.15,-2.285
CDK,-2.45,710144413>0.15,-1.60875
PLK,-2.41,710144413>0.15,-2.02625
MAPKAPK,2.35,710144413>0.15,2.335
PKCD,2.22,710144413>0.15,0.975
PKCA,2.19,710144413>0.15,2.07375
RAD53,2.09,710144413>0.15,2.40375
SGK,2.04,710144413>0.15,1.88625
LKB,-2.03,710144413>0.15,-1.8299999999999998
BARK2,1.85,710144413>0.15,1.01125
GSK,-1.84,710144413>0.15,-1.80375
MARK,1.81,710144413>0.15,1.7425
STE11,-1.78,710144413>0.15,-1.4725
PKCI,1.73,710144413>0.15,1.2974999999999999
AUR,1.71,710144413>0.15,0.48125000000000007
MTOR,-1.66,710144413>0.15,-1.1625
IRAK,-1.5,710144413>0.15,-1.4275
NDR,1.46,710144413>0.15,1.34375
CAMK1,1.44,710144413>0.15,1.37125
PIM,1.41,710144413>0.15,1.31
NAK,-1.35,710144413>0.15,-1.0262499999999999
PKN,-1.33,710144413>0.15,-1.01375
TLK,-1.3,710144413>0.15,-1.0125
VRK1,-1.23,710144413>0.15,-1.15375
MLCK,-1.21,710144413>0.15,-1.02875
COT,-1.19,710144413>0.15,-0.6525000000000001
BUD32,1.1,710144413>0.15,0.29874999999999996
CHK1,1.09,710144413>0.15,0.755
RIPK,1.07,710144413>0.15,0.8137500000000001
STKR,-1.05,710144413>0.15,-0.4625
KHS,1.05,710144413>0.15,1.56625
PASK,1.04,710144413>0.15,0.3
TAO,1.04,710144413>0.15,1.53625
MOS,1.04,710144413>0.15,1.54875
WNK,1.04,710144413>0.15,1.025
CLK,-0.98,710144413>0.15,-0.7075
NIK,-0.98,710144413>0.15,-0.71625
GRK,-0.97,710144413>0.15,-0.485
CAMKK,-0.97,710144413>0.15,-0.71625
SLK,-0.95,710144413>0.15,-0.72
BRSK,-0.95,710144413>0.15,-0.7175
CK1,-0.95,710144413>0.15,-0.6875
ULK,-0.94,710144413>0.15,-0.71625
PDHK,0.91,710144413>0.15,0.66625
PKCH,-0.83,710144413>0.15,-1.0475
MLK,0.73,710144413>0.15,-0.2225000000000001
FRAY,-0.73,710144413>0.15,-1.17125
RAF,-0.62,710144413>0.15,-0.31625000000000003
CK2,-0.6,710144413>0.15,-0.77375
IKK,0.47,710144413>0.15,-0.1587500000000001
NEK,-0.45,710144413>0.15,-0.60625
ATR,0.45,710144413>0.15,-0.20249999999999996
QIK,0.43,710144413>0.15,0.06749999999999998
PEK,-0.42,710144413>0.15,-0.5325
PRKDC,-0.41,710144413>0.15,-0.68875
DAPK,0.29,710144413>0.15,-0.2975
MELK,0.28,710144413>0.15,-0.1825
MSN,0.14,710144413>0.15,0.75
NUAK,0.1,710144413>0.15,-0.29375
ATM,0.09,710144413>0.15,-0.14875
HAL,0.07,710144413>0.15,-0.11374999999999999
PAKB,0.07,710144413>0.15,-0.28125
TTK,0.05,710144413>0.15,-0.30625
CAMK2,-0.01,710144413>0.15,0.26875
ERK,-5.81,710144413>0.2,-4.60375
PKA,5.57,710144413>0.2,4.01125
DYRK,-4.95,710144413>0.2,-4.15125
JNK,-4.8,710144413>0.2,-3.7675
RSK,4.04,710144413>0.2,3.3325
AMPK,3.85,710144413>0.2,2.6475
P38,-3.61,710144413>0.2,-2.5525
PDK1,-3.51,710144413>0.2,-2.695
PKG,3.48,710144413>0.2,3.45125
AKT,3.47,710144413>0.2,2.7600000000000002
PKD,3.23,710144413>0.2,2.27125
PAKA,3.04,710144413>0.2,2.04375
DMPK,2.94,710144413>0.2,2.02
MST,-2.91,710144413>0.2,-2.10625
PHK,2.78,710144413>0.2,1.30375
STE7,-2.77,710144413>0.2,-1.89
NMO,-2.6,710144413>0.2,-2.285
PLK,-2.32,710144413>0.2,-2.02625
PKCD,2.3,710144413>0.2,0.975
CDK,-2.21,710144413>0.2,-1.60875
MAPKAPK,2.2,710144413>0.2,2.335
RAD53,2.19,710144413>0.2,2.40375
SGK,2.05,710144413>0.2,1.88625
PKCA,2.03,710144413>0.2,2.07375
LKB,-1.95,710144413>0.2,-1.8299999999999998
BARK2,1.88,710144413>0.2,1.01125
MARK,1.82,710144413>0.2,1.7425
PKCI,1.78,710144413>0.2,1.2974999999999999
GSK,-1.77,710144413>0.2,-1.80375
STE11,-1.7,710144413>0.2,-1.4725
MTOR,-1.63,710144413>0.2,-1.1625
IRAK,-1.48,710144413>0.2,-1.4275
NDR,1.48,710144413>0.2,1.34375
CAMK1,1.47,710144413>0.2,1.37125
NAK,-1.39,710144413>0.2,-1.0262499999999999
PKN,-1.38,710144413>0.2,-1.01375
TLK,-1.35,710144413>0.2,-1.0125
