Kinase,Z,method,AvgZ
ERK,-3.54,710317315>0.15,-2.795
P38,-3.37,710317315>0.15,-2.6100000000000003
JNK,-3.08,710317315>0.15,-2.2325
CK1,-3.07,710317315>0.15,-2.48
PLK,-2.77,710317315>0.15,-2.1
FRAY,2.74,710317315>0.15,1.165
PKCH,2.61,710317315>0.15,1.24
COT,2.3,710317315>0.15,1.4324999999999999
PKCD,2.29,710317315>0.15,2.6075
AUR,2.22,710317315>0.15,2.1025
MLK,2.16,710317315>0.15,1.8
DYRK,-2.1,710317315>0.15,-1.4975
STKR,-1.97,710317315>0.15,-1.4675
PAKB,1.97,710317315>0.15,-0.02250000000000002
DMPK,1.85,710317315>0.15,2.12
PKA,1.82,710317315>0.15,1.4975
NMO,-1.75,710317315>0.15,-1.075
PAKA,1.74,710317315>0.15,1.345
RAD53,1.66,710317315>0.15,1.0525
MAPKAPK,-1.64,710317315>0.15,-1.3075
MTOR,1.61,710317315>0.15,0.7275
CHK1,-1.45,710317315>0.15,-0.7999999999999999
AMPK,1.44,710317315>0.15,0.94
RAF,-1.43,710317315>0.15,-1.3375
BRSK,1.42,710317315>0.15,2.0225
STE7,-1.41,710317315>0.15,-1.3225
NDR,1.32,710317315>0.15,-0.2475
GRK,-1.24,710317315>0.15,-1.0925
PDHK,1.2,710317315>0.15,0.43499999999999994
RSK,1.19,710317315>0.15,0.9525
MELK,1.19,710317315>0.15,0.10249999999999998
AKT,1.06,710317315>0.15,0.6375
HAL,-1.04,710317315>0.15,-0.7775000000000001
GSK,-1.03,710317315>0.15,-0.40249999999999997
PHK,1.03,710317315>0.15,0.95
TTK,-1.03,710317315>0.15,-0.7775000000000001
NEK,-1.02,710317315>0.15,-0.5549999999999999
TLK,-1.01,710317315>0.15,-0.77
NAK,-1,710317315>0.15,-0.7675000000000001
NUAK,-1,710317315>0.15,-0.775
IRAK,-0.97,710317315>0.15,-0.94
CDK,-0.93,710317315>0.15,-0.7625
PKCI,0.87,710317315>0.15,0.3025
ATR,-0.84,710317315>0.15,-0.705
PKCA,0.83,710317315>0.15,0.745
PKG,0.75,710317315>0.15,0.6625
ULK,-0.73,710317315>0.15,-0.5425
NIK,-0.72,710317315>0.15,-0.5425
