Kinase,Z,method,AvgZ
ERK,-4.72,710317318>0.15,-3.545
JNK,-3.97,710317318>0.15,-3.6508333333333334
CDK,-3.72,710317318>0.15,-2.850833333333333
NMO,-3.33,710317318>0.15,-2.5766666666666667
PKG,3.17,710317318>0.15,2.5508333333333333
PKA,3.07,710317318>0.15,2.7216666666666667
DYRK,-3.03,710317318>0.15,-3.0483333333333333
PKCI,2.96,710317318>0.15,2.155
P38,-2.94,710317318>0.15,-2.7666666666666666
PLK,-2.94,710317318>0.15,-2.5933333333333333
PIM,2.59,710317318>0.15,2.0475
PAKA,2.41,710317318>0.15,2.0058333333333334
STKR,-2.32,710317318>0.15,-1.3308333333333333
RAD53,2.14,710317318>0.15,1.8533333333333333
LKB,-2.07,710317318>0.15,-1.405
AKT,2.03,710317318>0.15,1.3766666666666667
RSK,2,710317318>0.15,2.2925
CK1,-1.95,710317318>0.15,-1.0333333333333334
AUR,1.81,710317318>0.15,0.8691666666666666
GSK,-1.8,710317318>0.15,-1.57
STE7,-1.75,710317318>0.15,-1.2291666666666667
GRK,-1.74,710317318>0.15,-0.835
DMPK,1.72,710317318>0.15,1.7616666666666667
IRAK,-1.66,710317318>0.15,-1.3241666666666667
TTK,-1.65,710317318>0.15,-1.2175
PKCH,1.61,710317318>0.15,0.805
NAK,-1.61,710317318>0.15,-0.735
NUAK,-1.59,710317318>0.15,-1.2041666666666666
TLK,-1.58,710317318>0.15,-1.2191666666666667
PKCA,1.58,710317318>0.15,1.7116666666666667
PDK1,-1.57,710317318>0.15,-1.6466666666666667
AMPK,1.5,710317318>0.15,1.7025
BARK2,1.49,710317318>0.15,0.2599999999999999
SGK,1.42,710317318>0.15,1.0241666666666667
ATM,-1.36,710317318>0.15,-1.055
IKK,-1.34,710317318>0.15,-0.5616666666666666
PDHK,1.31,710317318>0.15,1.4233333333333333
PKN,1.26,710317318>0.15,0.20666666666666672
PAKB,1.23,710317318>0.15,1.1491666666666667
RAF,-1.2,710317318>0.15,-0.6758333333333333
ULK,-1.17,710317318>0.15,-0.855
BRSK,-1.15,710317318>0.15,0.15583333333333335
BUD32,-1.15,710317318>0.15,-0.85
MAPKAPK,1.15,710317318>0.15,1.2208333333333332
CLK,-1.15,710317318>0.15,-0.8533333333333334
NIK,-1.15,710317318>0.15,-0.8583333333333334
CK2,-1.15,710317318>0.15,-0.4691666666666666
CAMKK,-1.14,710317318>0.15,-0.8475
MOS,-1.13,710317318>0.15,-0.86
SLK,-1.13,710317318>0.15,-0.8508333333333333
STE11,-1.08,710317318>0.15,-0.5208333333333334
PHK,1.07,710317318>0.15,0.885
MST,-1.03,710317318>0.15,-0.7533333333333333
RIPK,-0.99,710317318>0.15,0.7383333333333334
CAMK1,0.98,710317318>0.15,1.8516666666666666
PKCD,0.97,710317318>0.15,0.785
WNK,0.9,710317318>0.15,-0.5108333333333333
KHS,0.85,710317318>0.15,0.4866666666666667
PASK,0.84,710317318>0.15,0.6366666666666667
FRAY,0.84,710317318>0.15,0.44166666666666665
TAO,0.83,710317318>0.15,1.3066666666666666
VRK1,-0.79,710317318>0.15,-0.8066666666666666
PEK,-0.75,710317318>0.15,-0.5983333333333334
MSN,0.75,710317318>0.15,1.175
MLCK,-0.74,710317318>0.15,-0.1425
NDR,-0.73,710317318>0.15,0.03333333333333335
DAPK,-0.73,710317318>0.15,-0.36833333333333335
PKD,0.6,710317318>0.15,0.6883333333333334
MTOR,0.39,710317318>0.15,0.19166666666666668
ATR,0.38,710317318>0.15,0.3433333333333334
CAMK2,-0.36,710317318>0.15,0.2908333333333334
MLK,0.34,710317318>0.15,0.3566666666666667
MARK,-0.32,710317318>0.15,0.7358333333333333
QIK,0.27,710317318>0.15,0.43416666666666665
CHK1,-0.18,710317318>0.15,0.6558333333333335
HAL,-0.17,710317318>0.15,0.6041666666666666
PRKDC,0.15,710317318>0.15,0.023333333333333324
COT,0.13,710317318>0.15,0.036666666666666674
NEK,0.07,710317318>0.15,0.4775
MELK,0.01,710317318>0.15,0.5833333333333334
ERK,-5.35,710317318>0.2,-3.545
JNK,-4.06,710317318>0.2,-3.6508333333333334
CDK,-4.04,710317318>0.2,-2.850833333333333
P38,-3.91,710317318>0.2,-2.7666666666666666
PKA,3.72,710317318>0.2,2.7216666666666667
NMO,-3.59,710317318>0.2,-2.5766666666666667
DYRK,-3.46,710317318>0.2,-3.0483333333333333
PKCI,3.35,710317318>0.2,2.155
PKG,2.87,710317318>0.2,2.5508333333333333
PLK,-2.83,710317318>0.2,-2.5933333333333333
RAD53,2.74,710317318>0.2,1.8533333333333333
IRAK,-2.36,710317318>0.2,-1.3241666666666667
PAKA,2.35,710317318>0.2,2.0058333333333334
PDK1,-2.26,710317318>0.2,-1.6466666666666667
RSK,2.15,710317318>0.2,2.2925
PIM,2.1,710317318>0.2,2.0475
PKCH,2.01,710317318>0.2,0.805
AMPK,2.01,710317318>0.2,1.7025
STKR,-2,710317318>0.2,-1.3308333333333333
GRK,-1.97,710317318>0.2,-0.835
STE7,-1.83,710317318>0.2,-1.2291666666666667
GSK,-1.78,710317318>0.2,-1.57
DMPK,1.76,710317318>0.2,1.7616666666666667
BARK2,1.71,710317318>0.2,0.2599999999999999
LKB,-1.68,710317318>0.2,-1.405
AKT,1.66,710317318>0.2,1.3766666666666667
PDHK,1.64,710317318>0.2,1.4233333333333333
CK1,-1.61,710317318>0.2,-1.0333333333333334
RAF,-1.57,710317318>0.2,-0.6758333333333333
TLK,-1.5,710317318>0.2,-1.2191666666666667
AUR,1.49,710317318>0.2,0.8691666666666666
TTK,-1.48,710317318>0.2,-1.2175
CAMK1,1.47,710317318>0.2,1.8516666666666666
MLCK,-1.46,710317318>0.2,-0.1425
NAK,-1.45,710317318>0.2,-0.735
NUAK,-1.45,710317318>0.2,-1.2041666666666666
IKK,-1.39,710317318>0.2,-0.5616666666666666
PKN,1.37,710317318>0.2,0.20666666666666672
PAKB,1.35,710317318>0.2,1.1491666666666667
PHK,1.34,710317318>0.2,0.885
PKCD,1.32,710317318>0.2,0.785
PKCA,1.11,710317318>0.2,1.7116666666666667
ATM,-1.09,710317318>0.2,-1.055
CLK,-1.05,710317318>0.2,-0.8533333333333334
ULK,-1.04,710317318>0.2,-0.855
NIK,-1.04,710317318>0.2,-0.8583333333333334
BUD32,-1.04,710317318>0.2,-0.85
CAMKK,-1.03,710317318>0.2,-0.8475
MOS,-1.02,710317318>0.2,-0.86
SLK,-1.02,710317318>0.2,-0.8508333333333333
PKD,1.01,710317318>0.2,0.6883333333333334
TAO,0.99,710317318>0.2,1.3066666666666666
BRSK,-0.99,710317318>0.2,0.15583333333333335
KHS,0.97,710317318>0.2,0.4866666666666667
WNK,0.96,710317318>0.2,-0.5108333333333333
MSN,0.95,710317318>0.2,1.175
PASK,0.93,710317318>0.2,0.6366666666666667
MTOR,0.88,710317318>0.2,0.19166666666666668
CK2,-0.85,710317318>0.2,-0.4691666666666666
MST,-0.85,710317318>0.2,-0.7533333333333333
FRAY,0.83,710317318>0.2,0.44166666666666665
PEK,-0.8,710317318>0.2,-0.5983333333333334
STE11,-0.79,710317318>0.2,-0.5208333333333334
ATR,0.75,710317318>0.2,0.3433333333333334
SGK,0.68,710317318>0.2,1.0241666666666667
NEK,0.54,710317318>0.2,0.4775
VRK1,-0.53,710317318>0.2,-0.8066666666666666
NDR,-0.51,710317318>0.2,0.03333333333333335
PRKDC,0.5,710317318>0.2,0.023333333333333324
QIK,0.39,710317318>0.2,0.43416666666666665
COT,0.38,710317318>0.2,0.036666666666666674
MLK,0.35,710317318>0.2,0.3566666666666667
RIPK,-0.25,710317318>0.2,0.7383333333333334
MELK,-0.24,710317318>0.2,0.5833333333333334
MAPKAPK,0.23,710317318>0.2,1.2208333333333332
DAPK,-0.2,710317318>0.2,-0.36833333333333335
CHK1,0.15,710317318>0.2,0.6558333333333335
MARK,-0.14,710317318>0.2,0.7358333333333333
CAMK2,0.1,710317318>0.2,0.2908333333333334
HAL,-0.03,710317318>0.2,0.6041666666666666
ERK,-5.1,710317318>0.3,-3.545
JNK,-4.7,710317318>0.3,-3.6508333333333334
P38,-4.05,710317318>0.3,-2.7666666666666666
PKA,4.03,710317318>0.3,2.7216666666666667
CDK,-3.61,710317318>0.3,-2.850833333333333
DYRK,-3.15,710317318>0.3,-3.0483333333333333
NMO,-3.12,710317318>0.3,-2.5766666666666667
PKG,2.8,710317318>0.3,2.5508333333333333
PLK,-2.62,710317318>0.3,-2.5933333333333333
PDK1,-2.23,710317318>0.3,-1.6466666666666667
PKCI,1.98,710317318>0.3,2.155
BARK2,1.94,710317318>0.3,0.2599999999999999
PKCD,1.93,710317318>0.3,0.785
AMPK,1.91,710317318>0.3,1.7025
RSK,1.85,710317318>0.3,2.2925
PAKA,1.81,710317318>0.3,2.0058333333333334
IRAK,-1.76,710317318>0.3,-1.3241666666666667
DMPK,1.75,710317318>0.3,1.7616666666666667
RAF,-1.62,710317318>0.3,-0.6758333333333333
STKR,-1.62,710317318>0.3,-1.3308333333333333
STE7,-1.57,710317318>0.3,-1.2291666666666667
PKCH,1.52,710317318>0.3,0.805
GRK,-1.38,710317318>0.3,-0.835
RAD53,1.38,710317318>0.3,1.8533333333333333
AUR,1.36,710317318>0.3,0.8691666666666666
MST,-1.32,710317318>0.3,-0.7533333333333333
CAMK1,1.29,710317318>0.3,1.8516666666666666
TLK,-1.29,710317318>0.3,-1.2191666666666667
PIM,1.28,710317318>0.3,2.0475
AKT,1.27,710317318>0.3,1.3766666666666667
NAK,-1.27,710317318>0.3,-0.735
TTK,-1.25,710317318>0.3,-1.2175
NUAK,-1.22,710317318>0.3,-1.2041666666666666
IKK,-1.18,710317318>0.3,-0.5616666666666666
KHS,1.14,710317318>0.3,0.4866666666666667
LKB,-1.14,710317318>0.3,-1.405
TAO,1.13,710317318>0.3,1.3066666666666666
COT,-1.13,710317318>0.3,0.036666666666666674
PASK,1.1,710317318>0.3,0.6366666666666667
MLCK,-1.07,710317318>0.3,-0.1425
GSK,-1.03,710317318>0.3,-1.57
PDHK,0.99,710317318>0.3,1.4233333333333333
PEK,-0.94,710317318>0.3,-0.5983333333333334
RIPK,0.93,710317318>0.3,0.7383333333333334
PHK,0.9,710317318>0.3,0.885
MOS,-0.89,710317318>0.3,-0.86
MTOR,0.88,710317318>0.3,0.19166666666666668
NIK,-0.88,710317318>0.3,-0.8583333333333334
BUD32,-0.88,710317318>0.3,-0.85
WNK,-0.88,710317318>0.3,-0.5108333333333333
CLK,-0.88,710317318>0.3,-0.8533333333333334
SLK,-0.87,710317318>0.3,-0.8508333333333333
BRSK,-0.87,710317318>0.3,0.15583333333333335
ULK,-0.86,710317318>0.3,-0.855
CAMKK,-0.84,710317318>0.3,-0.8475
NEK,0.82,710317318>0.3,0.4775
CAMK2,0.76,710317318>0.3,0.2908333333333334
ATM,-0.74,710317318>0.3,-1.055
MELK,0.74,710317318>0.3,0.5833333333333334
ATR,0.74,710317318>0.3,0.3433333333333334
PKD,0.72,710317318>0.3,0.6883333333333334
SGK,0.69,710317318>0.3,1.0241666666666667
MLK,0.55,710317318>0.3,0.3566666666666667
MAPKAPK,-0.51,710317318>0.3,1.2208333333333332
CHK1,-0.43,710317318>0.3,0.6558333333333335
PKCA,0.42,710317318>0.3,1.7116666666666667
CK1,-0.4,710317318>0.3,-1.0333333333333334
CK2,-0.39,710317318>0.3,-0.4691666666666666
MARK,0.34,710317318>0.3,0.7358333333333333
MSN,0.31,710317318>0.3,1.175
STE11,-0.3,710317318>0.3,-0.5208333333333334
DAPK,-0.26,710317318>0.3,-0.36833333333333335
HAL,0.22,710317318>0.3,0.6041666666666666
NDR,-0.21,710317318>0.3,0.03333333333333335
PRKDC,-0.17,710317318>0.3,0.023333333333333324
VRK1,-0.16,710317318>0.3,-0.8066666666666666
PKN,0.15,710317318>0.3,0.20666666666666672
PAKB,0.15,710317318>0.3,1.1491666666666667
QIK,-0.06,710317318>0.3,0.43416666666666665
FRAY,0.05,710317318>0.3,0.44166666666666665
