Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
MAPK12,P53778,CMGC,MAPK,0.47712125471966244,1.834121882396211,2.2730012720637376,2.4771212547196626,1.5582381306874094,1.5582381306874094,0,0.23298129059971298,3
MAPK13,O15264,CMGC,MAPK,0.47712125471966244,1.570991266234698,2.1760912590556813,2.3979400086720375,1.1423594622462692,1.0902199825824495,0.07820921949572963,0.2765144258586024,7
CDK2,P24941,CMGC,CDK,0.47712125471966244,1.4973009931882852,2.0621479067488444,2.2218487496163566,1.336762536983122,1.3098624162150607,0.07117102978989413,0.30975631463628484,4
AKT3,Q9Y243,AGC,AKT,0.3098823682396729,1.80417651458319,1.9719712763997566,3.1760912590556813,1.1339775237719778,1.1881833681751026,0.42356847770389144,0.3032494003053199,8
PRKCA,P17252,AGC,PKC,0.17609125905568127,1.3706149464302468,1.5740312677277188,1.8750612633917,0.7430583081866842,0.7395179493192832,0.022533798229041103,0.22081688742594463,21
PRKACA,P17612,AGC,PKA,0.17609125905568127,1.3277332832021456,1.532638582569494,2.0969100130080562,0.5770813988501021,0.5656405047600338,0.03177248650577808,0.1672805758754499,49
NUAK1,O60285,CAMK,CAMKL,0.47712125471966244,0.9936248633236161,1.4771212547196624,1.513333427374107,-1.1513925713156812,-1.1513925713156812,0,-0.32339936934238384,3
PRKCB,P05771,AGC,PKC,0.17609125905568127,1.0920344756760851,1.3979400086720377,1.5740312677277188,0.7594383020407851,0.7344264329097654,0.07000148969169172,0.2137349374380794,16
CDK6,Q00534,CMGC,CDK,0.47712125471966244,0.9013822895262407,1.3907614240449142,1.4518153894548922,1.0596719084557606,1.0596719084557606,0,0.24041488294671712,3
CDK4,P11802,CMGC,CDK,0.47712125471966244,0.8538719643217619,1.3309932190414244,1.3309932190414244,0.9162470368308999,0.9162470368308999,NA,0.3699132980879808,4
PRKCD,Q05655,AGC,PKC,0.17609125905568127,1.148940257894474,1.29527766677489,1.619788758288394,0.7117530499787271,0.7339651966694638,0.04409553033725083,0.20701185049874696,17
MAPK11,Q15759,CMGC,MAPK,0.47712125471966244,0.7810296384273214,1.258150893146984,1.2896005338831993,0.965760275761428,0.965760275761428,0,0.07548971558670114,3
MAPK7,Q13164,CMGC,MAPK,0.3408008962283303,0.5280034741818456,1.2466723333413885,1.2839966563652008,0.8439964788026927,0.5876947707485789,0.3605702825869171,0.11558507334391495,4
PRKY,O43930,AGC,PKA,0.29031667278904166,0.9648893009023932,1.0757207139381184,1.9208187539523751,0.8817083226082717,0.9476688627937747,0.34302218430535775,0.2970906596779886,8
MAPK9,P45984,CMGC,MAPK,0.17609125905568127,0.8651481786681933,1.0362121726544447,1.0969100130080565,0.8674522644707213,0.8720059740309487,0.015697546532189532,0.17043835162810575,6
PRKCH,P24723,AGC,PKC,0.17609125905568127,0.7273898911848604,1.0362121726544447,1.2218487496163566,0.7277712794247445,0.653801562518617,0.2190811685771476,0.19647465048752494,8
CAMK4,Q16566,CAMK,CAMK1,0.20953903635167917,0.8717607873799109,1.0117384032712442,1.6989700043360187,0.7750483870415683,0.7583623022175842,0.0698622557476728,0.2469599018473851,10
DCLK2,Q8N568,CAMK,DCAMKL,0.21909554415053573,0.8318035394905051,0.9719712763997564,2.2218487496163566,0.7007521261265327,0.7820787108650205,0.3366357667730321,0.1737979111617333,10
SGK2,Q9HBY8,AGC,SGK,0.13695986815441877,0.9059052265725125,0.9719712763997564,2.0969100130080562,0.6639669441584418,0.5998823308702188,0.2325937201833692,0.21831582264738153,13
CHEK2,O96017,CAMK,RAD53,0.17609125905568127,0.7009735598053356,0.9456423376774072,1.068881289407813,0.6276888526787272,0.6205429104438047,0.0573612504159354,0.14613228688073515,16
SGK3,Q96BR1,AGC,SGK,0.17609125905568127,0.7923158963985358,0.9305785912415314,1.4279032320494809,0.7034564427238232,0.7104997746823706,0.09179330106813562,0.22318592498284273,12
RPS6KA5,O75582,AGC-CAMK,RSK,0.17609125905568127,0.6819812683874142,0.9256712567467873,1.0177287669604316,0.5557241342644607,0.5386962982080605,0.033157094457133725,0.13796416124840005,36
PRKAA1,Q13131,CAMK,CAMKL,0.17609125905568127,0.720092164170658,0.9112734360461447,1.0058295436607239,0.6677586060477568,0.6725399962851467,0.03578216855952674,0.17859231664441005,11
MAPK10,P53779,CMGC,MAPK,0.17609125905568127,0.7153250543446289,0.8838351876992052,0.9507819773298184,0.7111963849494687,0.7211978681650172,0.015002224823322806,0.18179085771879816,9
MAPK8,P45983,CMGC,MAPK,0.17609125905568127,0.7158052069871448,0.8838351876992052,0.9507819773298184,0.7111963849494687,0.7178640404265011,0.01323071866506402,0.18179085771879816,9
CDKL5,O76039,CMGC,CDKL,0.47712125471966244,0.3885443048648297,0.8750612633917001,0.9136401693252518,0.5559838366807113,0.5659329107411745,0.013623330723013048,0.09815852213438288,4
RPS6KB2,Q9UBS0,AGC,RSK,0.17609125905568127,0.6327312556031819,0.8538719643217619,0.9885705382192181,0.5536082289880716,0.5798688256750272,0.10492662607800814,0.18700035441918783,21
MAPK3,P27361,CMGC,MAPK,0.24298681364767707,0.8114390434437009,0.8416375079047503,1.833668578233475,0.7721590928712677,0.78755373374545,0.060985334207215414,0.11336799204656993,6
CAMK2D,Q13557,CAMK,CAMK2,0.1467427158797344,0.5924037886108059,0.8354706403678877,0.9456423376774072,0.7091427501282646,0.6718178511741681,0.1860931064599402,0.24884875732917872,6
STK38L,Q9Y2H1,AGC,NDR,0.17609125905568127,0.6033302506891092,0.8297382846050426,0.8664610916297825,0.6999082567570362,0.6805262808063126,0.033570567097731346,0.2522857378583134,7
MAPK1,P28482,CMGC,MAPK,0.17040764545041667,0.6064593493046487,0.8181564120552274,1.6709412807357753,0.7721590928712677,0.6524790347391515,0.29042318562275315,0.08018523237008415,5
SGK1,O00141,AGC,SGK,0.17609125905568127,0.7824286716171991,0.8181564120552274,1.7289332277134621,0.6134541402763732,0.6176238180200193,0.0870961491930576,0.16494717781203191,16
CAMK2G,Q13555,CAMK,CAMK2,0.17609125905568127,0.608285021866498,0.7685016939859719,0.9256712567467873,0.6476921088625579,0.6859372516675912,0.07013316389726523,0.21119163633156557,6
CDK3,Q00526,CMGC,CDK,0.17609125905568127,0.5115302259192618,0.7544873321858502,0.7995143019991693,0.8217100033331383,0.7216256882241551,0.15012647266347484,0.2671169598175657,3
PRKCE,Q02156,AGC,PKC,0.15652556360505002,0.5052824235817532,0.7544873321858502,0.9507819773298184,0.5655250741847895,0.501301577152079,0.1762006965137129,0.1529908262103692,15
MYLK3,Q32MK0,CAMK,MLCK,0.17609125905568127,0.5563945406707733,0.7447274948966939,0.7746907182741372,0.7743577209716165,0.7743577209716165,0,0.122310215130858,3
DAPK3,O43293,CAMK,DAPK,0.17609125905568127,0.5654310959658012,0.7415223550214824,0.7415223550214824,-0.7594204613362937,-0.7594204613362937,NA,-0.22576127379390698,3
CHUK,O15111,OTHER,IKK,0.17609125905568127,0.5208131069176181,0.7197252259266382,0.7922758930752499,0.732952022838351,0.7151295597260846,0.02673369466839964,0.24999681014321773,4
CAMK2A,Q9UQM7,CAMK,CAMK2,0.14087300724454502,0.48095204807164127,0.6847295652214086,0.8622240386865279,0.6437385802973952,0.596075267270939,0.22433144386552872,0.23265992800515933,6
PRKX,P51817,AGC,PKA,0.17609125905568127,0.5626614265943228,0.6655462488490691,1.1346985738974562,0.5209414429909609,0.5339187666761556,0.0621976137639493,0.1640561190629583,28
RPS6KA4,O75676,AGC-CAMK,RSK,0.17609125905568127,0.48945498979338786,0.6655462488490691,0.6655462488490691,0.7070195972581104,0.7070195972581104,0,0.27684460872641026,3
PRKCQ,Q04759,AGC,PKC,0.17609125905568127,0.4588472265805316,0.6602174153440021,0.8219828199082803,0.5513378295421917,0.5289600971077278,0.053970448497149937,0.14622154525567588,15
