Kinase,Z,method,AvgZ
ERK,-4.32,710144413>0.15,-3.1025
JNK,-4.16,710144413>0.15,-2.92625
PKA,3.85,710144413>0.15,1.88
DYRK,-3.45,710144413>0.15,-2.66
PKCD,3.28,710144413>0.15,1.21125
PKCI,3.21,710144413>0.15,1.4425
P38,-3.16,710144413>0.15,-2.075
PDK1,-3.03,710144413>0.15,-1.71
PAKA,2.69,710144413>0.15,0.98
BARK2,2.62,710144413>0.15,1.4175
AKT,2.53,710144413>0.15,1.4975
PKD,2.5,710144413>0.15,1.15625
NMO,-2.24,710144413>0.15,-1.6087500000000001
PKG,2.2,710144413>0.15,1.01375
CK1,-2.13,710144413>0.15,-1.135
STE7,-1.99,710144413>0.15,-1.705
RIPK,-1.82,710144413>0.15,-0.6600000000000003
AUR,1.8,710144413>0.15,1.225
RAD53,1.8,710144413>0.15,0.39250000000000007
STKR,-1.75,710144413>0.15,-1.01125
MAPKAPK,1.72,710144413>0.15,1.1425
MOS,1.57,710144413>0.15,0.08999999999999994
KHS,1.56,710144413>0.15,-0.21625000000000003
PASK,1.53,710144413>0.15,-0.2225
BUD32,1.53,710144413>0.15,0.86
CDK,-1.52,710144413>0.15,-2.1025
WNK,1.49,710144413>0.15,2.29375
MLK,1.44,710144413>0.15,0.9312499999999999
STE11,-1.41,710144413>0.15,-0.9874999999999999
PHK,1.27,710144413>0.15,0.44
MST,-1.22,710144413>0.15,-1.49125
RSK,1.2,710144413>0.15,0.9
MTOR,-1.17,710144413>0.15,-0.20374999999999993
GSK,-1.16,710144413>0.15,-1.38625
GRK,-1.09,710144413>0.15,-0.5225000000000001
PKCA,1.02,710144413>0.15,1.0599999999999998
PIM,0.99,710144413>0.15,0.43875
DMPK,0.96,710144413>0.15,0.64625
PKN,-0.94,710144413>0.15,-0.6975
NAK,-0.94,710144413>0.15,-0.70125
HAL,-0.93,710144413>0.15,-0.04499999999999997
PDHK,-0.92,710144413>0.15,-0.46125000000000005
ATM,0.92,710144413>0.15,0.11000000000000001
TLK,-0.91,710144413>0.15,-0.7000000000000001
AMPK,0.91,710144413>0.15,0.71375
LKB,-0.89,710144413>0.15,-0.82625
PLK,-0.72,710144413>0.15,-1.17
QIK,0.71,710144413>0.15,-0.46125
CHK1,0.7,710144413>0.15,0.37625
ULK,-0.68,710144413>0.15,-0.49375
CAMKK,-0.67,710144413>0.15,-0.48875
CLK,-0.65,710144413>0.15,-0.4925
SLK,-0.65,710144413>0.15,-0.49375
BRSK,-0.64,710144413>0.15,-0.4925
NIK,-0.64,710144413>0.15,-0.48624999999999996
NEK,-0.64,710144413>0.15,-0.525
NUAK,0.63,710144413>0.15,0.27125
TTK,0.63,710144413>0.15,0.26
TAO,-0.62,710144413>0.15,0.91625
PAKB,0.61,710144413>0.15,0.60625
DAPK,-0.57,710144413>0.15,-0.05499999999999999
SGK,0.55,710144413>0.15,1.1925
ATR,-0.53,710144413>0.15,-0.35875
VRK1,-0.52,710144413>0.15,-0.5137499999999999
CK2,0.5,710144413>0.15,-0.4225
COT,-0.5,710144413>0.15,-0.505
MLCK,-0.5,710144413>0.15,-0.70625
NDR,0.48,710144413>0.15,0.67125
PRKDC,-0.41,710144413>0.15,-0.36250000000000004
PEK,-0.33,710144413>0.15,-0.61
MARK,0.18,710144413>0.15,0.13749999999999998
MSN,-0.18,710144413>0.15,0.99625
MELK,-0.18,710144413>0.15,0.28624999999999995
IRAK,-0.13,710144413>0.15,-0.33499999999999996
IKK,-0.12,710144413>0.15,-0.11125
CAMK1,-0.11,710144413>0.15,0.057499999999999954
PKCH,0.09,710144413>0.15,-0.08124999999999999
RAF,-0.07,710144413>0.15,-0.08124999999999999
FRAY,-0.03,710144413>0.15,0.28375000000000006
CAMK2,-0.01,710144413>0.15,-0.7025
ERK,-3.65,710144413>0.2,-3.1025
DYRK,-3.54,710144413>0.2,-2.66
JNK,-3.46,710144413>0.2,-2.92625
PDK1,-3.05,710144413>0.2,-1.71
P38,-2.93,710144413>0.2,-2.075
PKCI,2.61,710144413>0.2,1.4425
PKA,2.37,710144413>0.2,1.88
RIPK,-2.19,710144413>0.2,-0.6600000000000003
AKT,2.17,710144413>0.2,1.4975
PKG,2,710144413>0.2,1.01375
NMO,-1.92,710144413>0.2,-1.6087500000000001
MOS,1.88,710144413>0.2,0.08999999999999994
WNK,1.86,710144413>0.2,2.29375
BARK2,1.81,710144413>0.2,1.4175
AUR,1.76,710144413>0.2,1.225
BUD32,1.76,710144413>0.2,0.86
MLK,1.68,710144413>0.2,0.9312499999999999
GSK,-1.63,710144413>0.2,-1.38625
STE7,-1.61,710144413>0.2,-1.705
CK1,-1.6,710144413>0.2,-1.135
PAKA,1.57,710144413>0.2,0.98
