Group,Barcode,SampleName,Peptide,slope,r.seq,nobs
CTL_676,710230322,CTL_676_710230322,FIBA_569_581,2.3648366863566537,0.9833619210977702,5
CTL_676,710230322,CTL_676_710230322,LIPS_944_956,2.5849625007211565,0.9989528795811519,5
CTL_676,710230322,CTL_676_710230322,PLEK_106_118,5.158538241140506,0.9992941957289221,5
CTL_676,710230322,CTL_676_710230322,GRIK2_708_720,2.4420045468791134,0.9968032688378801,5
CTL_676,710230322,CTL_676_710230322,RADI_559_569,2.104969559601543,0.9808301886792452,5
CTL_676,710230322,CTL_676_710230322,ACM1_421_433,3.897788388501266,0.9970763503906188,5
CTL_676,710230322,CTL_676_710230322,FOXO3_25_37,6.302746681683742,0.9997250819072029,5
CTL_676,710230322,CTL_676_710230322,PP2AB_297_309,2.638401759682617,0.992616899097621,5
CTL_676,710230322,CTL_676_710230322,RBL2_655_667,4.375367353848823,0.9995704325413872,5
CTL_676,710230322,CTL_676_710230322,YAP1_121_133,1.272079545436801,0.9660377358490566,5
CTL_676,710230322,CTL_676_710230322,KAP2_92_104,4.613042309688501,0.9987348160110191,5
CTL_676,710230322,CTL_676_710230322,RS6_228_240,2.799556551497197,0.9919210315436731,5
CTL_676,710230322,CTL_676_710230322,ACM1_444_456,3.505699222196503,0.9953146027299442,5
CTL_676,710230322,CTL_676_710230322,BAD_112_124,3.873850333844511,0.9965978309315108,5
CTL_676,710230322,CTL_676_710230322,CENPA_1_14,5.474815588686968,0.9992353903987625,5
CTL_676,710230322,CTL_676_710230322,FRAP_2443_2455,1.7067077730735256,0.9736174365647364,5
CTL_676,710230322,CTL_676_710230322,K6PL_766_778,1.937415462621977,0.9719103773584905,5
CTL_676,710230322,CTL_676_710230322,NEK2_172_184,3.638401759682617,0.9986473784360026,5
CTL_676,710230322,CTL_676_710230322,PPR1A_28_40,7.518968561711145,0.9999540857152713,5
CTL_676,710230322,CTL_676_710230322,ADRB2_338_350,3.0534392589614607,0.995321577296797,5
CTL_676,710230322,CTL_676_710230322,KCC2G_278_289,6.428794689661503,0.9998607278409074,5
CTL_676,710230322,CTL_676_710230322,RYR1_4317_4329,4.4077888315412,0.9966492896966642,5
CTL_676,710230322,CTL_676_710230322,ACM4_456_468,3.933857643208788,0.9983262325015216,5
CTL_676,710230322,CTL_676_710230322,BAD_69_81,2.5940076403241634,0.9959151915969655,5
CTL_676,710230322,CTL_676_710230322,KAPCG_192_206,2.996593398556751,0.984262060619396,5
CTL_676,710230322,CTL_676_710230322,MARCS_152_164,4.5294673881294525,0.9883731362976647,5
CTL_676,710230322,CTL_676_710230322,NEK3_158_170,2.491248065898963,0.997349505840072,5
CTL_676,710230322,CTL_676_710230322,PRKDC_2618_2630,3.5597919249862504,0.9986833358899626,5
CTL_676,710230322,CTL_676_710230322,SCN7A_898_910,1.6643969682155613,0.9509433962264151,5
CTL_676,710230322,CTL_676_710230322,ACM5_494_506,6.33513750906029,0.9997647174452542,5
CTL_676,710230322,CTL_676_710230322,BAD_93_105,6.519116964225383,0.9997673348051731,5
CTL_676,710230322,CTL_676_710230322,CSF1R_701_713,3.111283333533745,0.9919326618432874,5
CTL_676,710230322,CTL_676_710230322,GPR6_349_361,3.3164736647952546,0.9981167877985035,5
CTL_676,710230322,CTL_676_710230322,KCNA2_442_454,2.0067891656626395,0.9953707766564283,5
CTL_676,710230322,CTL_676_710230322,MARCS_160_172,3.9931787341439864,0.9911727055156677,5
CTL_676,710230322,CTL_676_710230322,NMDZ1_890_902,4.679347309681533,0.9987240863895327,5
CTL_676,710230322,CTL_676_710230322,PTK6_436_448,2.0402638702137272,0.9853618080033174,5
CTL_676,710230322,CTL_676_710230322,CAC1C_1974_1986,3.9742522308023487,0.9986457119007527,5
CTL_676,710230322,CTL_676_710230322,ACM5_498_510,5.619147202602671,0.9998298262312182,5
CTL_676,710230322,CTL_676_710230322,BCKD_45_57,1.9014361655164107,0.973286991062562,5
CTL_676,710230322,CTL_676_710230322,MBP_222_234,4.51048428476188,0.9964995663723462,5
CTL_676,710230322,CTL_676_710230322,NOS3_1171_1183,6.589209471821342,0.9999638654381171,5
CTL_676,710230322,CTL_676_710230322,STK6_283_295,6.542374871908841,0.9999246069728717,5
CTL_676,710230322,CTL_676_710230322,MYPC3_268_280,2.3910206181603084,0.9593346573982124,5
CTL_676,710230322,CTL_676_710230322,VASP_271_283,2.0067891656626395,0.9953707766564283,5
CTL_676,710230322,CTL_676_710230322,ADDB_696_708,2.638401759682617,0.9878447024673439,5
CTL_676,710230322,CTL_676_710230322,DCX_49_61,1.979438677517684,0.9583369899078542,5
CTL_676,710230322,CTL_676_710230322,GSUB_61_73,2.3109985347291033,0.9962408180901627,5
CTL_676,710230322,CTL_676_710230322,NR4A1_344_356,5.104178391475935,0.9991128227329028,5
CTL_676,710230322,CTL_676_710230322,RAF1_253_265,2.8719923876239286,0.9862683438155135,5
CTL_676,710230322,CTL_676_710230322,CGHB_109_121,2.426897654488905,0.9887401095556908,5
CTL_676,710230322,CTL_676_710230322,NCF1_296_308,4.045218752156492,0.9962589459986988,5
CTL_676,710230322,CTL_676_710230322,VTNC_390_402,2.638401759682617,0.9692061231755074,5
CTL_676,710230322,CTL_676_710230322,ADDB_706_718,4.195407030855994,0.998285792939881,5
CTL_676,710230322,CTL_676_710230322,GYS2_1_13,6.974901557213831,0.9999741057600848,5
CTL_676,710230322,CTL_676_710230322,RAP1B_172_184,4.5282882339641874,0.9968668981558619,5
CTL_676,710230322,CTL_676_710230322,TAU_524_536,2.803461005953113,0.9973045822102425,5
CTL_676,710230322,CTL_676_710230322,CREB1_126_138,3.6686843266186595,0.9874706547256761,5
CTL_676,710230322,CTL_676_710230322,NCF1_321_333,2.9087041659804496,0.996251572327044,5
CTL_676,710230322,CTL_676_710230322,CFTR_761_773,4.109707478608206,0.9960087082728591,5
CTL_676,710230322,CTL_676_710230322,CA2D1_494_506,4.584962500721156,0.9979731938542008,5
CTL_676,710230322,CTL_676_710230322,H2B1B_ 27_40,3.8362290354225324,0.9956026964105771,5
CTL_676,710230322,CTL_676_710230322,KIF2C_105_118_S106G,4.319203457550827,0.997170702157607,5
CTL_676,710230322,CTL_676_710230322,MP2K1_287_299,5.560945619602621,0.9994354630129288,5
CTL_676,710230322,CTL_676_710230322,P53_12_24,3.246494135242328,0.9966085004135975,5
CTL_676,710230322,CTL_676_710230322,RB_242_254,4.412909316209802,0.9942054646002167,5
