HGNC_Symbol,Family,None,Sig,HiSig,Hi
BRSK1,CAMK,27,2,0,0
BRSK2,CAMK,27,6,0,0
CAMK1,CAMK,29,2,2,0
CAMK1D,CAMK,29,3,0,0
CAMK1G,CAMK,29,1,1,1
CAMK2A,CAMK,29,2,1,0
CAMK2B,CAMK,29,3,1,0
CAMK2D,CAMK,29,1,0,0
CAMK2G,CAMK,27,6,0,0
CAMK4,CAMK,28,3,1,1
CAMKV,CAMK,27,3,1,0
CASK,CAMK,28,2,0,0
CDK1,CMGC,25,3,0,0
CDK10,CMGC,32,1,0,0
CDK12,CMGC,30,2,0,0
CDK13,CMGC,29,4,0,0
CDK14,CMGC,26,5,1,0
CDK15,CMGC,22,1,0,0
CDK16,CMGC,26,4,0,0
CDK17,CMGC,29,4,0,0
CDK18,CMGC,30,2,0,0
CDK19,CMGC,31,2,0,0
CDK2,CMGC,30,3,0,0
CDK20,CMGC,28,1,0,0
CDK3,CMGC,27,0,0,1
CDK4,CMGC,32,1,0,0
CDK5,CMGC,25,7,0,1
CDK6,CMGC,30,3,0,0
CDK7,CMGC,31,1,0,0
CDK8,CMGC,31,2,0,0
CDK9,CMGC,32,1,0,0
CDKL1,CMGC,31,1,0,0
CDKL2,CMGC,26,2,0,0
CDKL3,CMGC,28,0,0,0
CDKL4,CMGC,8,0,0,0
CDKL5,CMGC,24,2,0,0
CHEK1,CAMK,30,2,1,0
CHEK2,CAMK,25,1,0,2
CILK1,CMGC,32,1,0,0
CLK1,CMGC,33,0,0,0
CLK2,CMGC,27,2,0,0
CLK3,CMGC,31,1,0,0
CLK4,CMGC,25,7,0,0
CSNK2A1,CMGC,31,1,0,0
CSNK2A2,CMGC,32,1,0,0
DAPK1,CAMK,29,4,0,0
DAPK2,CAMK,26,1,0,0
DAPK3,CAMK,31,2,0,0
DCLK1,CAMK,31,1,0,0
DCLK2,CAMK,26,0,1,0
DCLK3,CAMK,20,0,2,1
DYRK1A,CMGC,31,1,1,0
DYRK1B,CMGC,28,1,0,0
DYRK2,CMGC,31,2,0,0
DYRK3,CMGC,27,2,0,0
DYRK4,CMGC,31,2,0,0
GSK3A,CMGC,29,4,0,0
GSK3B,CMGC,31,2,0,0
HIPK1,CMGC,32,1,0,0
HIPK2,CMGC,30,3,0,0
HIPK3,CMGC,31,1,0,0
HIPK4,CMGC,20,1,0,0
HUNK,CAMK,22,5,0,0
KALRN,CAMK,33,0,0,0
MAK,CMGC,25,1,0,0
MAPK1,CMGC,32,1,0,0
MAPK10,CMGC,27,2,0,0
MAPK11,CMGC,30,2,0,0
MAPK12,CMGC,30,1,0,2
MAPK13,CMGC,33,0,0,0
MAPK14,CMGC,29,4,0,0
MAPK15,CMGC,22,1,0,0
MAPK3,CMGC,28,5,0,0
MAPK4,CMGC,27,1,1,0
MAPK6,CMGC,31,2,0,0
MAPK7,CMGC,27,1,0,0
MAPK8,CMGC,28,5,0,0
MAPK9,CMGC,30,3,0,0
MAPKAPK2,CAMK,31,2,0,0
MAPKAPK3,CAMK,27,3,0,3
MAPKAPK5,CAMK,29,3,0,1
MARK1,CAMK,29,2,0,0
MARK2,CAMK,26,3,0,0
MARK3,CAMK,28,5,0,0
MARK4,CAMK,30,1,0,0
MELK,CAMK,26,0,0,0
MKNK1,CAMK,31,2,0,0
MKNK2,CAMK,30,3,0,0
MOK,CMGC,30,2,0,0
MYLK,CAMK,32,1,0,0
MYLK2,CAMK,18,0,0,1
MYLK3,CAMK,24,0,0,0
MYLK4,CAMK,19,0,0,2
NIM1K,CAMK,24,1,1,0
NLK,CMGC,29,2,0,0
NUAK1,CAMK,29,3,0,0
NUAK2,CAMK,25,3,0,1
OBSCN,CAMK,25,3,0,1
PASK,CAMK,33,0,0,0
PHKG1,CAMK,28,1,0,0
PHKG2,CAMK,24,4,0,1
PIM1,CAMK,28,5,0,0
PIM2,CAMK,26,0,0,0
PIM3,CAMK,23,3,0,0
PNCK,CAMK,24,1,2,0
PRKAA1,CAMK,27,6,0,0
PRKAA2,CAMK,30,2,0,0
PRKD1,CAMK,28,2,1,1
PRKD2,CAMK,30,3,0,0
PRKD3,CAMK,30,3,0,0
PRPF4B,CMGC,30,3,0,0
PSKH1,CAMK,25,1,0,2
PSKH2,CAMK,20,1,0,0
SIK1,CAMK,22,4,0,0
SIK2,CAMK,31,1,0,0
SIK3,CAMK,31,2,0,0
SNRK,CAMK,28,4,0,0
SRPK1,CMGC,33,0,0,0
SRPK2,CMGC,30,3,0,0
SRPK3,CMGC,24,1,0,0
STK11,CAMK,33,0,0,0
STK17A,CAMK,31,2,0,0
STK17B,CAMK,26,1,0,1
STK33,CAMK,27,3,0,0
STK40,CAMK,25,1,0,0
TRIB1,CAMK,28,4,0,0
TRIB2,CAMK,24,7,1,1
TRIB3,CAMK,31,1,0,0
TRIO,CAMK,30,2,0,0
TSSK1B,CAMK,17,1,0,1
TSSK2,CAMK,23,0,0,0
TSSK3,CAMK,20,0,0,0
TSSK4,CAMK,22,0,0,0
TSSK6,CAMK,24,0,0,0
TTN,CAMK,25,3,1,0
