Dataset,HGNC,CombinedScore
C3N_C3NPC_STK_creedencombined.csv,CDC42BPA,0.26833754321914743
C3N_C3NPC_STK_creedencombined.csv,CDC7,0.24673988747900383
C3N_C3NPC_STK_creedencombined.csv,CDK11A,0.28119064650098374
C3N_C3NPC_STK_creedencombined.csv,CDK12,0.2971826077722474
C3N_C3NPC_STK_creedencombined.csv,CDK15,0.3451584915860384
C3N_C3NPC_STK_creedencombined.csv,CDK16,0.3513092459211398
C3N_C3NPC_STK_creedencombined.csv,CDK18,0.36238060372432224
C3N_C3NPC_STK_creedencombined.csv,CDK19,0.3328569829158356
C3N_C3NPC_STK_creedencombined.csv,CDK20,0.4103564875381134
C3N_C3NPC_STK_creedencombined.csv,CDK8,0.4128167892721539
C3N_C3NPC_STK_creedencombined.csv,CDKL3,0.12946425662999067
C3N_C3NPC_STK_creedencombined.csv,CDKL5,0.3394254500400495
C3N_C3NPC_STK_creedencombined.csv,CHUK,0.5729695218705138
C3N_C3NPC_STK_creedencombined.csv,CLK1,0.4025457485176656
C3N_C3NPC_STK_creedencombined.csv,CLK2,0.4345296710601931
C3N_C3NPC_STK_creedencombined.csv,CLK3,0.24631658840608991
C3N_C3NPC_STK_creedencombined.csv,CLK4,0.15036482077850805
C3N_C3NPC_STK_creedencombined.csv,CSF1R,0.2858317644286749
C3N_C3NPC_STK_creedencombined.csv,CSK,0.28054907835439513
C3N_C3NPC_STK_creedencombined.csv,CSNK1A1,0.5013980533985057
C3N_C3NPC_STK_creedencombined.csv,CSNK1A1L,0.1914000349093949
C3N_C3NPC_STK_creedencombined.csv,CSNK1D,0.480485488659161
C3N_C3NPC_STK_creedencombined.csv,CSNK1E,0.42635885051026867
C3N_C3NPC_STK_creedencombined.csv,CSNK1G1,0.4091367383719847
C3N_C3NPC_STK_creedencombined.csv,CSNK1G2,0.28858195340399706
C3N_C3NPC_STK_creedencombined.csv,CSNK1G3,0.26397893606359146
C3N_C3NPC_STK_creedencombined.csv,CSNK2A2,0.3071611780530547
C3N_C3NPC_STK_creedencombined.csv,DAPK3,0.1877303857101174
C3N_C3NPC_STK_creedencombined.csv,DCLK1,0.2995667482218027
C3N_C3NPC_STK_creedencombined.csv,DDR1,0.3893724114845606
C3N_C3NPC_STK_creedencombined.csv,DDR2,0.2087045477441888
C3N_C3NPC_STK_creedencombined.csv,DMPK,0.5635737513040151
C3N_C3NPC_STK_creedencombined.csv,DYRK1B,0.5717289693026016
C3N_C3NPC_STK_creedencombined.csv,DYRK2,0.6270857583185143
C3N_C3NPC_STK_creedencombined.csv,DYRK3,0.4634756930048171
C3N_C3NPC_STK_creedencombined.csv,DYRK4,0.5692686675685612
C3N_C3NPC_STK_creedencombined.csv,EEF2K,0.289001376073243
C3N_C3NPC_STK_creedencombined.csv,EGFR,0.43691658615307954
C3N_C3NPC_STK_creedencombined.csv,EIF2AK1,0.11212398565890926
C3N_C3NPC_STK_creedencombined.csv,EIF2AK2,0.3126385769832151
C3N_C3NPC_STK_creedencombined.csv,EIF2AK3,0.09121142091956451
C3N_C3NPC_STK_creedencombined.csv,EPHA2,0.11361619840715104
C3N_C3NPC_STK_creedencombined.csv,EPHA3,0.3059059715109384
C3N_C3NPC_STK_creedencombined.csv,EPHA4,0.10939004954772714
C3N_C3NPC_STK_creedencombined.csv,EPHA8,0.10199428904373528
