Peptide,R1C1P1,R1C1P2,R1C2P3,R1C3P5,R2C1P1,R2C1P2,R2C2P3,R2C2P4,R2C3P5,R2C3P6,R3C1P1,R3C1P2,R3C2P3,R3C2P4,R4C1P1,R4C1P2,R1C2P4,R3C3P5,R3C3P6,Total
KPCB_19_31_A25S,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,11
KS6A1_374_386,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,11
TOP2A_1463_1475,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,11
GPR6_349_361,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,10
GYS2_1_13,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,10
NEK2_172_184,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,10
NEK3_158_170,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,10
P53_12_24,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,10
PRKDC_2618_2630,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,10
PYGL_8_20,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,10
RB_350_362,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,10
ADDB_706_718,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,9
BAD_93_105,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,9
CDC2_154_169,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,9
H2B1B_ 27_40,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,9
KAPCG_192_206,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,9
MYPC3_268_280,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,9
RAF1_253_265,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,9
ANDR_785_797,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,8
DESP_2842_2854,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,8
IF4E_203_215,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,8
KPCB_626_639,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,8
MP2K1_287_299,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,8
RBL2_655_667,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,8
CAC1C_1974_1986,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,7
FIBA_569_581,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,7
FRAP_2443_2455,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,7
KCC2G_278_289,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,7
PLM_76_88,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,7
PPR1A_28_40,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,7
RAP1B_172_184,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,7
MPIP1_172_184,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,6
ADDB_696_708,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,5
NFKB1_330_342,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,5
PTK6_436_448,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,5
TAU_524_536,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,5
CDN1A_139_151,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,5
PP2AB_297_309,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,4
RADI_559_569,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,4
SCN7A_898_910,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,4
DCX_49_61,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,3
F263_454_466,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,3
K6PL_766_778,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,3
LIPS_944_956,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,3
YAP1_121_133,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3
TY3H_65_77,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1
KCNA2_442_454,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1
