Kinase,Z,method,AvgZ
MLK,1.02,710230322>0.2,0.9450000000000001
STE11,-1.02,710230322>0.2,-0.9875
MELK,1.02,710230322>0.2,0.67
AKT,1,710230322>0.2,1.0825
SLK,0.93,710230322>0.2,0.017500000000000016
MOS,0.92,710230322>0.2,1.02
BRSK,0.91,710230322>0.2,0.5325
WNK,0.89,710230322>0.2,1.0150000000000001
TAO,0.89,710230322>0.2,1.0375
PASK,0.89,710230322>0.2,1.0275
PEK,-0.86,710230322>0.2,-0.5325
BUD32,0.85,710230322>0.2,1
FRAY,0.84,710230322>0.2,0.885
PDK1,-0.79,710230322>0.2,-0.7025
VRK1,-0.79,710230322>0.2,-0.4525
MSN,0.77,710230322>0.2,0.7775
PDHK,0.76,710230322>0.2,0.8400000000000001
ATR,-0.76,710230322>0.2,-0.715
LKB,-0.73,710230322>0.2,-0.775
MST,0.45,710230322>0.2,0.0525
QIK,0.39,710230322>0.2,0.67
BARK2,0.39,710230322>0.2,0.009999999999999995
PKD,-0.39,710230322>0.2,0.42000000000000004
MARK,-0.34,710230322>0.2,-0.20500000000000002
GSK,-0.34,710230322>0.2,-0.0825
CAMK1,-0.34,710230322>0.2,-0.32999999999999996
CAMK2,0.24,710230322>0.2,0.285
DAPK,0.24,710230322>0.2,0.28500000000000003
ATM,-0.24,710230322>0.2,0.03499999999999999
PAKA,0.23,710230322>0.2,0.5675
PKN,-0.21,710230322>0.2,0.3725
TTK,-0.19,710230322>0.2,-0.0049999999999999906
RAD53,0.19,710230322>0.2,0.645
RAF,-0.17,710230322>0.2,-0.4225
PAKB,-0.17,710230322>0.2,-0.6950000000000001
NUAK,-0.14,710230322>0.2,0.022500000000000006
PRKDC,0.12,710230322>0.2,0.009999999999999995
PKCA,0.12,710230322>0.2,-0.04000000000000001
MTOR,0.01,710230322>0.2,0.2625
P38,-3.21,710230322>0.3,-3.4025
STE7,-2.75,710230322>0.3,-2.695
CK1,-2.71,710230322>0.3,-2.9425
ERK,-2.55,710230322>0.3,-2.7075
PKCD,2.46,710230322>0.3,2.4375
STKR,-2.45,710230322>0.3,-2.75
PLK,-2.41,710230322>0.3,-2.58
NEK,-2.11,710230322>0.3,-1.6575
MAPKAPK,2.1,710230322>0.3,1.92
AUR,1.99,710230322>0.3,1.9475
JNK,-1.93,710230322>0.3,-2.44
NMO,-1.87,710230322>0.3,-2.3925
PKA,1.76,710230322>0.3,2.5325
HAL,1.59,710230322>0.3,1.465
GRK,-1.44,710230322>0.3,-1.8175
CDK,-1.39,710230322>0.3,-1.85
IRAK,-1.29,710230322>0.3,-1.385
PKCI,1.27,710230322>0.3,1.1324999999999998
NAK,-1.27,710230322>0.3,-1.46
TLK,-1.27,710230322>0.3,-1.4275
PAKB,-1.25,710230322>0.3,-0.6950000000000001
TAO,1.16,710230322>0.3,1.0375
BRSK,1.13,710230322>0.3,0.5325
CK2,-1.12,710230322>0.3,-1.4375
COT,-1.11,710230322>0.3,0.25749999999999995
PASK,1.1,710230322>0.3,1.0275
BUD32,1.1,710230322>0.3,1
QIK,1.09,710230322>0.3,0.67
WNK,1.09,710230322>0.3,1.0150000000000001
MOS,1.09,710230322>0.3,1.02
DYRK,-1.09,710230322>0.3,-1.495
CHK1,-1.06,710230322>0.3,-1.29
MELK,1.04,710230322>0.3,0.67
FRAY,1.04,710230322>0.3,0.885
ATR,-1.03,710230322>0.3,-0.715
IKK,-1.02,710230322>0.3,-1.3975
MLK,0.99,710230322>0.3,0.9450000000000001
STE11,-0.99,710230322>0.3,-0.9875
PHK,0.93,710230322>0.3,1.4
SLK,-0.91,710230322>0.3,0.017500000000000016
