var1,var2,cor,statistic,p,method
C3N_D3NPC,SCZ_732_CTL_836,0.75,2988033.9153018664,2.0199999999999995e-74,Spearman
C3N_D3NPC,SCZ_737_CTL_869,0.79,2446749.3374587926,5.879999999999999e-90,Spearman
C3N_D3NPC,SCZ_802_CTL_676,0.82,2069234.5746161693,2.4199999999999997e-103,Spearman
C3N_D3NPC,SCZ_929_CTL_346,0.77,2697585.015500658,2.6299999999999992e-82,Spearman
C3N_D3NPC,SCZ_930_CTL_111,0.86,1661503.627768969,2.9099999999999994e-121,Spearman
C3N_D3NPC,SCZ_931_CTL_524,0.8,2309270.801297299,1.5299999999999998e-94,Spearman
C3N_D3NPC,SCZ_94_CTL_46,0.83,2009371.439836575,1.0199999999999999e-105,Spearman
C3N_D3NPC,SCZ_CTL,0.84,1846095.5632390168,1.2999999999999997e-112,Spearman
C3N_D3NPC,SCZ_F_CTL_F,0.76,2813294.3355297805,4.749999999999999e-79,Spearman
C3N_D3NPC,SCZ_F_SCZ_M,0.85,1764606.468737051,2.619999999999999e-116,Spearman
C3N_D3NPC,SCZ_M_CTL_M,0.82,2144122.822569384,1.7699999999999998e-100,Spearman
CTL_F_CTL_M,C3N_C3NPC,0.82,2103766.580488386,5.219999999999999e-102,Spearman
CTL_F_CTL_M,C3N_D3N,0.83,1960946.855263367,1.0799999999999999e-107,Spearman
CTL_F_CTL_M,C3N_D3NPC,0.84,1885246.116079745,6.729999999999998e-111,Spearman
CTL_F_CTL_M,CTL_F_CTL_M,1,0,0,Spearman
CTL_F_CTL_M,CTL_SCZ,0.8,2346868.8929466177,2.9399999999999997e-93,Spearman
CTL_F_CTL_M,Haloperidol_Control,0.77,2735125.068603232,3.1199999999999993e-81,Spearman
CTL_F_CTL_M,SCZ_22_CTL_116,0.73,3201949.7722509555,3.5499999999999994e-69,Spearman
CTL_F_CTL_M,SCZ_225_CTL_874,0.71,3434099.634609973,6.0399999999999995e-64,Spearman
CTL_F_CTL_M,SCZ_291_CTL_846,0.74,3094194.9714310667,9.179999999999997e-72,Spearman
CTL_F_CTL_M,SCZ_331_CTL_167,0.78,2600902.566998784,3.739999999999999e-85,Spearman
CTL_F_CTL_M,SCZ_339_CTL_223,0.75,2929470.8440624904,6.169999999999999e-76,Spearman
CTL_F_CTL_M,SCZ_446_CTL_882,0.8,2314884.224316944,2.3799999999999995e-94,Spearman
CTL_F_CTL_M,SCZ_547_CTL_554,0.79,2458809.845613831,1.4399999999999996e-89,Spearman
CTL_F_CTL_M,SCZ_552_CTL_686,0.77,2675292.5897649857,5.949999999999999e-83,Spearman
CTL_F_CTL_M,SCZ_565_CTL_195,0.78,2599074.7212282377,3.299999999999999e-85,Spearman
CTL_F_CTL_M,SCZ_585_CTL_834,0.78,2561210.6341777905,2.3299999999999997e-86,Spearman
CTL_F_CTL_M,SCZ_640_CTL_702,0.73,3124525.6328912866,5.029999999999999e-71,Spearman
CTL_F_CTL_M,SCZ_69_CTL_901,0.68,3778989.294950271,6.1899999999999994e-57,Spearman
CTL_F_CTL_M,SCZ_732_CTL_836,0.72,3229562.0172526506,1.5699999999999997e-68,Spearman
CTL_F_CTL_M,SCZ_737_CTL_869,0.79,2468764.1677366574,2.9899999999999992e-89,Spearman
CTL_F_CTL_M,SCZ_802_CTL_676,0.81,2258094.732096397,2.489999999999999e-96,Spearman
CTL_F_CTL_M,SCZ_929_CTL_346,0.77,2730180.9173935633,2.2599999999999996e-81,Spearman
CTL_F_CTL_M,SCZ_930_CTL_111,0.8,2328496.4903402547,6.969999999999999e-94,Spearman
CTL_F_CTL_M,SCZ_931_CTL_524,0.78,2538787.1904546497,4.759999999999999e-87,Spearman
CTL_F_CTL_M,SCZ_94_CTL_46,0.74,3056156.1387861227,1.0499999999999998e-72,Spearman
CTL_F_CTL_M,SCZ_CTL,0.85,1772750.814421149,6.249999999999999e-116,Spearman
CTL_F_CTL_M,SCZ_F_CTL_F,0.86,1616740.9507089471,1.61e-123,Spearman
CTL_F_CTL_M,SCZ_F_SCZ_M,0.93,775484.2272368758,9.409999999999998e-186,Spearman
CTL_F_CTL_M,SCZ_M_CTL_M,0.89,1348750.7372884757,1.2799999999999997e-138,Spearman
CTL_SCZ,C3N_C3NPC,0.82,2137577.381744836,9.999999999999999e-101,Spearman
CTL_SCZ,C3N_D3N,0.85,1761575.8774553079,1.8899999999999996e-116,Spearman
CTL_SCZ,C3N_D3NPC,0.84,1865523.5896966327,9.339999999999998e-112,Spearman
CTL_SCZ,CTL_F_CTL_M,0.8,2346868.8929466177,2.9399999999999997e-93,Spearman
CTL_SCZ,CTL_SCZ,1,1.3034866519490151e-9,0,Spearman
CTL_SCZ,Haloperidol_Control,0.77,2684620.321593596,1.1099999999999998e-82,Spearman
CTL_SCZ,SCZ_22_CTL_116,0.79,2459306.2911117175,1.4899999999999996e-89,Spearman
CTL_SCZ,SCZ_225_CTL_874,0.76,2815573.9882385754,5.48e-79,Spearman
CTL_SCZ,SCZ_291_CTL_846,0.73,3130166.296221711,6.889999999999999e-71,Spearman
CTL_SCZ,SCZ_331_CTL_167,0.84,1915014.93892507,1.2699999999999996e-109,Spearman
CTL_SCZ,SCZ_339_CTL_223,0.84,1887806.790610916,8.689999999999998e-111,Spearman
CTL_SCZ,SCZ_446_CTL_882,0.89,1304547.9445432827,2.0399999999999994e-141,Spearman
