var1,var2,cor,statistic,p,method
SCZ_331_CTL_167,SCZ_339_CTL_223,0.81,2199400.301805999,1.9499999999999995e-98,Spearman
SCZ_331_CTL_167,SCZ_446_CTL_882,0.83,1946726.6972657759,2.7599999999999994e-108,Spearman
SCZ_331_CTL_167,SCZ_547_CTL_554,0.82,2150457.954992769,3.0499999999999995e-100,Spearman
SCZ_331_CTL_167,SCZ_552_CTL_686,0.79,2411267.3004831136,4.11e-91,Spearman
SCZ_331_CTL_167,SCZ_565_CTL_195,0.9,1177529.1194089092,4.699999999999999e-150,Spearman
SCZ_331_CTL_167,SCZ_585_CTL_834,0.85,1780798.9039477862,1.4699999999999997e-115,Spearman
SCZ_331_CTL_167,SCZ_640_CTL_702,0.78,2526138.339896508,1.9299999999999995e-87,Spearman
SCZ_331_CTL_167,SCZ_69_CTL_901,0.78,2630957.169330699,2.9599999999999994e-84,Spearman
SCZ_331_CTL_167,SCZ_732_CTL_836,0.84,1909621.5721740515,7.499999999999999e-110,Spearman
SCZ_331_CTL_167,SCZ_737_CTL_869,0.82,2108810.0851276433,8.149999999999998e-102,Spearman
SCZ_331_CTL_167,SCZ_802_CTL_676,0.84,1913991.3627716915,1.1499999999999998e-109,Spearman
SCZ_331_CTL_167,SCZ_929_CTL_346,0.8,2315690.6299578818,2.5399999999999994e-94,Spearman
SCZ_331_CTL_167,SCZ_930_CTL_111,0.91,1028759.1954850518,1.6099999999999996e-161,Spearman
SCZ_331_CTL_167,SCZ_931_CTL_524,0.84,1893301.7561584262,1.5e-110,Spearman
SCZ_331_CTL_167,SCZ_94_CTL_46,0.83,2000941.4812514887,4.669999999999999e-106,Spearman
SCZ_331_CTL_167,SCZ_CTL,0.8,2393366.1483875914,1.0599999999999999e-91,Spearman
SCZ_331_CTL_167,SCZ_F_CTL_F,0.79,2458890.5083574536,1.4499999999999996e-89,Spearman
SCZ_331_CTL_167,SCZ_F_SCZ_M,0.8,2405184.0084536606,2.6e-91,Spearman
SCZ_331_CTL_167,SCZ_M_CTL_M,0.76,2778586.2913409304,5.21e-80,Spearman
SCZ_339_CTL_223,C3N_C3NPC,0.81,2282689.5957572567,1.8199999999999994e-95,Spearman
SCZ_339_CTL_223,C3N_D3N,0.78,2625130.750854739,1.9899999999999997e-84,Spearman
SCZ_339_CTL_223,C3N_D3NPC,0.84,1859647.399522924,5.159999999999999e-112,Spearman
SCZ_339_CTL_223,CTL_F_CTL_M,0.75,2929470.8440624904,6.169999999999999e-76,Spearman
SCZ_339_CTL_223,CTL_SCZ,0.84,1887806.790610916,8.689999999999998e-111,Spearman
SCZ_339_CTL_223,Haloperidol_Control,0.72,3295511.4375764546,5.16e-67,Spearman
SCZ_339_CTL_223,SCZ_22_CTL_116,0.78,2602592.960346501,4.1999999999999994e-85,Spearman
SCZ_339_CTL_223,SCZ_225_CTL_874,0.75,2956856.4884872218,3.1899999999999997e-75,Spearman
SCZ_339_CTL_223,SCZ_291_CTL_846,0.7,3557461.7860543313,2.44e-61,Spearman
SCZ_339_CTL_223,SCZ_331_CTL_167,0.81,2199400.301805999,1.9499999999999995e-98,Spearman
SCZ_339_CTL_223,SCZ_339_CTL_223,1,0,0,Spearman
SCZ_339_CTL_223,SCZ_446_CTL_882,0.79,2465060.9123833175,2.2799999999999994e-89,Spearman
SCZ_339_CTL_223,SCZ_547_CTL_554,0.73,3128234.6180666666,6.189999999999999e-71,Spearman
SCZ_339_CTL_223,SCZ_552_CTL_686,0.78,2553067.7002653237,1.3099999999999999e-86,Spearman
SCZ_339_CTL_223,SCZ_565_CTL_195,0.8,2300908.9344211365,7.839999999999998e-95,Spearman
SCZ_339_CTL_223,SCZ_585_CTL_834,0.83,1952570.8110317069,4.829999999999999e-108,Spearman
SCZ_339_CTL_223,SCZ_640_CTL_702,0.76,2868264.1465762123,1.4699999999999998e-77,Spearman
SCZ_339_CTL_223,SCZ_69_CTL_901,0.7,3579871.5994851924,7.05e-61,Spearman
SCZ_339_CTL_223,SCZ_732_CTL_836,0.78,2590515.3417835194,1.8199999999999998e-85,Spearman
SCZ_339_CTL_223,SCZ_737_CTL_869,0.74,3002379.99411476,4.689999999999999e-74,Spearman
SCZ_339_CTL_223,SCZ_802_CTL_676,0.78,2528499.5293240766,2.2799999999999993e-87,Spearman
SCZ_339_CTL_223,SCZ_929_CTL_346,0.74,3061015.034086346,1.3899999999999996e-72,Spearman
SCZ_339_CTL_223,SCZ_930_CTL_111,0.82,2151889.9134361898,3.4499999999999997e-100,Spearman
SCZ_339_CTL_223,SCZ_931_CTL_524,0.78,2597592.8853612184,2.969999999999999e-85,Spearman
SCZ_339_CTL_223,SCZ_94_CTL_46,0.79,2475949.9694219395,5.0799999999999986e-89,Spearman
SCZ_339_CTL_223,SCZ_CTL,0.84,1913094.0099261596,1.0499999999999997e-109,Spearman
SCZ_339_CTL_223,SCZ_F_CTL_F,0.75,2891764.386428011,6.249999999999999e-77,Spearman
SCZ_339_CTL_223,SCZ_F_SCZ_M,0.77,2694978.5758095006,2.2199999999999995e-82,Spearman
SCZ_339_CTL_223,SCZ_M_CTL_M,0.75,2990609.4200107125,2.3499999999999997e-74,Spearman
SCZ_446_CTL_882,C3N_C3NPC,0.87,1526545.7314856427,2.7999999999999993e-128,Spearman
SCZ_446_CTL_882,C3N_D3N,0.85,1765768.0237808563,2.9699999999999995e-116,Spearman
SCZ_446_CTL_882,C3N_D3NPC,0.85,1752531.6054063875,7.149999999999999e-117,Spearman
SCZ_446_CTL_882,CTL_F_CTL_M,0.8,2314884.224316944,2.3799999999999995e-94,Spearman
SCZ_446_CTL_882,CTL_SCZ,0.89,1304547.9445432827,2.0399999999999994e-141,Spearman
SCZ_446_CTL_882,Haloperidol_Control,0.81,2176036.6978876395,2.7099999999999992e-99,Spearman
SCZ_446_CTL_882,SCZ_22_CTL_116,0.84,1928530.5802821538,4.749999999999999e-109,Spearman
SCZ_446_CTL_882,SCZ_225_CTL_874,0.78,2548384.0232616365,9.419999999999997e-87,Spearman
SCZ_446_CTL_882,SCZ_291_CTL_846,0.68,3788084.0199463274,9.239999999999999e-57,Spearman
SCZ_446_CTL_882,SCZ_331_CTL_167,0.83,1946726.6972657759,2.7599999999999994e-108,Spearman
SCZ_446_CTL_882,SCZ_339_CTL_223,0.79,2465060.9123833175,2.2799999999999994e-89,Spearman
SCZ_446_CTL_882,SCZ_446_CTL_882,1,0,0,Spearman
SCZ_446_CTL_882,SCZ_547_CTL_554,0.81,2270562.8605270637,6.849999999999998e-96,Spearman
SCZ_446_CTL_882,SCZ_552_CTL_686,0.81,2284116.201836836,2.0399999999999996e-95,Spearman
SCZ_446_CTL_882,SCZ_565_CTL_195,0.9,1218258.1927198558,3.509999999999999e-147,Spearman
SCZ_446_CTL_882,SCZ_585_CTL_834,0.89,1349493.9539243022,1.4299999999999996e-138,Spearman
SCZ_446_CTL_882,SCZ_640_CTL_702,0.81,2219626.4377053645,1.0499999999999999e-97,Spearman
SCZ_446_CTL_882,SCZ_69_CTL_901,0.74,3059451.504729032,1.2699999999999997e-72,Spearman
SCZ_446_CTL_882,SCZ_732_CTL_836,0.76,2848416.4056786355,4.2999999999999995e-78,Spearman
SCZ_446_CTL_882,SCZ_737_CTL_869,0.83,2012539.2991244958,1.3699999999999999e-105,Spearman
SCZ_446_CTL_882,SCZ_802_CTL_676,0.9,1196012.0102313743,9.759999999999998e-149,Spearman
SCZ_446_CTL_882,SCZ_929_CTL_346,0.77,2668726.6382605336,3.8299999999999994e-83,Spearman
SCZ_446_CTL_882,SCZ_930_CTL_111,0.88,1459669.394631149,5.2199999999999985e-132,Spearman
SCZ_446_CTL_882,SCZ_931_CTL_524,0.85,1777734.9335209057,1.0599999999999998e-115,Spearman
SCZ_446_CTL_882,SCZ_94_CTL_46,0.83,2001842.7302170282,5.079999999999999e-106,Spearman
SCZ_446_CTL_882,SCZ_CTL,0.82,2118737.368974843,1.9499999999999998e-101,Spearman
SCZ_446_CTL_882,SCZ_F_CTL_F,0.81,2180962.7028710074,4.119999999999999e-99,Spearman
SCZ_446_CTL_882,SCZ_F_SCZ_M,0.81,2193209.5817839834,1.1599999999999998e-98,Spearman
SCZ_446_CTL_882,SCZ_M_CTL_M,0.8,2348469.201643855,3.3299999999999993e-93,Spearman
SCZ_547_CTL_554,C3N_C3NPC,0.79,2451480.182056476,8.349999999999998e-90,Spearman
SCZ_547_CTL_554,C3N_D3N,0.81,2211822.5278202454,5.509999999999999e-98,Spearman
SCZ_547_CTL_554,C3N_D3NPC,0.76,2867998.4886958427,1.4499999999999997e-77,Spearman
SCZ_547_CTL_554,CTL_F_CTL_M,0.79,2458809.845613831,1.4399999999999996e-89,Spearman
SCZ_547_CTL_554,CTL_SCZ,0.79,2478201.5642908434,5.9899999999999985e-89,Spearman
SCZ_547_CTL_554,Haloperidol_Control,0.81,2189058.0007605413,8.159999999999998e-99,Spearman
SCZ_547_CTL_554,SCZ_22_CTL_116,0.77,2707069.2538979915,4.9399999999999985e-82,Spearman
SCZ_547_CTL_554,SCZ_225_CTL_874,0.74,3027120.145687793,1.98e-73,Spearman
SCZ_547_CTL_554,SCZ_291_CTL_846,0.71,3448908.181584219,1.2599999999999997e-63,Spearman
SCZ_547_CTL_554,SCZ_331_CTL_167,0.82,2150457.954992769,3.0499999999999995e-100,Spearman
SCZ_547_CTL_554,SCZ_339_CTL_223,0.73,3128234.6180666666,6.189999999999999e-71,Spearman
SCZ_547_CTL_554,SCZ_446_CTL_882,0.81,2270562.8605270637,6.849999999999998e-96,Spearman
SCZ_547_CTL_554,SCZ_547_CTL_554,1,0,0,Spearman
SCZ_547_CTL_554,SCZ_552_CTL_686,0.79,2444052.549362626,4.809999999999999e-90,Spearman
SCZ_547_CTL_554,SCZ_565_CTL_195,0.86,1698049.2686244585,1.8099999999999994e-119,Spearman
SCZ_547_CTL_554,SCZ_585_CTL_834,0.77,2729054.573657951,2.0999999999999997e-81,Spearman
SCZ_547_CTL_554,SCZ_640_CTL_702,0.76,2763747.7716386206,2e-80,Spearman
SCZ_547_CTL_554,SCZ_69_CTL_901,0.74,3026036.0106782257,1.8599999999999996e-73,Spearman
SCZ_547_CTL_554,SCZ_732_CTL_836,0.77,2678932.472152201,7.599999999999998e-83,Spearman
SCZ_547_CTL_554,SCZ_737_CTL_869,0.78,2555295.1261882507,1.5399999999999998e-86,Spearman
SCZ_547_CTL_554,SCZ_802_CTL_676,0.78,2628133.661970297,2.4399999999999995e-84,Spearman
SCZ_547_CTL_554,SCZ_929_CTL_346,0.74,3104331.083012611,1.6199999999999997e-71,Spearman
SCZ_547_CTL_554,SCZ_930_CTL_111,0.83,1993832.3874941505,2.3999999999999993e-106,Spearman
SCZ_547_CTL_554,SCZ_931_CTL_524,0.8,2309044.3818179485,1.4999999999999998e-94,Spearman
SCZ_547_CTL_554,SCZ_94_CTL_46,0.75,2880580.3156822715,3.1499999999999997e-77,Spearman
SCZ_547_CTL_554,SCZ_CTL,0.77,2741590.7289737677,4.759999999999999e-81,Spearman
SCZ_547_CTL_554,SCZ_F_CTL_F,0.82,2121139.5561840897,2.3999999999999994e-101,Spearman
SCZ_547_CTL_554,SCZ_F_SCZ_M,0.78,2542059.83132533,6.0099999999999985e-87,Spearman
SCZ_547_CTL_554,SCZ_M_CTL_M,0.76,2833856.7924083997,1.7299999999999999e-78,Spearman
SCZ_552_CTL_686,C3N_C3NPC,0.79,2411992.256743086,4.35e-91,Spearman
SCZ_552_CTL_686,C3N_D3N,0.81,2250744.9943462173,1.3699999999999995e-96,Spearman
SCZ_552_CTL_686,C3N_D3NPC,0.82,2165272.6473331023,1.0899999999999996e-99,Spearman
SCZ_552_CTL_686,CTL_F_CTL_M,0.77,2675292.5897649857,5.949999999999999e-83,Spearman
SCZ_552_CTL_686,CTL_SCZ,0.82,2164367.4181483514,9.999999999999996e-100,Spearman
SCZ_552_CTL_686,Haloperidol_Control,0.8,2339783.4322767765,1.6899999999999997e-93,Spearman
SCZ_552_CTL_686,SCZ_22_CTL_116,0.77,2664004.4463282675,2.7899999999999996e-83,Spearman
SCZ_552_CTL_686,SCZ_225_CTL_874,0.8,2325595.9597436143,5.549999999999999e-94,Spearman
SCZ_552_CTL_686,SCZ_291_CTL_846,0.7,3525928.0731511773,5.389999999999999e-62,Spearman
SCZ_552_CTL_686,SCZ_331_CTL_167,0.79,2411267.3004831136,4.11e-91,Spearman
SCZ_552_CTL_686,SCZ_339_CTL_223,0.78,2553067.7002653237,1.3099999999999999e-86,Spearman
SCZ_552_CTL_686,SCZ_446_CTL_882,0.81,2284116.201836836,2.0399999999999996e-95,Spearman
SCZ_552_CTL_686,SCZ_547_CTL_554,0.79,2444052.549362626,4.809999999999999e-90,Spearman
SCZ_552_CTL_686,SCZ_552_CTL_686,1,0,0,Spearman
SCZ_552_CTL_686,SCZ_565_CTL_195,0.83,1954263.3999597796,5.679999999999999e-108,Spearman
SCZ_552_CTL_686,SCZ_585_CTL_834,0.83,2037987.7582869118,1.4299999999999997e-104,Spearman
SCZ_552_CTL_686,SCZ_640_CTL_702,0.84,1832486.4717994288,3.2399999999999994e-113,Spearman
SCZ_552_CTL_686,SCZ_69_CTL_901,0.72,3236091.4830749105,2.2299999999999997e-68,Spearman
SCZ_552_CTL_686,SCZ_732_CTL_836,0.73,3121730.3404427436,4.309999999999999e-71,Spearman
SCZ_552_CTL_686,SCZ_737_CTL_869,0.81,2277156.2404235345,1.1699999999999996e-95,Spearman
SCZ_552_CTL_686,SCZ_802_CTL_676,0.82,2164725.2751275706,1.0399999999999997e-99,Spearman
SCZ_552_CTL_686,SCZ_929_CTL_346,0.77,2677709.149061564,6.999999999999999e-83,Spearman
SCZ_552_CTL_686,SCZ_930_CTL_111,0.84,1842097.5026619139,8.669999999999998e-113,Spearman
SCZ_552_CTL_686,SCZ_931_CTL_524,0.83,1991978.715762633,2.0199999999999994e-106,Spearman
SCZ_552_CTL_686,SCZ_94_CTL_46,0.84,1926106.4758562641,3.749999999999999e-109,Spearman
SCZ_552_CTL_686,SCZ_CTL,0.79,2454501.3884094744,1.0399999999999997e-89,Spearman
SCZ_552_CTL_686,SCZ_F_CTL_F,0.8,2405852.07349401,2.73e-91,Spearman
SCZ_552_CTL_686,SCZ_F_SCZ_M,0.81,2267581.485306286,5.379999999999998e-96,Spearman
SCZ_552_CTL_686,SCZ_M_CTL_M,0.8,2369467.9343407,1.6899999999999998e-92,Spearman
SCZ_565_CTL_195,C3N_C3NPC,0.88,1456517.8662627426,3.449999999999999e-132,Spearman
SCZ_565_CTL_195,C3N_D3N,0.83,1965359.7970570298,1.6399999999999995e-107,Spearman
SCZ_565_CTL_195,C3N_D3NPC,0.85,1738911.2011300514,1.63e-117,Spearman
SCZ_565_CTL_195,CTL_F_CTL_M,0.78,2599074.7212282377,3.299999999999999e-85,Spearman
SCZ_565_CTL_195,CTL_SCZ,0.86,1641244.8659496363,2.82e-122,Spearman
SCZ_565_CTL_195,Haloperidol_Control,0.8,2306148.4905230515,1.1899999999999997e-94,Spearman
SCZ_565_CTL_195,SCZ_22_CTL_116,0.85,1781041.377290953,1.5099999999999996e-115,Spearman
SCZ_565_CTL_195,SCZ_225_CTL_874,0.81,2200337.58794983,2.1099999999999995e-98,Spearman
SCZ_565_CTL_195,SCZ_291_CTL_846,0.73,3162044.5059209988,4.0199999999999996e-70,Spearman
SCZ_565_CTL_195,SCZ_331_CTL_167,0.9,1177529.1194089092,4.699999999999999e-150,Spearman
SCZ_565_CTL_195,SCZ_339_CTL_223,0.8,2300908.9344211365,7.839999999999998e-95,Spearman
SCZ_565_CTL_195,SCZ_446_CTL_882,0.9,1218258.1927198558,3.509999999999999e-147,Spearman
SCZ_565_CTL_195,SCZ_547_CTL_554,0.86,1698049.2686244585,1.8099999999999994e-119,Spearman
SCZ_565_CTL_195,SCZ_552_CTL_686,0.83,1954263.3999597796,5.679999999999999e-108,Spearman
SCZ_565_CTL_195,SCZ_565_CTL_195,1,0,0,Spearman
SCZ_565_CTL_195,SCZ_585_CTL_834,0.87,1548878.075001418,4.499999999999998e-127,Spearman
SCZ_565_CTL_195,SCZ_640_CTL_702,0.81,2185766.100983383,6.1799999999999985e-99,Spearman
SCZ_565_CTL_195,SCZ_69_CTL_901,0.82,2162628.788690436,8.659999999999999e-100,Spearman
SCZ_565_CTL_195,SCZ_732_CTL_836,0.8,2356132.646217533,6.039999999999999e-93,Spearman
SCZ_565_CTL_195,SCZ_737_CTL_869,0.82,2060751.8476743773,1.1299999999999998e-103,Spearman
SCZ_565_CTL_195,SCZ_802_CTL_676,0.86,1625334.7906328894,4.4199999999999994e-123,Spearman
SCZ_565_CTL_195,SCZ_929_CTL_346,0.78,2545772.4856586326,7.829999999999998e-87,Spearman
SCZ_565_CTL_195,SCZ_930_CTL_111,0.92,961052.5662113678,2.4899999999999995e-167,Spearman
SCZ_565_CTL_195,SCZ_931_CTL_524,0.85,1729903.3561926826,6.119999999999998e-118,Spearman
SCZ_565_CTL_195,SCZ_94_CTL_46,0.83,1960977.2729808437,1.0799999999999999e-107,Spearman
SCZ_565_CTL_195,SCZ_CTL,0.82,2152121.3729760484,3.52e-100,Spearman
SCZ_565_CTL_195,SCZ_F_CTL_F,0.82,2105297.6037768363,5.979999999999999e-102,Spearman
SCZ_565_CTL_195,SCZ_F_SCZ_M,0.8,2340367.255902258,1.7699999999999997e-93,Spearman
SCZ_565_CTL_195,SCZ_M_CTL_M,0.78,2559784.780663367,2.1099999999999998e-86,Spearman
SCZ_585_CTL_834,C3N_C3NPC,0.82,2123024.928991442,2.8299999999999993e-101,Spearman
SCZ_585_CTL_834,C3N_D3N,0.85,1711749.8206239417,8.289999999999997e-119,Spearman
SCZ_585_CTL_834,C3N_D3NPC,0.84,1890083.400559201,1.0899999999999999e-110,Spearman
SCZ_585_CTL_834,CTL_F_CTL_M,0.78,2561210.6341777905,2.3299999999999997e-86,Spearman
SCZ_585_CTL_834,CTL_SCZ,0.91,1037609.567729746,8.619999999999998e-161,Spearman
SCZ_585_CTL_834,Haloperidol_Control,0.78,2616147.88313254,1.0699999999999999e-84,Spearman
SCZ_585_CTL_834,SCZ_22_CTL_116,0.83,1937412.216122187,1.1199999999999997e-108,Spearman
SCZ_585_CTL_834,SCZ_225_CTL_874,0.82,2135298.003162068,8.229999999999998e-101,Spearman
SCZ_585_CTL_834,SCZ_291_CTL_846,0.72,3278154.5318921707,2.08e-67,Spearman
SCZ_585_CTL_834,SCZ_331_CTL_167,0.85,1780798.9039477862,1.4699999999999997e-115,Spearman
SCZ_585_CTL_834,SCZ_339_CTL_223,0.83,1952570.8110317069,4.829999999999999e-108,Spearman
SCZ_585_CTL_834,SCZ_446_CTL_882,0.89,1349493.9539243022,1.4299999999999996e-138,Spearman
SCZ_585_CTL_834,SCZ_547_CTL_554,0.77,2729054.573657951,2.0999999999999997e-81,Spearman
SCZ_585_CTL_834,SCZ_552_CTL_686,0.83,2037987.7582869118,1.4299999999999997e-104,Spearman
SCZ_585_CTL_834,SCZ_565_CTL_195,0.87,1548878.075001418,4.499999999999998e-127,Spearman
SCZ_585_CTL_834,SCZ_585_CTL_834,1,1.3034866519490151e-9,0,Spearman
SCZ_585_CTL_834,SCZ_640_CTL_702,0.82,2158957.217020482,6.319999999999999e-100,Spearman
SCZ_585_CTL_834,SCZ_69_CTL_901,0.79,2487471.2119727745,1.1799999999999998e-88,Spearman
SCZ_585_CTL_834,SCZ_732_CTL_836,0.78,2548331.391191878,9.389999999999998e-87,Spearman
SCZ_585_CTL_834,SCZ_737_CTL_869,0.79,2505978.053598724,4.519999999999999e-88,Spearman
SCZ_585_CTL_834,SCZ_802_CTL_676,0.86,1671103.4688403097,8.679999999999998e-121,Spearman
SCZ_585_CTL_834,SCZ_929_CTL_346,0.84,1931368.4523158167,6.259999999999998e-109,Spearman
SCZ_585_CTL_834,SCZ_930_CTL_111,0.87,1521200.2922043905,1.4299999999999995e-128,Spearman
SCZ_585_CTL_834,SCZ_931_CTL_524,0.84,1872914.4915808968,1.9599999999999996e-111,Spearman
SCZ_585_CTL_834,SCZ_94_CTL_46,0.82,2107243.35859686,7.099999999999999e-102,Spearman
SCZ_585_CTL_834,SCZ_CTL,0.83,2048452.579069148,3.6999999999999987e-104,Spearman
SCZ_585_CTL_834,SCZ_F_CTL_F,0.81,2185167.8184944303,5.879999999999998e-99,Spearman
SCZ_585_CTL_834,SCZ_F_SCZ_M,0.82,2158293.9893181925,5.969999999999999e-100,Spearman
SCZ_585_CTL_834,SCZ_M_CTL_M,0.79,2412695.6380857043,4.58e-91,Spearman
SCZ_640_CTL_702,C3N_C3NPC,0.77,2700530.9459416964,3.199999999999999e-82,Spearman
SCZ_640_CTL_702,C3N_D3N,0.81,2247394.080791659,1.0399999999999996e-96,Spearman
SCZ_640_CTL_702,C3N_D3NPC,0.76,2816277.252110759,5.729999999999999e-79,Spearman
SCZ_640_CTL_702,CTL_F_CTL_M,0.73,3124525.6328912866,5.029999999999999e-71,Spearman
SCZ_640_CTL_702,CTL_SCZ,0.81,2225382.941226627,1.7e-97,Spearman
SCZ_640_CTL_702,Haloperidol_Control,0.79,2466635.332537505,2.5599999999999994e-89,Spearman
SCZ_640_CTL_702,SCZ_22_CTL_116,0.77,2695476.80037145,2.2899999999999993e-82,Spearman
SCZ_640_CTL_702,SCZ_225_CTL_874,0.73,3123123.0934115592,4.6499999999999994e-71,Spearman
SCZ_640_CTL_702,SCZ_291_CTL_846,0.68,3761475.0430193157,2.86e-57,Spearman
SCZ_640_CTL_702,SCZ_331_CTL_167,0.78,2526138.339896508,1.9299999999999995e-87,Spearman
SCZ_640_CTL_702,SCZ_339_CTL_223,0.76,2868264.1465762123,1.4699999999999998e-77,Spearman
SCZ_640_CTL_702,SCZ_446_CTL_882,0.81,2219626.4377053645,1.0499999999999999e-97,Spearman
SCZ_640_CTL_702,SCZ_547_CTL_554,0.76,2763747.7716386206,2e-80,Spearman
SCZ_640_CTL_702,SCZ_552_CTL_686,0.84,1832486.4717994288,3.2399999999999994e-113,Spearman
SCZ_640_CTL_702,SCZ_565_CTL_195,0.81,2185766.100983383,6.1799999999999985e-99,Spearman
SCZ_640_CTL_702,SCZ_585_CTL_834,0.82,2158957.217020482,6.319999999999999e-100,Spearman
SCZ_640_CTL_702,SCZ_640_CTL_702,1,1.3034866519490151e-9,0,Spearman
SCZ_640_CTL_702,SCZ_69_CTL_901,0.72,3304171.885639876,8.109999999999999e-67,Spearman
SCZ_640_CTL_702,SCZ_732_CTL_836,0.74,3010878.4125788626,7.699999999999998e-74,Spearman
SCZ_640_CTL_702,SCZ_737_CTL_869,0.78,2625239.198623421,1.9999999999999996e-84,Spearman
SCZ_640_CTL_702,SCZ_802_CTL_676,0.81,2271877.013448476,7.619999999999998e-96,Spearman
SCZ_640_CTL_702,SCZ_929_CTL_346,0.76,2837678.122517437,2.2e-78,Spearman
SCZ_640_CTL_702,SCZ_930_CTL_111,0.81,2198013.481576256,1.7299999999999996e-98,Spearman
SCZ_640_CTL_702,SCZ_931_CTL_524,0.81,2217644.238606899,8.939999999999998e-98,Spearman
SCZ_640_CTL_702,SCZ_94_CTL_46,0.8,2300462.854254339,7.569999999999998e-95,Spearman
SCZ_640_CTL_702,SCZ_CTL,0.75,2919112.788040685,3.299999999999999e-76,Spearman
SCZ_640_CTL_702,SCZ_F_CTL_F,0.81,2253153.186193744,1.6699999999999995e-96,Spearman
SCZ_640_CTL_702,SCZ_F_SCZ_M,0.76,2778814.292554594,5.279999999999999e-80,Spearman
SCZ_640_CTL_702,SCZ_M_CTL_M,0.78,2612946.6870327336,8.599999999999999e-85,Spearman
SCZ_69_CTL_901,C3N_C3NPC,0.74,3060537.8776687365,1.3599999999999998e-72,Spearman
SCZ_69_CTL_901,C3N_D3N,0.77,2659607.9783966895,2.0699999999999995e-83,Spearman
SCZ_69_CTL_901,C3N_D3NPC,0.75,2928837.592260903,5.939999999999999e-76,Spearman
SCZ_69_CTL_901,CTL_F_CTL_M,0.68,3778989.294950271,6.1899999999999994e-57,Spearman
SCZ_69_CTL_901,CTL_SCZ,0.71,3351480.69832015,9.349999999999998e-66,Spearman
SCZ_69_CTL_901,Haloperidol_Control,0.71,3363904.350952631,1.7599999999999997e-65,Spearman
SCZ_69_CTL_901,SCZ_22_CTL_116,0.78,2629027.6746094446,2.5899999999999996e-84,Spearman
SCZ_69_CTL_901,SCZ_225_CTL_874,0.84,1827067.7592382904,1.8499999999999996e-113,Spearman
SCZ_69_CTL_901,SCZ_291_CTL_846,0.72,3243646.5763313384,3.3399999999999992e-68,Spearman
SCZ_69_CTL_901,SCZ_331_CTL_167,0.78,2630957.169330699,2.9599999999999994e-84,Spearman
SCZ_69_CTL_901,SCZ_339_CTL_223,0.7,3579871.5994851924,7.05e-61,Spearman
SCZ_69_CTL_901,SCZ_446_CTL_882,0.74,3059451.504729032,1.2699999999999997e-72,Spearman
SCZ_69_CTL_901,SCZ_547_CTL_554,0.74,3026036.0106782257,1.8599999999999996e-73,Spearman
SCZ_69_CTL_901,SCZ_552_CTL_686,0.72,3236091.4830749105,2.2299999999999997e-68,Spearman
SCZ_69_CTL_901,SCZ_565_CTL_195,0.82,2162628.788690436,8.659999999999999e-100,Spearman
SCZ_69_CTL_901,SCZ_585_CTL_834,0.79,2487471.2119727745,1.1799999999999998e-88,Spearman
SCZ_69_CTL_901,SCZ_640_CTL_702,0.72,3304171.885639876,8.109999999999999e-67,Spearman
SCZ_69_CTL_901,SCZ_69_CTL_901,1,0,0,Spearman
SCZ_69_CTL_901,SCZ_732_CTL_836,0.79,2477959.2965307357,5.879999999999999e-89,Spearman
SCZ_69_CTL_901,SCZ_737_CTL_869,0.72,3325014.7001611125,2.3899999999999997e-66,Spearman
SCZ_69_CTL_901,SCZ_802_CTL_676,0.76,2761266.258395623,1.71e-80,Spearman
SCZ_69_CTL_901,SCZ_929_CTL_346,0.77,2724065.8050569203,1.5099999999999997e-81,Spearman
SCZ_69_CTL_901,SCZ_930_CTL_111,0.8,2368097.7070222315,1.5199999999999996e-92,Spearman
SCZ_69_CTL_901,SCZ_931_CTL_524,0.8,2289610.408304331,3.179999999999999e-95,Spearman
SCZ_69_CTL_901,SCZ_94_CTL_46,0.74,3018331.796342026,1.1899999999999998e-73,Spearman
SCZ_69_CTL_901,SCZ_CTL,0.7,3464164.9409042294,2.6699999999999995e-63,Spearman
SCZ_69_CTL_901,SCZ_F_CTL_F,0.72,3230276.195836472,1.6299999999999996e-68,Spearman
SCZ_69_CTL_901,SCZ_F_SCZ_M,0.69,3597434.84393901,1.61e-60,Spearman
SCZ_69_CTL_901,SCZ_M_CTL_M,0.68,3708075.1076614135,2.62e-58,Spearman
SCZ_732_CTL_836,C3N_C3NPC,0.74,2996288.512687186,3.2799999999999992e-74,Spearman
SCZ_732_CTL_836,C3N_D3N,0.8,2305526.9694574927,1.1299999999999999e-94,Spearman
SCZ_732_CTL_836,C3N_D3NPC,0.75,2988033.9153018664,2.0199999999999995e-74,Spearman
SCZ_732_CTL_836,CTL_F_CTL_M,0.72,3229562.0172526506,1.5699999999999997e-68,Spearman
SCZ_732_CTL_836,CTL_SCZ,0.78,2605733.147972431,5.229999999999999e-85,Spearman
SCZ_732_CTL_836,Haloperidol_Control,0.77,2693368.6139607793,1.9899999999999995e-82,Spearman
SCZ_732_CTL_836,SCZ_22_CTL_116,0.76,2875671.624858121,2.33e-77,Spearman
SCZ_732_CTL_836,SCZ_225_CTL_874,0.78,2579342.950393055,8.339999999999998e-86,Spearman
SCZ_732_CTL_836,SCZ_291_CTL_846,0.79,2485263.547403175,9.999999999999998e-89,Spearman
SCZ_732_CTL_836,SCZ_331_CTL_167,0.84,1909621.5721740515,7.499999999999999e-110,Spearman
