HGNC,PTMSEA,KEA3,UKA,KRSA,CombinedScore,Percentile,Rescaled
SGK1,0.2571428571428571,0.84,0.3018867924528302,0.2006269592476489,0.4639297294273716,77,0.38465217464867735
PIK3C2A,0,-1,-1,-1,0.2562474081209193,10,0.10661721044567121
CHEK1,0.3,0.9285714285714286,-1,0.5642633228840125,0.552730488503536,88,0.5035343005591898
AURKA,0.9714285714285714,0.9485714285714286,-1,0.8652037617554859,0.6994821536241076,99,0.6999982735245287
DAPK3,0,0.7342857142857143,0.5471698113207547,0.03761755485893417,0.41376785189566456,65,0.3174978991371659
RPS6KA5,0.7714285714285715,0.8485714285714285,-1,0.8275862068965517,0.6380759066126719,95,0.617790584481643
CHEK2,0.9142857142857144,0.7485714285714286,-1,0.18808777429467088,0.4839113061268358,80,0.41140253513871367
RAF1,0.22857142857142856,0.7057142857142857,0.6037735849056604,0.05015673981191222,0.4509393137584602,75,0.36726123962461027
PRKCG,0,0.7971428571428572,-1,0.6018808777429467,0.48683330355057175,81,0.41531436279934025
PRKCB,0.6428571428571429,0.9057142857142856,-1,0.6018808777429467,0.5921875214603431,92,0.5563574521721522
CDK1,0.9571428571428572,0.9228571428571428,-1,0.8401253918495298,0.6844882227580267,98,0.6799251300552697
ARAF,0.8285714285714286,0.7885714285714286,0.5188679245283019,0.05015673981191222,0.5372039552678941,87,0.482748135009747
PIM1,0.6714285714285714,0.98,0.981132075471698,0.915360501567398,0.9235728723183128,100,1
CDK4,0.7571428571428571,0.8914285714285715,0.42452830188679247,0.8401253918495298,0.7413363437291401,100,0.7560306222309325
BRAF,0.8285714285714286,0.5314285714285715,0.5188679245283019,0.05015673981191222,0.4446839552678941,72,0.35888687071799935
PRKCA,0.6142857142857143,0.9857142857142858,-1,0.6018808777429467,0.613683360877829,94,0.5851350337465382
PRKACA,0.37142857142857144,0.9914285714285714,-1,0.6520376175548589,0.5992275195993052,93,0.5657822583773336
PRKACG,0.3857142857142858,-1,-1,0.6520376175548589,0.35933017624908986,47,0.24461939361739918
PRKACB,0.3857142857142858,0.19428571428571428,-1,0.6520376175548589,0.3548152132545623,45,0.23857498133105415
RPS6KB1,0.7142857142857143,0.9771428571428572,-1,0.8275862068965517,0.6713683090212433,97,0.6623608293328676
CDK2,0.9428571428571428,0.9628571428571427,0.09433962264150944,0.8401253918495298,0.7067396321388436,99,0.7097142318514352
MAPK3,0.7428571428571429,0.96,-1,0.9655172413793104,0.6993095217144886,98,0.6997671623422707
MAPK1,0.8,0.9657142857142856,-1,0.9655172413793104,0.7074594822187172,99,0.7106779320351109
AKT1,0.2857142857142857,0.9542857142857144,-1,0.6269592476489029,0.5727235094993385,91,0.5302999821150863
AKT2,0.9285714285714286,0.9514285714285714,-1,0.6269592476489029,0.6436893837155099,96,0.6253056338875044
MAP3K8,0.7,0.5057142857142857,-1,0.11285266457680251,0.36862850709110717,50,0.257067545518558
PRKCI,0.3857142857142858,0.8314285714285714,-1,0.8526645768025078,0.5951383615467529,92,0.5603078929830632
MTOR,0,0.6685714285714286,-1,0.02507836990595611,0.32153890309122385,29,0.1940262799930145
MAPK8,0.8714285714285714,0.8028571428571428,-1,0.9780564263322884,0.6679134375660148,97,0.6577356159043107
MAPK9,0,0.9114285714285716,-1,0.9780564263322884,0.6040265794409292,93,0.5722070056686793
CSNK1A1,0,0.7,-1,0.90282131661442,0.5223922657044576,85,0.46291896730952947
CSNK1D,0,0.6885714285714286,-1,0.90282131661442,0.5188652560948577,85,0.4581971788376943
MAPKAPK2,0.5285714285714286,0.6371428571428571,0.6320754716981132,0.16300940438871472,0.501253058124699,83,0.43461882704845517
GSK3B,0,0.9428571428571428,-1,0.8025078369905956,0.5754950386299623,91,0.5340103701624326
CDK7,1,0.8228571428571428,0.05660377358490566,0.8401253918495298,0.654156742650973,96,0.6393188235928868
CDK9,0.3142857142857143,0.7257142857142858,0.25471698113207547,0.8401253918495298,0.5805533410337222,91,0.5407821787540851
RPS6KA3,0.5,0.9828571428571428,-1,0.8275862068965517,0.6491826049531862,96,0.6326596906053262
NEK2,0,0.8028571428571428,-1,0.5266457680250783,0.4722121723965003,78,0.3957403054050606
DAPK1,0.5714285714285714,0.56,0.49056603773584906,0.03761755485893417,0.41103208909243,64,0.3138353933047949
PRKAA2,0.8142857142857143,0.8771428571428571,-1,0.26332288401253917,0.5287985027197072,86,0.47149532502744346
CSNK2A1,0.9,0.9371428571428572,-1,0,0.4995487608632,82,0.432337196984272
PRKDC,0.7857142857142857,0.8657142857142858,-1,0.06269592476489028,0.47838590270340237,80,0.4040053944799543
ATM,0.6285714285714286,0.6514285714285715,-1,0.5893416927899686,0.5093841710620742,83,0.4455043645378875
AURKB,0.9857142857142858,0.9428571428571428,-1,0.8652037617554859,0.6993152627441648,98,0.6997748481528416
CDK3,0,0.4457142857142858,0.29245283018867924,0.8401253918495298,0.4485145162358787,75,0.3640150389458549
CDK6,0.3142857142857143,0.8942857142857142,0.5,0.8401253918495298,0.7039732655620241,99,0.706010755179372
CDK5,0.6571428571428571,0.7742857142857142,0.3490566037735849,0.8401253918495298,0.6668451361819704,97,0.6563054261067278
PRKCE,0.35714285714285715,0.7028571428571428,-1,0.7648902821316614,0.5331508669703551,86,0.4773220580445582
PRKCQ,0.5142857142857142,0.7914285714285715,-1,0.927899686520376,0.6135479891957386,94,0.5849538047399123
PRKCZ,0.6,0.94,-1,0.8526645768025078,0.6525941617108101,96,0.6372269164289572
