Kinase,Z,method,AvgZ
ERK,-4.41,710144413>0.15,-3.95875
PKA,4.15,710144413>0.15,3.5875
AKT,4.1,710144413>0.15,2.86
RSK,3.51,710144413>0.15,2.43625
CDK,-3.18,710144413>0.15,-2.32625
JNK,-3.12,710144413>0.15,-3.05
DYRK,-2.97,710144413>0.15,-2.97375
PLK,-2.87,710144413>0.15,-1.78375
SGK,2.76,710144413>0.15,1.7662499999999999
STE7,-2.73,710144413>0.15,-1.62625
BARK2,2.46,710144413>0.15,1.2825000000000002
PKG,2.44,710144413>0.15,1.925
NMO,-2.42,710144413>0.15,-2.035
RAD53,2.36,710144413>0.15,1.80625
MAPKAPK,2.36,710144413>0.15,1.6025
PHK,2.3,710144413>0.15,1.43125
AMPK,2.27,710144413>0.15,2.28
IRAK,-2.25,710144413>0.15,-1.09125
MST,-2.19,710144413>0.15,-1.8074999999999999
FRAY,-1.92,710144413>0.15,-1.2575
LKB,-1.83,710144413>0.15,-1.39125
P38,-1.68,710144413>0.15,-1.415
PKD,1.66,710144413>0.15,2.25625
MARK,1.65,710144413>0.15,1.33125
MLCK,-1.62,710144413>0.15,-1.32875
PDK1,-1.61,710144413>0.15,-1.675
CHK1,1.58,710144413>0.15,1.2575
DMPK,1.57,710144413>0.15,1.6
PEK,-1.55,710144413>0.15,-0.67625
GSK,-1.52,710144413>0.15,-1.605
PAKA,1.52,710144413>0.15,1.64
PKCA,1.46,710144413>0.15,1.59125
BUD32,1.44,710144413>0.15,0.67
PKCI,1.42,710144413>0.15,0.6537499999999999
KHS,1.42,710144413>0.15,1.4124999999999999
MOS,1.41,710144413>0.15,0.77
WNK,1.39,710144413>0.15,0.6275
TAO,1.36,710144413>0.15,1.1275
CK2,-1.29,710144413>0.15,-0.9862500000000001
CK1,-1.18,710144413>0.15,-0.5675
STKR,-1.12,710144413>0.15,-0.37
NEK,-1.09,710144413>0.15,-0.52875
NAK,-1.05,710144413>0.15,-0.8375
TLK,-1.03,710144413>0.15,-0.83625
PKN,-1.03,710144413>0.15,-0.8375
STE11,-0.96,710144413>0.15,-0.78
CAMK1,0.94,710144413>0.15,1.51375
SLK,-0.74,710144413>0.15,-0.595
CLK,-0.73,710144413>0.15,-0.585
CAMKK,-0.72,710144413>0.15,-0.58375
ULK,-0.72,710144413>0.15,-0.6025
PASK,-0.72,710144413>0.15,-0.59
MTOR,-0.71,710144413>0.15,-0.65125
VRK1,-0.7,710144413>0.15,-0.7875
BRSK,-0.7,710144413>0.15,-0.59625
MSN,0.7,710144413>0.15,0.6699999999999999
PRKDC,-0.69,710144413>0.15,-0.73125
NIK,-0.69,710144413>0.15,-0.58875
COT,-0.67,710144413>0.15,-0.7325
ATM,0.67,710144413>0.15,0.12499999999999999
QIK,0.66,710144413>0.15,0.24500000000000002
PIM,0.66,710144413>0.15,-0.08249999999999999
TTK,0.53,710144413>0.15,0.03874999999999995
NUAK,0.49,710144413>0.15,0.036250000000000004
HAL,0.46,710144413>0.15,0.58
PAKB,0.45,710144413>0.15,-0.66125
CAMK2,-0.43,710144413>0.15,-0.14625000000000005
RIPK,0.42,710144413>0.15,0.95125
DAPK,0.41,710144413>0.15,-0.07625000000000003
PDHK,-0.4,710144413>0.15,0.18
RAF,0.38,710144413>0.15,-0.39625
ATR,0.36,710144413>0.15,0.03375
PKCD,0.36,710144413>0.15,0.7874999999999999
NDR,0.26,710144413>0.15,0.3899999999999999
PKCH,-0.23,710144413>0.15,-0.75875
MELK,0.2,710144413>0.15,-0.1625
AUR,0.16,710144413>0.15,0.35875
MLK,-0.07,710144413>0.15,0.28
IKK,0.07,710144413>0.15,1.2225000000000001
GRK,-0.02,710144413>0.15,0.08999999999999997
ERK,-4.32,710144413>0.2,-3.95875
CDK,-3.54,710144413>0.2,-2.32625
PKA,3.47,710144413>0.2,3.5875
AKT,3.36,710144413>0.2,2.86
JNK,-2.96,710144413>0.2,-3.05
DYRK,-2.69,710144413>0.2,-2.97375
PLK,-2.69,710144413>0.2,-1.78375
RSK,2.69,710144413>0.2,2.43625
BARK2,2.62,710144413>0.2,1.2825000000000002
MAPKAPK,2.5,710144413>0.2,1.6025
PHK,2.47,710144413>0.2,1.43125
STE7,-2.38,710144413>0.2,-1.62625
NMO,-2.24,710144413>0.2,-2.035
IRAK,-1.95,710144413>0.2,-1.09125
SGK,1.94,710144413>0.2,1.7662499999999999
AMPK,1.89,710144413>0.2,2.28
PDK1,-1.87,710144413>0.2,-1.675
RAD53,1.8,710144413>0.2,1.80625
MST,-1.71,710144413>0.2,-1.8074999999999999
PKD,1.7,710144413>0.2,2.25625
FRAY,-1.65,710144413>0.2,-1.2575
TAO,1.61,710144413>0.2,1.1275
MOS,1.57,710144413>0.2,0.77
LKB,-1.56,710144413>0.2,-1.39125
KHS,1.56,710144413>0.2,1.4124999999999999
BUD32,1.53,710144413>0.2,0.67
WNK,1.49,710144413>0.2,0.6275
MLCK,-1.48,710144413>0.2,-1.32875
PKG,1.43,710144413>0.2,1.925
CHK1,1.32,710144413>0.2,1.2575
CK1,-1.3,710144413>0.2,-0.5675
P38,-1.3,710144413>0.2,-1.415
GSK,-1.16,710144413>0.2,-1.605
PEK,-1.13,710144413>0.2,-0.67625
CK2,-1.11,710144413>0.2,-0.9862500000000001
PKCA,1.02,710144413>0.2,1.59125
IKK,1.01,710144413>0.2,1.2225000000000001
DMPK,0.96,710144413>0.2,1.6
PKN,-0.94,710144413>0.2,-0.8375
NAK,-0.94,710144413>0.2,-0.8375
PAKB,-0.93,710144413>0.2,-0.66125
MSN,0.93,710144413>0.2,0.6699999999999999
ATM,0.92,710144413>0.2,0.12499999999999999
TLK,-0.91,710144413>0.2,-0.83625
STKR,-0.91,710144413>0.2,-0.37
ATR,0.74,710144413>0.2,0.03375
QIK,0.71,710144413>0.2,0.24500000000000002
STE11,-0.7,710144413>0.2,-0.78
PKCD,0.7,710144413>0.2,0.7874999999999999
MTOR,-0.69,710144413>0.2,-0.65125
ULK,-0.68,710144413>0.2,-0.6025
HAL,0.67,710144413>0.2,0.58
CAMKK,-0.67,710144413>0.2,-0.58375
PASK,-0.65,710144413>0.2,-0.59
CLK,-0.65,710144413>0.2,-0.585
SLK,-0.65,710144413>0.2,-0.595
BRSK,-0.64,710144413>0.2,-0.59625
NIK,-0.64,710144413>0.2,-0.58875
NEK,-0.64,710144413>0.2,-0.52875
NUAK,0.63,710144413>0.2,0.036250000000000004
TTK,0.63,710144413>0.2,0.03874999999999995
VRK1,-0.52,710144413>0.2,-0.7875
PAKA,0.52,710144413>0.2,1.64
COT,-0.5,710144413>0.2,-0.7325
