HGNC,PTMSEA,KEA3,UKA,KRSA,CombinedScore,Percentile,Rescaled
SGK1,0.5138888888888888,0.7771428571428571,0.8878504672897196,0.27586206896551724,0.6438180361120064,98,0.8639766602571477
PIK3C2A,0,-1,-1,-1,0.2562474081209193,11,0.16429958377330398
CHEK1,0.875,0.9485714285714286,-1,0.6269592476489029,0.6368203290948956,97,0.851343775218359
AURKA,0.5972222222222222,0.7371428571428571,-1,0.915360501567398,0.6033331517318584,94,0.7908897349353976
DAPK3,0,0.76,0.4205607476635514,0.10031347962382443,0.4065390878035918,63,0.43561953287594046
RPS6KA5,0.5555555555555556,0.8485714285714285,-1,0.6896551724137931,0.5839107969346774,92,0.7558267672039107
CHEK2,0.9444444444444444,0.8228571428571428,-1,0.7147335423197492,0.6248999496982567,97,0.8298240428019737
RAF1,0.7916666666666666,0.7342857142857143,0.19626168224299065,0.8025078369905956,0.6213302709645603,97,0.823379740267168
PRKCG,0,0.7914285714285715,-1,0.5141065830721003,0.46595439012708834,78,0.5428813376303084
PRKCB,0.625,0.9057142857142856,-1,0.5141065830721003,0.5710763454355884,91,0.7326568702751817
CDK1,0.9305555555555556,0.9371428571428572,-1,0.5391849529780565,0.6203869650188345,96,0.8216768002127157
ARAF,0.6666666666666666,0.6171428571428571,0.14018691588785046,0.8025078369905956,0.5485452382542798,86,0.6919817053787215
PIM1,0.6527777777777778,0.8828571428571429,0.8037383177570093,0.05015673981191222,0.6211203761967077,96,0.8230008195055468
CDK4,0.2222222222222222,0.86,0.4485981308411215,0.5391849529780565,0.590078876798927,93,0.7669619352874847
BRAF,0.6666666666666666,0.6371428571428571,0.14018691588785046,0.8025078369905956,0.5557412382542798,88,0.7049725666018106
PRKCA,0.7638888888888888,0.9914285714285714,-1,0.5141065830721003,0.613051552888144,96,0.8084342597730317
PRKACA,0.3611111111111111,0.9971428571428572,-1,0.8526645768025078,0.6435302769042546,98,0.8634571716615987
PRKACG,0.4166666666666667,-1,-1,0.8526645768025078,0.39705153043110136,59,0.4184917478325663
PRKACB,0.8333333333333334,0.19428571428571428,-1,0.8526645768025078,0.4485348121237434,73,0.5114339612536782
RPS6KB1,0.5833333333333334,0.9285714285714286,-1,0.6896551724137931,0.6117043912779885,95,0.8060022434413748
CDK2,0.8055555555555556,0.9742857142857144,0.4953271028037383,0.5391849529780565,0.7191651540574941,100,1
MAPK3,0.7083333333333334,0.92,-1,0.9905956112852664,0.6885680497487745,100,0.9447633774453917
