Group,Barcode,SampleName,Peptide,slope,r.seq,nobs
C3N,710317318,C3N_710317318,FIBA_569_581,2.4420045468791134,0.9781132075471698,5
C3N,710317318,C3N_710317318,LIPS_944_956,7.8893174101829056,0.9999655879473971,5
C3N,710317318,C3N_710317318,PLEK_106_118,6.289583946546216,0.9992812329958469,5
C3N,710317318,C3N_710317318,ACM1_421_433,3.117569596381176,0.993147470196189,5
C3N,710317318,C3N_710317318,FOXO3_25_37,4.28470408430186,0.9957346546479293,5
C3N,710317318,C3N_710317318,PP2AB_297_309,2.104969559601543,0.9808301886792452,5
C3N,710317318,C3N_710317318,RBL2_655_667,4.650374401348693,0.9989742751130609,5
C3N,710317318,C3N_710317318,KAP2_92_104,8.168790361162916,0.9997728346790365,5
C3N,710317318,C3N_710317318,RS6_228_240,9.077621909795525,0.9999356837933158,5
C3N,710317318,C3N_710317318,ACM1_444_456,3.089063168692182,0.9942369733111741,5
C3N,710317318,C3N_710317318,BAD_112_124,6.0563054058630525,0.9997949732685649,5
C3N,710317318,C3N_710317318,CENPA_1_14,4.847618792271332,0.9985746140651802,5
C3N,710317318,C3N_710317318,FRAP_2443_2455,4.013546531837948,0.9903443801697573,5
C3N,710317318,C3N_710317318,LMNB1_16_28,2.0067891656626395,0.9406800746423388,5
C3N,710317318,C3N_710317318,NEK2_172_184,2.638401759682617,0.992616899097621,5
C3N,710317318,C3N_710317318,PPR1A_28_40,5.451366650082805,0.9994797939247959,5
C3N,710317318,C3N_710317318,ADRB2_338_350,8.334463037313135,0.9999498938036305,5
C3N,710317318,C3N_710317318,KCC2G_278_289,1.9725192635778934,0.9717879604672057,5
C3N,710317318,C3N_710317318,RYR1_4317_4329,7.454939409479697,0.9999729513260327,5
C3N,710317318,C3N_710317318,ACM4_456_468,3.232081477504882,0.9913815158298689,5
C3N,710317318,C3N_710317318,BAD_69_81,3.243623099387573,0.9968118349748823,5
C3N,710317318,C3N_710317318,KAPCG_192_206,2.8532801273617583,0.9920132548860485,5
C3N,710317318,C3N_710317318,MARCS_152_164,3.1577759187761965,0.9979437084615728,5
C3N,710317318,C3N_710317318,NEK3_158_170,1.7067077730735256,0.9736174365647364,5
C3N,710317318,C3N_710317318,PRKDC_2618_2630,2.148596492001801,0.9559459927297905,5
C3N,710317318,C3N_710317318,REL_260_272,7.121289146006066,0.9997291992070415,5
C3N,710317318,C3N_710317318,SCN7A_898_910,8.03342300153745,0.9999510761864713,5
C3N,710317318,C3N_710317318,ACM5_494_506,4.416737788268684,0.9994961273565406,5
C3N,710317318,C3N_710317318,BAD_93_105,5.396200857265988,0.9991143627262224,5
C3N,710317318,C3N_710317318,CSF1R_701_713,8.89773131873956,0.9999858239798046,5
C3N,710317318,C3N_710317318,GPR6_349_361,3.956828165858427,0.9984212853773584,5
C3N,710317318,C3N_710317318,KCNA2_442_454,5.697819969753012,0.9981997322482573,5
