Kinase,Z,method,AvgZ
JNK,-2.61,710317305>0.15,-2.3275
STE7,-2.5,710317305>0.15,-2.5525
PKCI,2.48,710317305>0.15,2.52
GSK,-2.27,710317305>0.15,-1.4875
NMO,-2.26,710317305>0.15,-1.8075
CK1,-2.22,710317305>0.15,-2.0875
CDK,-2.21,710317305>0.15,-1.7175
PDK1,-2.18,710317305>0.15,-1.3675000000000002
RAD53,2.06,710317305>0.15,1.865
PLK,-1.99,710317305>0.15,-1.775
PKCD,1.89,710317305>0.15,1.845
P38,-1.82,710317305>0.15,-1.5075
PAKA,1.75,710317305>0.15,1.345
BRSK,1.55,710317305>0.15,1.9775
WNK,1.53,710317305>0.15,0.010000000000000009
ERK,-1.51,710317305>0.15,-1.495
RIPK,-1.48,710317305>0.15,-1.2675
BUD32,1.48,710317305>0.15,0.5625
NDR,-1.47,710317305>0.15,-1.21
PASK,1.46,710317305>0.15,0.5700000000000001
PEK,-1.45,710317305>0.15,-1.4024999999999999
STE11,-1.44,710317305>0.15,-1.3675
BARK2,1.42,710317305>0.15,1.165
VRK1,1.4,710317305>0.15,0.024999999999999994
PHK,1.31,710317305>0.15,1.7025000000000001
AMPK,1.29,710317305>0.15,0.9550000000000001
CAMK1,-1.28,710317305>0.15,-0.9724999999999999
QIK,1.23,710317305>0.15,1.2175
GRK,-1.11,710317305>0.15,-1.2675
CK2,-1.1,710317305>0.15,-1.1475
TLK,-0.98,710317305>0.15,-0.7675
HAL,-0.97,710317305>0.15,-0.7775
STKR,-0.96,710317305>0.15,-1.0150000000000001
NAK,-0.95,710317305>0.15,-0.765
DYRK,-0.93,710317305>0.15,-0.8125
AUR,-0.91,710317305>0.15,-1.31
PRKDC,0.89,710317305>0.15,0.3825
ATM,0.84,710317305>0.15,0.7274999999999999
MLK,0.83,710317305>0.15,-0.2625
MAPKAPK,0.78,710317305>0.15,0.97
IRAK,-0.77,710317305>0.15,-0.2025
MARK,-0.77,710317305>0.15,-0.3125
PKD,0.73,710317305>0.15,1.175
PDHK,-0.7,710317305>0.15,-1.0225
ATR,0.69,710317305>0.15,0.024999999999999967
ULK,-0.69,710317305>0.15,-0.54
MELK,0.68,710317305>0.15,1.05
NIK,-0.68,710317305>0.15,-0.5425
MOS,-0.68,710317305>0.15,-0.5375
TAO,-0.67,710317305>0.15,-0.5475
KHS,-0.67,710317305>0.15,-0.535
CLK,-0.66,710317305>0.15,-0.54
CAMKK,-0.66,710317305>0.15,-0.53
DMPK,0.66,710317305>0.15,0.7975
SLK,-0.65,710317305>0.15,-0.54
