Kinase,Z,method,AvgZ
PKCI,3.22,710230321>0.15,2.158333333333333
PLK,-2.98,710230321>0.15,-2.2725
DYRK,-2.81,710230321>0.15,-2.18
JNK,-2.53,710230321>0.15,-2.546666666666667
ERK,-2.45,710230321>0.15,-2.399166666666667
NMO,-2.36,710230321>0.15,-2.1125
P38,-2.23,710230321>0.15,-2.5533333333333332
RSK,2.15,710230321>0.15,1.5866666666666667
PDK1,-2.06,710230321>0.15,-0.7983333333333333
MSN,1.96,710230321>0.15,1.5858333333333334
PKA,1.93,710230321>0.15,2.085
AKT,1.89,710230321>0.15,1.5741666666666667
DMPK,1.88,710230321>0.15,1.7366666666666666
PKCD,1.85,710230321>0.15,1.7291666666666667
PKG,1.7,710230321>0.15,1.6566666666666667
STE7,-1.69,710230321>0.15,-2.0766666666666667
BARK2,1.67,710230321>0.15,1.005
CK1,-1.63,710230321>0.15,-1.825
CDK,-1.62,710230321>0.15,-1.6216666666666666
TLK,-1.53,710230321>0.15,-1.375
NAK,-1.52,710230321>0.15,-1.38
PAKA,1.47,710230321>0.15,1.0566666666666666
AUR,1.4,710230321>0.15,1.1783333333333332
PKN,1.37,710230321>0.15,0.8208333333333334
HAL,1.35,710230321>0.15,0.945
STKR,-1.32,710230321>0.15,-1.9691666666666665
IRAK,-1.31,710230321>0.15,-0.9750000000000001
MLCK,1.26,710230321>0.15,1.0533333333333332
VRK1,1.26,710230321>0.15,0.4308333333333333
NDR,1.22,710230321>0.15,0.8008333333333333
ATM,-1.1,710230321>0.15,-0.7116666666666667
KHS,-1.06,710230321>0.15,-0.9725
BRSK,-1.06,710230321>0.15,0.25833333333333336
WNK,-1.05,710230321>0.15,-0.10500000000000004
SGK,1.05,710230321>0.15,0.7208333333333333
NIK,-1.05,710230321>0.15,-0.9633333333333334
ULK,-1.04,710230321>0.15,-0.9616666666666667
CHK1,-1.03,710230321>0.15,-1.0483333333333333
CAMKK,-1.03,710230321>0.15,-0.96
CLK,-1.03,710230321>0.15,-0.9641666666666667
TAO,0.98,710230321>0.15,1.1458333333333333
PRKDC,0.98,710230321>0.15,-0.2866666666666667
BUD32,0.97,710230321>0.15,0.6325
MOS,0.95,710230321>0.15,0.9175
MARK,-0.95,710230321>0.15,-0.31999999999999995
SLK,0.94,710230321>0.15,0.6016666666666667
PASK,0.94,710230321>0.15,0.7391666666666667
GSK,-0.94,710230321>0.15,-0.44583333333333336
CK2,-0.89,710230321>0.15,-0.9225
PKCH,0.86,710230321>0.15,1.305
IKK,-0.83,710230321>0.15,-0.5499999999999999
GRK,-0.79,710230321>0.15,-1.2058333333333333
MLK,0.77,710230321>0.15,0.4375000000000001
PKCA,0.72,710230321>0.15,0.5716666666666667
PIM,0.61,710230321>0.15,0.7425
RAF,0.58,710230321>0.15,-0.16
PKD,-0.57,710230321>0.15,-0.395
MELK,0.53,710230321>0.15,1.1608333333333334
LKB,-0.49,710230321>0.15,-0.8991666666666667
CAMK1,-0.48,710230321>0.15,-0.405
CAMK2,-0.43,710230321>0.15,-0.41583333333333333
MAPKAPK,0.43,710230321>0.15,0.6416666666666666
COT,0.36,710230321>0.15,0.8066666666666666
RIPK,-0.31,710230321>0.15,-0.21666666666666667
RAD53,0.29,710230321>0.15,0.5475
FRAY,0.27,710230321>0.15,0.5925
QIK,0.26,710230321>0.15,-0.02833333333333335
PDHK,-0.23,710230321>0.15,0.42333333333333334
DAPK,0.2,710230321>0.15,0.0025000000000000022
STE11,-0.18,710230321>0.15,-0.8333333333333334
AMPK,0.16,710230321>0.15,0.2783333333333333
NUAK,-0.1,710230321>0.15,-0.22583333333333339
MTOR,-0.07,710230321>0.15,-0.10583333333333335
ATR,0.07,710230321>0.15,-0.6266666666666667
PAKB,-0.07,710230321>0.15,0.1341666666666667
TTK,-0.06,710230321>0.15,-0.22666666666666666
MST,-0.05,710230321>0.15,0.035833333333333384
PHK,0.04,710230321>0.15,0.6325
PEK,0.02,710230321>0.15,0.12500000000000003
NEK,-0.02,710230321>0.15,-0.43166666666666664
DYRK,-3.51,710230321>0.2,-2.18
PKCI,3.24,710230321>0.2,2.158333333333333
ERK,-3.06,710230321>0.2,-2.399166666666667
JNK,-2.91,710230321>0.2,-2.546666666666667
DMPK,2.5,710230321>0.2,1.7366666666666666
MSN,2.33,710230321>0.2,1.5858333333333334
PKA,2.3,710230321>0.2,2.085
PAKA,2.2,710230321>0.2,1.0566666666666666
PKG,2.1,710230321>0.2,1.6566666666666667
P38,-2.02,710230321>0.2,-2.5533333333333332
PKCD,1.93,710230321>0.2,1.7291666666666667
STE7,-1.92,710230321>0.2,-2.0766666666666667
PLK,-1.9,710230321>0.2,-2.2725
PKCA,1.87,710230321>0.2,0.5716666666666667
RSK,1.85,710230321>0.2,1.5866666666666667
NMO,-1.82,710230321>0.2,-2.1125
CDK,-1.79,710230321>0.2,-1.6216666666666666
AKT,1.64,710230321>0.2,1.5741666666666667
PKN,1.57,710230321>0.2,0.8208333333333334
AUR,1.36,710230321>0.2,1.1783333333333332
TLK,-1.29,710230321>0.2,-1.375
MAPKAPK,1.28,710230321>0.2,0.6416666666666666
PHK,1.27,710230321>0.2,0.6325
NAK,-1.27,710230321>0.2,-1.38
PDK1,-1.25,710230321>0.2,-0.7983333333333333
MELK,1.16,710230321>0.2,1.1608333333333334
SLK,1.15,710230321>0.2,0.6016666666666667
CK1,-1.14,710230321>0.2,-1.825
LKB,-1.14,710230321>0.2,-0.8991666666666667
BUD32,1.14,710230321>0.2,0.6325
TAO,1.13,710230321>0.2,1.1458333333333333
MOS,1.13,710230321>0.2,0.9175
SGK,1.13,710230321>0.2,0.7208333333333333
PASK,1.1,710230321>0.2,0.7391666666666667
MLK,1.06,710230321>0.2,0.4375000000000001
GSK,-1.03,710230321>0.2,-0.44583333333333336
CHK1,-1.01,710230321>0.2,-1.0483333333333333
STE11,-0.97,710230321>0.2,-0.8333333333333334
PIM,0.94,710230321>0.2,0.7425
NIK,-0.88,710230321>0.2,-0.9633333333333334
WNK,-0.88,710230321>0.2,-0.10500000000000004
CLK,-0.88,710230321>0.2,-0.9641666666666667
KHS,-0.88,710230321>0.2,-0.9725
MST,-0.87,710230321>0.2,0.035833333333333384
BRSK,-0.87,710230321>0.2,0.25833333333333336
ULK,-0.86,710230321>0.2,-0.9616666666666667
PEK,0.85,710230321>0.2,0.12500000000000003
CAMKK,-0.84,710230321>0.2,-0.96
STKR,-0.84,710230321>0.2,-1.9691666666666665
CAMK2,-0.79,710230321>0.2,-0.41583333333333333
GRK,-0.78,710230321>0.2,-1.2058333333333333
BARK2,0.77,710230321>0.2,1.005
VRK1,0.77,710230321>0.2,0.4308333333333333
ATM,-0.74,710230321>0.2,-0.7116666666666667
COT,0.72,710230321>0.2,0.8066666666666666
NDR,0.71,710230321>0.2,0.8008333333333333
MLCK,0.71,710230321>0.2,1.0533333333333332
QIK,0.62,710230321>0.2,-0.02833333333333335
IRAK,-0.61,710230321>0.2,-0.9750000000000001
CAMK1,-0.61,710230321>0.2,-0.405
RAD53,0.58,710230321>0.2,0.5475
RIPK,0.53,710230321>0.2,-0.21666666666666667
FRAY,0.51,710230321>0.2,0.5925
MARK,-0.5,710230321>0.2,-0.31999999999999995
PKCH,0.47,710230321>0.2,1.305
PRKDC,0.43,710230321>0.2,-0.2866666666666667
ATR,-0.42,710230321>0.2,-0.6266666666666667
CK2,-0.39,710230321>0.2,-0.9225
DAPK,-0.26,710230321>0.2,0.0025000000000000022
HAL,0.22,710230321>0.2,0.945
NUAK,0.2,710230321>0.2,-0.22583333333333339
AMPK,0.18,710230321>0.2,0.2783333333333333
RAF,0.18,710230321>0.2,-0.16
IKK,0.18,710230321>0.2,-0.5499999999999999
TTK,0.17,710230321>0.2,-0.22666666666666666
PAKB,0.15,710230321>0.2,0.1341666666666667
NEK,-0.11,710230321>0.2,-0.43166666666666664
PDHK,-0.07,710230321>0.2,0.42333333333333334
MTOR,-0.02,710230321>0.2,-0.10583333333333335
PKD,-0.01,710230321>0.2,-0.395
DYRK,-2.06,710230321>0.3,-2.18
MSN,2.04,710230321>0.3,1.5858333333333334
BUD32,1.64,710230321>0.3,0.6325
PRKDC,-1.61,710230321>0.3,-0.2866666666666667
MLCK,1.6,710230321>0.3,1.0533333333333332
COT,1.6,710230321>0.3,0.8066666666666666
SLK,1.58,710230321>0.3,0.6016666666666667
TAO,1.56,710230321>0.3,1.1458333333333333
AKT,1.53,710230321>0.3,1.5741666666666667
MOS,1.51,710230321>0.3,0.9175
LKB,-1.46,710230321>0.3,-0.8991666666666667
ERK,-1.39,710230321>0.3,-2.399166666666667
STE7,-1.35,710230321>0.3,-2.0766666666666667
RSK,1.35,710230321>0.3,1.5866666666666667
SGK,1.21,710230321>0.3,0.7208333333333333
MLK,-1.18,710230321>0.3,0.4375000000000001
QIK,-1.17,710230321>0.3,-0.02833333333333335
DMPK,1.14,710230321>0.3,1.7366666666666666
CHK1,-1.13,710230321>0.3,-1.0483333333333333
BARK2,-1.12,710230321>0.3,1.005
ATR,-1.09,710230321>0.3,-0.6266666666666667
MTOR,-1.03,710230321>0.3,-0.10583333333333335
JNK,-1.01,710230321>0.3,-2.546666666666667
CAMK1,-0.99,710230321>0.3,-0.405
PEK,0.99,710230321>0.3,0.12500000000000003
PKG,0.97,710230321>0.3,1.6566666666666667
PKCA,0.94,710230321>0.3,0.5716666666666667
GRK,-0.93,710230321>0.3,-1.2058333333333333
PDHK,0.91,710230321>0.3,0.42333333333333334
NAK,-0.91,710230321>0.3,-1.38
HAL,-0.9,710230321>0.3,0.945
TLK,-0.88,710230321>0.3,-1.375
STKR,-0.86,710230321>0.3,-1.9691666666666665
PLK,-0.84,710230321>0.3,-2.2725
NMO,-0.76,710230321>0.3,-2.1125
PKA,0.73,710230321>0.3,2.085
NUAK,0.72,710230321>0.3,-0.22583333333333339
P38,-0.69,710230321>0.3,-2.5533333333333332
PAKB,0.67,710230321>0.3,0.1341666666666667
PKN,0.67,710230321>0.3,0.8208333333333334
TTK,0.66,710230321>0.3,-0.22666666666666666
KHS,-0.64,710230321>0.3,-0.9725
BRSK,-0.64,710230321>0.3,0.25833333333333336
NIK,-0.64,710230321>0.3,-0.9633333333333334
ULK,-0.63,710230321>0.3,-0.9616666666666667
CLK,-0.63,710230321>0.3,-0.9641666666666667
PASK,-0.62,710230321>0.3,0.7391666666666667
RAF,0.62,710230321>0.3,-0.16
WNK,-0.62,710230321>0.3,-0.10500000000000004
CAMKK,-0.62,710230321>0.3,-0.96
AMPK,0.61,710230321>0.3,0.2783333333333333
PKCI,0.6,710230321>0.3,2.158333333333333
VRK1,0.58,710230321>0.3,0.4308333333333333
MST,-0.57,710230321>0.3,0.035833333333333384
CDK,-0.56,710230321>0.3,-1.6216666666666666
NDR,0.56,710230321>0.3,0.8008333333333333
NEK,-0.51,710230321>0.3,-0.43166666666666664
PKD,-0.49,710230321>0.3,-0.395
MELK,0.47,710230321>0.3,1.1608333333333334
MAPKAPK,0.44,710230321>0.3,0.6416666666666666
PIM,0.31,710230321>0.3,0.7425
PKCH,-0.3,710230321>0.3,1.305
MARK,0.29,710230321>0.3,-0.31999999999999995
CK1,-0.26,710230321>0.3,-1.825
PHK,0.25,710230321>0.3,0.6325
CK2,-0.23,710230321>0.3,-0.9225
PKCD,0.23,710230321>0.3,1.7291666666666667
PAKA,-0.2,710230321>0.3,1.0566666666666666
FRAY,0.17,710230321>0.3,0.5925
ATM,-0.16,710230321>0.3,-0.7116666666666667
IKK,-0.15,710230321>0.3,-0.5499999999999999
RAD53,-0.15,710230321>0.3,0.5475
RIPK,0.13,710230321>0.3,-0.21666666666666667
STE11,0.13,710230321>0.3,-0.8333333333333334
CAMK2,0.13,710230321>0.3,-0.41583333333333333
AUR,-0.11,710230321>0.3,1.1783333333333332
DAPK,0.1,710230321>0.3,0.0025000000000000022
PDK1,0.07,710230321>0.3,-0.7983333333333333
IRAK,0.01,710230321>0.3,-0.9750000000000001
GSK,0,710230321>0.3,-0.44583333333333336
BUD32,2.17,710230321>0.4,0.6325
TAO,2.16,710230321>0.4,1.1458333333333333
CDK,-1.9,710230321>0.4,-1.6216666666666666
MSN,1.74,710230321>0.4,1.5858333333333334
CAMK1,-1.63,710230321>0.4,-0.405
VRK1,1.49,710230321>0.4,0.4308333333333333
PDK1,1.47,710230321>0.4,-0.7983333333333333
MLCK,1.4,710230321>0.4,1.0533333333333332
CAMK2,-1.31,710230321>0.4,-0.41583333333333333
TTK,1.3,710230321>0.4,-0.22666666666666666
STKR,-1.26,710230321>0.4,-1.9691666666666665
IRAK,1.24,710230321>0.4,-0.9750000000000001
PAKB,1.24,710230321>0.4,0.1341666666666667
NUAK,1.2,710230321>0.4,-0.22583333333333339
PKD,-1.14,710230321>0.4,-0.395
MARK,-1.13,710230321>0.4,-0.31999999999999995
AKT,1.1,710230321>0.4,1.5741666666666667
JNK,-1,710230321>0.4,-2.546666666666667
DYRK,-0.99,710230321>0.4,-2.18
CHK1,-0.97,710230321>0.4,-1.0483333333333333
AUR,0.95,710230321>0.4,1.1783333333333332
QIK,-0.94,710230321>0.4,-0.02833333333333335
IKK,0.93,710230321>0.4,-0.5499999999999999
ERK,-0.92,710230321>0.4,-2.399166666666667
PRKDC,-0.81,710230321>0.4,-0.2866666666666667
GRK,-0.81,710230321>0.4,-1.2058333333333333
BARK2,-0.79,710230321>0.4,1.005
RIPK,-0.75,710230321>0.4,-0.21666666666666667
DMPK,0.74,710230321>0.4,1.7366666666666666
NMO,-0.72,710230321>0.4,-2.1125
PHK,-0.72,710230321>0.4,0.6325
LKB,-0.72,710230321>0.4,-0.8991666666666667
PEK,0.72,710230321>0.4,0.12500000000000003
MELK,0.7,710230321>0.4,1.1608333333333334
PKN,-0.66,710230321>0.4,0.8208333333333334
TLK,-0.65,710230321>0.4,-1.375
HAL,-0.64,710230321>0.4,0.945
