Kinase,Total_Rank
Akt1/PKB[alpha],1.4736842105263157
PKG1,1.5263157894736843
Akt2/PKB[beta],1.6842105263157894
AMPK[alpha]1,1.8421052631578947
PKG2,1.8421052631578947
Pim1,1.894736842105263
PKA[alpha],1.894736842105263
RSK3,1.894736842105263
PKC[delta],1.9473684210526316
CaMK4,2
Pim3,2
PKC[eta],2
HGK/ZC1,2.0526315789473686
p70S6K[beta],2.0526315789473686
Pim2,2.0526315789473686
PKC[beta],2.0526315789473686
PKC[zeta],2.0526315789473686
PRKX,2.0526315789473686
AurA/Aur2,2.1052631578947367
PKC[alpha],2.1052631578947367
PKC[theta],2.1052631578947367
PKC[epsilon],2.1578947368421053
PAK1,2.210526315789474
PKC[iota],2.210526315789474
ROCK2,2.210526315789474
RSK1/p90RSK,2.210526315789474
ADCK3,2.263157894736842
CDK10,2.263157894736842
DAPK3,2.3157894736842106
IKK[beta],2.3157894736842106
NuaK1,2.3157894736842106
PCTAIRE2,2.3157894736842106
CDK6,2.3684210526315788
CHK2,2.3684210526315788
CK1[epsilon],2.3684210526315788
mTOR/FRAP,2.3684210526315788
RAF1,2.4210526315789473
PKC[gamma],2.473684210526316
SGK2,2.473684210526316
CDK4,2.526315789473684
MSK1,2.526315789473684
p38[delta],2.526315789473684
AurB/Aur1,2.5789473684210527
JNK1,2.5789473684210527
JNK3,2.5789473684210527
MAPKAPK2,2.5789473684210527
PKD1,2.5789473684210527
RSK2,2.5789473684210527
ARAF,2.6315789473684212
BRAF,2.6315789473684212
PRKY,2.6315789473684212
ANP[alpha],2.6842105263157894
CDK11,2.6842105263157894
CDK7,2.6842105263157894
CDK9,2.6842105263157894
MAPKAPK3,2.6842105263157894
PKN1/PRK1,2.6842105263157894
TBK1,2.6842105263157894
ERK1,2.736842105263158
IKK[epsilon],2.736842105263158
JNK2,2.736842105263158
ATR,2.789473684210526
CDK2,2.789473684210526
CDK3,2.789473684210526
CHK1,2.789473684210526
p70S6K,2.789473684210526
PFTAIRE2,2.789473684210526
CDKL1,2.8421052631578947
ERK2,2.8421052631578947
MAPK14,2.8421052631578947
ERK5,2.8947368421052633
p38[gamma],2.8947368421052633
ROCK1,2.9473684210526314
CDKL2,3
p38[beta],3.0526315789473686
CDKL5,3.210526315789474
CDC2/CDK1,3.263157894736842
CDK5,3.263157894736842
CK1[alpha],3.263157894736842
COT,3.3157894736842106
RSKL2,12.473684210526315
RSKL1,12.894736842105264
TNIK/ZC2,13.263157894736842
SgK307,13.31578947368421
CK2[alpha]1,22.36842105263158
SGK1,22.94736842105263
DAPK1,23
DAPK2,23.05263157894737
GSK3[beta],23.105263157894736
DYRK1A,23.157894736842106
GSK3[alpha],23.57894736842105
ERK7,23.63157894736842
AlphaK1,28.31578947368421
CaMK2[alpha],33.21052631578947
DCAMKL1,38.526315789473685
CK1[delta],43.526315789473685
ICK,49
PDHK1,59
PFTAIRE1,63.89473684210526
PDK1,69
MSK2,69.3157894736842
CDKL3,69.36842105263158
