Source,Target,Similarity,SourceSignature,SourceCellLine,SourceTime,TargetSignature,TargetCellLine,TargetConcentration,TargetTime
MAPK11,Nemonapride,-0.51803704,LINCSKD_31604,VCAP,120 h,LINCSCP_125111,HT29,3.33uM,24h
MAPK11,Lenalidomide,-0.51590656,LINCSKD_31604,VCAP,120 h,LINCSCP_153358,PC3,0.12uM,24h
MAPK11,"Trichostatin A, Streptomyces Sp.",-0.51382756,LINCSKD_31604,VCAP,120 h,LINCSCP_37747,MCF7,10uM,6h
MAPK11,Avrainvillamide Analog 3,-0.50932846,LINCSKD_31604,VCAP,120 h,LINCSCP_3843,A375,3.33uM,24h
MAPK11,Purmorphamine,-0.50901616,LINCSKD_31604,VCAP,120 h,LINCSCP_43794,OV7,40uM,6h
MAPK11,Estriol,-0.50864909,LINCSKD_31604,VCAP,120 h,LINCSCP_213204,HA1E,0.37uM,24h
MAPK11,Tyrphostin 25,-0.50827063,LINCSKD_31604,VCAP,120 h,LINCSCP_7143,A549,10uM,6h
MAPK11,CHEMBL1673039,-0.50805409,LINCSKD_31604,VCAP,120 h,LINCSCP_256256,MDAMB231,1uM,6h
MAPK11,Carbamazepine,-0.50381658,LINCSKD_31604,VCAP,120 h,LINCSCP_288482,TYKNU,100uM,6h
MAPK11,CHEMBL1868923,-0.50292202,LINCSKD_31604,VCAP,120 h,LINCSCP_23175,HEPG2,10uM,6h
MAPK11,DASA-58,-0.50267246,LINCSKD_31604,VCAP,120 h,LINCSCP_41901,NOMO1,90uM,6h
MAPK11,Rigosertib,-0.49979882,LINCSKD_31604,VCAP,120 h,LINCSCP_134151,MCF7,10uM,24h
MAPK11,Zaurategrast,-0.49851484,LINCSKD_31604,VCAP,120 h,LINCSCP_122938,HT29,10uM,24h
MAPK11,SA-1973507,-0.49679898,LINCSKD_31604,VCAP,120 h,LINCSCP_63592,VCAP,5uM,6h
MAPK11,ITK Inhibitor,-0.49678629,LINCSKD_31604,VCAP,120 h,LINCSCP_46898,PC3,10uM,6h
