Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
STK38L,Q9Y2H1,AGC,NDR,NA,1.2912245799683528,1.3565473235138126,1.3979400086720375,-0.3818995006603257,-0.39698644252082704,0.026131349833226077,NA,6
CAMK2D,Q13557,CAMK,CAMK2,NA,1.2898415790109643,1.1426675035687315,1.853871964321762,-0.4199094570531167,-0.4057062424950464,0.030930137119242314,NA,5
PIM1,P11309,CAMK,PIM,NA,0.858753379163359,1.0457574905606752,1.2218487496163564,-0.27878740963221454,-0.27247234551920696,0.008807284447479498,NA,46
PRKG1,Q13976,AGC,PKG,NA,1.0472490406284756,1.0177287669604316,1.5528419686577808,-0.2975027589573621,-0.2984608208327256,0.013991935180399165,NA,27
SGK3,Q96BR1,AGC,SGK,NA,0.9147632594309381,0.9665762445130504,1.1079053973095196,-0.3135388728723075,-0.3318569213832316,0.02784560431837797,NA,10
CAMK4,Q16566,CAMK,CAMK1,NA,0.9057345936565001,0.8927900303521317,1.2839966563652008,-0.35482051549583615,-0.3356143919150324,0.024560651786999392,NA,8
PRKCA,P17252,AGC,PKC,NA,0.8272661226101786,0.8239087409443188,1.0757207139381184,-0.2944142416754968,-0.29953356181806307,0.009486434076900785,NA,18
RPS6KB1,P23443,AGC,RSK,NA,0.89575676803702875,0.8068754016455384,1.1426675035687315,-0.31868493542378135,-0.3125682659166817,0.013232774151473801,NA,15
PRKX,P51817,AGC,PKA,NA,0.7718355256229238,0.8013429130455774,0.9136401693252518,-0.28978654140106364,-0.2908973097246032,0.0059948565851701665,NA,23
PRKCG,P05129,AGC,PKC,NA,0.7776363186781251,0.790484985457369,0.9281179926938746,-0.31182389272559824,-0.3103502326320508,0.007441293573069087,NA,11
DCLK2,Q8N568,CAMK,DCAMKL,NA,0.8233761405167745,0.7585632081956231,1.0655015487564323,-0.3276186098131695,-0.33346978167057256,0.014081189877003538,NA,7
AURKA,O14965,CAMK,AUR,NA,0.7393113841451904,0.7399286120149252,0.7958800173440752,-0.34927121200889266,-0.34927121200889266,0,NA,4
NPR2,P20594,RGC,RGC,NA,0.7271201125836916,0.7033348097384688,0.8124792791635369,-0.34407576078512353,-0.35455972836648025,0.018158764515814843,NA,4
PRKACB,P22694,AGC,PKA,NA,0.7861234855525265,0.7033348097384688,1.193820026016113,-0.3033316552494695,-0.29791320136330524,0.01401262449895465,NA,17
PRKCI,P41743,AGC,PKC,NA,0.6124596860586269,0.6536470255493614,0.7746907182741372,-0.2996647483165049,-0.29402962172623065,0.012357431365323617,NA,12
MAPKAPK3,Q16644,CAMK,MAPKAPK,NA,0.5321065069763512,0.645891560852599,0.8124792791635369,-0.27921863255075047,-0.27141098625801147,0.022039252075851147,NA,19
SGK2,Q9HBY8,AGC,SGK,NA,0.6687295749873073,0.6307841425898572,0.9665762445130504,-0.3103258635298271,-0.309065915657497,0.01299018046112695,NA,9
CDK18,Q07002,CMGC,CDK,NA,0.5917600346881504,0.5917600346881504,0.5917600346881504,-0.3335886965941948,-0.3335886965941948,NA,NA,3
PRKCB,P05771,AGC,PKC,NA,0.5920383434049717,0.5816987086802545,0.707743928643524,-0.2844720250162452,-0.2840648379946905,0.00391531309516254,NA,19
CAMK2G,Q13555,CAMK,CAMK2,NA,0.6652105715120424,0.5767819573257329,0.9665762445130504,-0.30776644609867143,-0.3302842884600878,0.03490839242262742,NA,4
PRKCQ,Q04759,AGC,PKC,NA,0.6563619839178216,0.575118363368933,0.8538719643217619,-0.2862877841367834,-0.2900842607178903,0.00880880091656168,NA,17
RPS6KB2,Q9UBS0,AGC,RSK,NA,0.540643398036963,0.5718652059712112,0.8416375079047503,-0.2871523635275734,-0.2645772829456918,0.03795193256582464,NA,16
PSKH1,P11801,CAMK,PSK,NA,0.5484332928655968,0.5484332928655968,0.562249437179612,-0.31994265186677157,-0.31994265186677157,0,NA,3
AKT2,P31751,AGC,AKT,NA,0.5874380970685035,0.5316526695878427,0.8181564120552275,-0.27908209415338175,-0.2810236305123948,0.00935871133366255,NA,20
SGK1,O00141,AGC,SGK,NA,0.5018102989600892,0.5199930570428494,0.6270879970298935,-0.2829199693847476,-0.28237553787320885,0.006839229124390817,NA,13
CAMK2A,Q9UQM7,CAMK,CAMK2,NA,0.6030647850974643,0.5155718126926538,0.958607314841775,-0.30430576312526136,-0.3184252433116344,0.0339553337621815,NA,4
CAMK2B,Q13554,CAMK,CAMK2,NA,0.4682314040054489,0.4814860601221125,0.6819366650372385,-0.3162877181076615,-0.3034211196308333,0.024619958612166787,NA,4
PRKCH,P24723,AGC,PKC,NA,0.45721467758795137,0.46852108295774486,0.5376020021010439,-0.27873863822496375,-0.28007770601209936,0.013183153514837204,NA,11
PRKCD,Q05655,AGC,PKC,NA,0.43905356969422177,0.4509967379742122,0.46597389394386496,-0.2730514016859327,-0.2725871502056951,0.0026060218588081665,NA,17
RPS6KA1,Q15418,AGC-CAMK,RSK,NA,0.46092698332721316,0.44855000202712486,0.7351821769904635,-0.28137721596196136,-0.27450009900680755,0.03086486863745711,NA,15
PRKCZ,Q05513,AGC,PKC,NA,0.38173814621975166,0.42481215507233894,0.46597389394386496,-0.2804112452026442,-0.2706178358338934,0.019433194257873508,NA,8
MAPK13,O15264,CMGC,MAPK,NA,0.3822245795883704,0.4225082001627747,0.5346171485515817,-0.2735907862080358,-0.2663684355844815,0.028010375862954632,NA,9
CDKL1,Q00532,CMGC,CDKL,NA,0.4658591222270442,0.41793663708829126,0.9746941347352298,-0.27541833943550775,-0.28807130579849816,0.06879616524612071,NA,5
PRKY,O43930,AGC,PKA,NA,0.41928816922427653,0.41779382794761555,0.5654310959658012,-0.2664180472295262,-0.28060993393913986,0.03276854449951808,NA,8
CDK17,Q00537,CMGC,CDK,NA,0.41341269532824504,0.41341269532824504,0.41341269532824504,-0.29285738869069,-0.29285738869069,NA,NA,3
PAK1,Q13153,STE,STE20,NA,0.4185358412085686,0.41341269532824504,0.44611697335612566,-0.28187977547461446,-0.28187977547461446,0,NA,6
MAPK1,P28482,CMGC,MAPK,NA,0.44794229491938975,0.4089353929735008,0.6695862266508091,-0.2684887168448876,-0.2751756485009541,0.012771440786388111,NA,11
MAPK9,P45984,CMGC,MAPK,NA,0.34490240470736167,0.3788237182249648,0.4412914294668343,-0.26799645875817807,-0.25844428747153475,0.026697961341013328,NA,11
