krsa_id,hgnc_symbol,SourceSignature,SourceCellLine,SourceTime
ERK,MAPK15,LINCSOE_9450,HEK293T,48 h
ERK,MAPK4,LINCSOE_9364,HEK293T,48 h
ERK,MAPK7,LINCSOE_9365,HEK293T,48 h
ERK,MAPK7,LINCSOE_9451,HEK293T,48 h
JNK,MAPK8,LINCSOE_11655,HEPG2,96 h
JNK,MAPK8,LINCSOE_8079,HCC515,96 h
JNK,MAPK8,LINCSOE_926,A375,96 h
JNK,MAPK9,LINCSOE_11877,HEPG2,96 h
P38,MAPK12,LINCSOE_11349,HEPG2,96 h
P38,MAPK12,LINCSOE_3816,A549,96 h
P38,MAPK13,LINCSOE_11377,HEPG2,96 h
P38,MAPK13,LINCSOE_21053,VCAP,96 h
P38,MAPK13,LINCSOE_5642,HA1E,96 h
P38,MAPK14,LINCSOE_14658,HT29,96 h
