krsa_id,hgnc_symbol,SourceSignature,SourceCellLine,SourceTime
ERK,MAPK1,LINCSKD_14360,HEKTE,96 h
ERK,MAPK1,LINCSKD_16170,HEPG2,96 h
ERK,MAPK1,LINCSKD_1823,A375,96 h
ERK,MAPK1,LINCSKD_19491,HT29,96 h
ERK,MAPK1,LINCSKD_29834,SW480,96 h
ERK,MAPK1,LINCSKD_31608,VCAP,120 h
ERK,MAPK1,LINCSKD_34394,MCF7,144 h
ERK,MAPK1,LINCSKD_35220,MCF7,96 h
ERK,MAPK1,LINCSKD_36002,PC3,144 h
ERK,MAPK1,LINCSKD_36756,PC3,96 h
ERK,MAPK1,LINCSKD_5418,A549,96 h
ERK,MAPK1,LINCSKD_9863,HA1E,96 h
ERK,MAPK15,LINCSKD_37185,VCAP,120 h
ERK,MAPK15,LINCSKD_37273,VCAP,168 h
ERK,MAPK3,LINCSKD_14361,HEKTE,96 h
ERK,MAPK3,LINCSKD_16175,HEPG2,96 h
ERK,MAPK3,LINCSKD_1828,A375,96 h
ERK,MAPK3,LINCSKD_19496,HT29,96 h
ERK,MAPK3,LINCSKD_31610,VCAP,120 h
ERK,MAPK3,LINCSKD_35221,MCF7,96 h
ERK,MAPK3,LINCSKD_36004,PC3,144 h
ERK,MAPK3,LINCSKD_36757,PC3,96 h
ERK,MAPK3,LINCSKD_9868,HA1E,96 h
ERK,MAPK4,LINCSKD_31611,VCAP,120 h
ERK,MAPK6,LINCSKD_31612,VCAP,120 h
ERK,MAPK7,LINCSKD_14362,HEKTE,96 h
ERK,MAPK7,LINCSKD_1829,A375,96 h
ERK,MAPK7,LINCSKD_27875,PC3,96 h
ERK,MAPK7,LINCSKD_29835,SW480,96 h
ERK,MAPK7,LINCSKD_31613,VCAP,120 h
JNK,MAPK10,LINCSKD_31603,VCAP,120 h
JNK,MAPK8,LINCSKD_12900,HCC515,96 h
JNK,MAPK8,LINCSKD_14363,HEKTE,96 h
JNK,MAPK8,LINCSKD_16176,HEPG2,96 h
JNK,MAPK8,LINCSKD_1830,A375,96 h
JNK,MAPK8,LINCSKD_19497,HT29,96 h
JNK,MAPK8,LINCSKD_23349,MCF7,96 h
JNK,MAPK8,LINCSKD_27876,PC3,96 h
JNK,MAPK8,LINCSKD_29836,SW480,96 h
JNK,MAPK8,LINCSKD_31614,VCAP,120 h
JNK,MAPK8,LINCSKD_34396,MCF7,144 h
JNK,MAPK8,LINCSKD_36005,PC3,144 h
JNK,MAPK8,LINCSKD_5423,A549,96 h
JNK,MAPK8,LINCSKD_9869,HA1E,96 h
JNK,MAPK9,LINCSKD_12901,HCC515,96 h
JNK,MAPK9,LINCSKD_14148,HEK293T,96 h
JNK,MAPK9,LINCSKD_14364,HEKTE,96 h
JNK,MAPK9,LINCSKD_16177,HEPG2,96 h
JNK,MAPK9,LINCSKD_1831,A375,96 h
JNK,MAPK9,LINCSKD_19498,HT29,96 h
JNK,MAPK9,LINCSKD_21675,MCF7,144 h
JNK,MAPK9,LINCSKD_23350,MCF7,96 h
JNK,MAPK9,LINCSKD_25114,NPC,96 h
JNK,MAPK9,LINCSKD_26140,PC3,144 h
JNK,MAPK9,LINCSKD_27877,PC3,96 h
JNK,MAPK9,LINCSKD_29837,SW480,96 h
JNK,MAPK9,LINCSKD_31615,VCAP,120 h
JNK,MAPK9,LINCSKD_5424,A549,96 h
JNK,MAPK9,LINCSKD_9870,HA1E,96 h
P38,MAPK11,LINCSKD_31604,VCAP,120 h
P38,MAPK12,LINCSKD_12897,HCC515,96 h
P38,MAPK12,LINCSKD_16171,HEPG2,96 h
P38,MAPK12,LINCSKD_1824,A375,96 h
P38,MAPK12,LINCSKD_19492,HT29,96 h
P38,MAPK12,LINCSKD_23345,MCF7,96 h
P38,MAPK12,LINCSKD_27872,PC3,96 h
P38,MAPK12,LINCSKD_31605,VCAP,120 h
P38,MAPK12,LINCSKD_5419,A549,96 h
P38,MAPK12,LINCSKD_9864,HA1E,96 h
P38,MAPK13,LINCSKD_12898,HCC515,96 h
P38,MAPK13,LINCSKD_16172,HEPG2,96 h
P38,MAPK13,LINCSKD_1825,A375,96 h
P38,MAPK13,LINCSKD_19493,HT29,96 h
P38,MAPK13,LINCSKD_21673,MCF7,144 h
P38,MAPK13,LINCSKD_23346,MCF7,96 h
P38,MAPK13,LINCSKD_25112,NPC,96 h
P38,MAPK13,LINCSKD_26139,PC3,144 h
P38,MAPK13,LINCSKD_27873,PC3,96 h
P38,MAPK13,LINCSKD_29544,SKL,96 h
P38,MAPK13,LINCSKD_31606,VCAP,120 h
P38,MAPK13,LINCSKD_5420,A549,96 h
P38,MAPK13,LINCSKD_7669,ASC,96 h
P38,MAPK13,LINCSKD_9865,HA1E,96 h
P38,MAPK14,LINCSKD_12899,HCC515,96 h
P38,MAPK14,LINCSKD_14359,HEKTE,96 h
P38,MAPK14,LINCSKD_16173,HEPG2,96 h
P38,MAPK14,LINCSKD_1826,A375,96 h
P38,MAPK14,LINCSKD_19494,HT29,96 h
P38,MAPK14,LINCSKD_23347,MCF7,96 h
P38,MAPK14,LINCSKD_27874,PC3,96 h
P38,MAPK14,LINCSKD_29833,SW480,96 h
P38,MAPK14,LINCSKD_31607,VCAP,120 h
P38,MAPK14,LINCSKD_34395,MCF7,144 h
P38,MAPK14,LINCSKD_36003,PC3,144 h
P38,MAPK14,LINCSKD_5421,A549,96 h
P38,MAPK14,LINCSKD_9866,HA1E,96 h
