"","X","Group","Peptide"
"1",6,"AKT1","RS6_228_240"
"2",7,"AKT1","CENPA_1_14"
"3",10,"AKT1","PPR1A_28_40"
"4",11,"AKT1","RYR1_4317_4329"
"5",14,"AKT1","CSF1R_701_713"
"6",22,"AKT1","STK6_283_295"
"7",26,"AKT1","ADDB_706_718"
"8",29,"AKT1","KIF2C_105_118_S106G"
"9",31,"AKT1","ERBB2_679_691"
"10",32,"AKT1","H32_3_18"
"11",33,"AKT1","TOP2A_1463_1475"
"12",40,"AKT1","GBRB2_427_439"
