Kinase	Observed	SamplingAvg	SD	Z
PKN	2	0.318	0.5029935399690788	3.343979328449029
PAKA	10	5.149	1.8213889559521415	2.663352044684004
PKCD	5	1.9925	1.2550822147105907	2.396257364457594
MTOR	0	3.9015	1.6456463246739734	-2.3708010290564374
CK1	2	6.42	1.980545702739606	-2.231708156941796
JNK	3	7.503	2.0288048266189276	-2.2195333631497727
PKA	14	9.362	2.098846964237661	2.2097847432552595
DMPK	20	16.1345	1.9102969316793639	2.023507411804193
P38	4	8.1405	2.1113949759275705	-1.961025789682487
PKCH	5	2.486	1.3717670620175344	1.8326726669632376
PKG	11	7.5245	2.0834034738901415	1.6681838364752888
RAF	1	3.711	1.63181200056949	-1.6613433404423312
CHK1	0	2.042	1.2457977388015284	-1.6391103759462808
CAMK1	1	3.3045	1.5394689773964862	-1.4969447477254891
PHK	18	15.1575	2.047874665433083	1.3880243981625064
STE11	3	1.551	1.1140105519046386	1.3007058124562874
CDK	13	15.543	1.9641995927145515	-1.2946749451696695
CAMK2	1	2.681	1.4269748170743177	-1.1780165843756811
STKR	0	1.08	0.9534435102635246	-1.1327362223080173
MARK	0	0.931	0.8600051188232551	-1.0825516960572132
ERK	7	9.121	2.0665174199903475	-1.0263644426524638
RIPK	4	5.945	1.9146299652810137	-1.015862090988704
NDR	0	0.775	0.7846546000761803	-0.9876957325232747
VRK1	0	0.779	0.7977952360219441	-0.9764410275051741
COT	0	0.7905	0.8251970825884907	-0.9579529747249562
ATM	0	0.62	0.7055841016223587	-0.8787046059774106
MSN	0	0.631	0.7204849403524249	-0.8757990134968631
NEK	2	3.3265	1.5349513959386294	-0.8641967449326559
GSK	2	3.235	1.534585441165828	-0.8047776076005045
MELK	3	4.395	1.7462816925899836	-0.7988401905141757
MAPKAPK	6	7.596	2.0064388598831573	-0.7954391394178546
BARK2	1	0.4955	0.6459011876224459	0.7810792264635061
PRKDC	1	1.862	1.1856048369565246	-0.7270550634836935
GRK	1	1.8465	1.2106488282291634	-0.6992118443117729
DYRK	7	8.438	2.1038938149517663	-0.6834945707718467
PKD	8	6.697	2.0050439148682693	0.6498610780231248
NMO	1	1.727	1.1619578619883417	-0.6256681277201894
LKB	1	1.735	1.181724687318628	-0.6219722816045581
PLK	6	7.229	1.9986386061864885	-0.614918573170664
NAK	0	0.302	0.49388051083181017	-0.6114839386785306
HAL	0	0.3165	0.5181331691664752	-0.6108468224668109
NUAK	0	0.3085	0.5074016931772297	-0.6079995477907174
TLK	0	0.3215	0.5294127774661963	-0.6072766160626492
PAKB	0	0.295	0.48794881598740636	-0.6045716073786185
TTK	0	0.303	0.5042996719010828	-0.6008332285003603
MLK	2	2.7665	1.3834502945023646	-0.554049540519065
MST	3	3.8685	1.6524445638260483	-0.5255849539600207
QIK	10	11.1255	2.204127682195319	-0.5106328499440643
STE7	7	7.9615	2.053077035246444	-0.4683214431282093
RSK	14	13.0195	2.1446257155340334	0.45718933280432333
ULK	0	0.1665	0.3726220250962004	-0.4468334902023423
BUD32	0	0.163	0.36945804853164643	-0.44118676165756343
PEK	16	15.1265	2.0145786193412145	0.4335894323576423
KHS	0	0.1575	0.36436263538545294	-0.4322616665492703
TAO	0	0.156	0.3629460909452893	-0.42981589798556485
PIM	12	11.075	2.1560842631202606	0.4290184831001694
SLK	0	0.155	0.3619951936975546	-0.4281824805925512
NIK	0	0.154	0.36103902086518797	-0.4265466919086943
WNK	0	0.154	0.36103902086518797	-0.4265466919086943
CLK	0	0.153	0.3600775304208206	-0.42490849073861886
CAMKK	0	0.151	0.3581384251456173	-0.42162468307779083
MOS	0	0.1505	0.3576502577287296	-0.42080215726882314
BRSK	0	0.149	0.35617752766788613	-0.41833071551592504
PASK	0	0.149	0.35617752766788613	-0.41833071551592504
AKT	7	6.223	1.9968136198243838	0.3891199420346181
MLCK	1	0.7445	0.8022103968164338	0.3184949995835879
PKCI	2	1.675	1.1366710212305287	0.28592265829752916
AUR	2	1.707	1.1652595912317043	0.25144611741860257
CK2	1	1.2355	1.0186061698539983	-0.23119828543131188
DAPK	4	3.7305	1.5953502189677915	0.16892842511681805
IRAK	2	2.209	1.2763751669408927	-0.16374495948625628
AMPK	4	3.7665	1.6383894256113158	0.14251800966847444
PDHK	10	9.7025	2.1969084991134107	0.13541756523772347
PKCA	19	18.8615	1.496809262726715	0.09253015961946756
FRAY	3	3.1245	1.472441439207668	-0.0845534475496657
RAD53	5	5.147	1.7935995929275506	-0.08195809175004538
PDK1	10	9.886	2.213018916856153	0.051513341856991815
SGK	4	4.081	1.6609691174746755	-0.0487667104389949
ATR	2	2.0475	1.2747769523093322	-0.0372614204500253
IKK	9	9.0445	2.16098465458195	-0.020592464599711837
