Kinase	Observed	SamplingAvg	SD	Z
PLK	5	12.0375	2.5564352975804723	-2.7528566855029
JNK	6	12.6205	2.4997207948140954	-2.6484957895037105
CK1	5	10.8075	2.3618282889391464	-2.4589001779670157
PAKB	2	0.5385	0.6210560403881854	2.3532497954395595
CDK	21	26.278	2.354248764175488	-2.2419041183392
PIM	24	18.6715	2.5686351810536805	2.0744479555925857
FRAY	9	5.281	1.7982368664650263	2.068136889725106
RAD53	13	8.6735	2.2289867520850106	1.9410164712522222
P38	9	13.639	2.5149237405357554	-1.844588734532265
COT	3	1.306	0.9304820785212494	1.820561662715908
WNK	1	0.251	0.43369695240255224	1.7270123662404417
PKCD	6	3.409	1.5012814269688015	1.725858958524133
PKCH	7	4.173	1.6572399410197232	1.7058483385697951
PASK	1	0.26	0.4387439436893255	1.686632968144157
STE7	9	13.346	2.58836508570728	-1.6790521646263206
RIPK	6	9.8955	2.3405808914572312	-1.6643304293468302
BRSK	1	0.273	0.44561225874359794	1.6314631963891066
RSK	26	21.7445	2.621765927440729	1.6231426137092502
PDHK	20	16.183	2.5431761386966922	1.5008791337418366
AUR	5	2.9035	1.4114474279692322	1.4853546497416559
NMO	1	2.8975	1.4007050857938241	-1.3546748842741771
PKG	16	12.6245	2.4999249113285664	1.3502405551077599
AMPK	9	6.3215	1.9897530773074148	1.3461469317713608
ERK	12	15.4085	2.53689685892754	-1.3435705862480063
MLK	7	4.7135	1.7300041060944196	1.3216731636330628
NEK	3	5.4765	1.8756883678870309	-1.3203152732614027
DYRK	11	14.264	2.5590190091409193	-1.2754887667269603
MTOR	9	6.634	1.9646816502918474	1.2042663500463486
AKT	13	10.4865	2.2898557748764152	1.0976673848097074
MSN	2	1.0505	0.8702461802312628	1.0910705747052818
BARK2	0	0.7645	0.7472074072536536	-1.0231429621527774
CHK1	2	3.387	1.5222975053672734	-0.911122822647843
CK2	1	2.078	1.2035947491411219	-0.8956503015398284
TTK	0	0.536	0.6090069332301243	-0.8801213430479332
HAL	0	0.531	0.6150025317484705	-0.863411079772877
NAK	0	0.5345	0.6237020539697324	-0.8569797014424112
DMPK	29	27.0275	2.3193605728160005	0.8504499141352277
PKN	0	0.5185	0.6211687977817856	-0.8347167498618422
TLK	0	0.522	0.626667660070383	-0.8329774029529026
IRAK	5	3.683	1.5870634471225769	0.8298344986697194
NUAK	0	0.513	0.6205026283231022	-0.8267491168995912
LKB	4	2.885	1.3702969958839084	0.8136922166137939
CAMK1	7	5.5435	1.8321534169035998	0.7949661783572325
STKR	1	1.892	1.1370938796975485	-0.7844558975528562
MST	5	6.5555	1.9861752682223313	-0.7831635127509193
PKCI	4	2.903	1.4119446851406567	0.7769426178977527
GRK	2	3.1255	1.4549254805924043	-0.7735791385973448
MELK	9	7.3945	2.0820752312619053	0.7711056622228476
PRKDC	2	3.118	1.4550376515003458	-0.7683649964983289
VRK1	2	1.2845	0.9838921546012769	0.7272138482392483
MAPKAPK	11	12.8665	2.5795357629573945	-0.7235798110665034
QIK	17	18.618	2.613329436824352	-0.6191335761962521
CAMKK	0	0.2675	0.4427660453167595	-0.6041565355550869
NIK	0	0.267	0.4425029993708812	-0.6033857406155468
SGK	8	6.779	2.0308178427804098	0.6012356077826846
SLK	0	0.2645	0.44117691296606526	-0.5995327321680248
ULK	0	0.258	0.4376434232145406	-0.5895210262842767
BUD32	0	0.2575	0.43736643069324455	-0.588751175054408
MOS	0	0.257	0.43708869038403503	-0.5879813540226689
TAO	0	0.257	0.43708869038403503	-0.5879813540226689
CLK	0	0.2535	0.43512344938891084	-0.582593285551529
KHS	0	0.248	0.4319598299001004	-0.5741274600866361
MARK	1	1.5475	1.0641005144968572	-0.5145190633225816
PKA	17	15.717	2.595241537760919	0.49436631671167136
IKK	14	15.2065	2.5998533359950025	-0.4640646390686706
STE11	2	2.6165	1.3621143225566115	-0.45260518136455996
MLCK	1	1.358	0.9850488112678936	-0.3634337668396399
RAF	7	6.3115	1.9607115914821553	0.351148023498726
PAKA	8	8.727	2.222597797732474	-0.3270947180554647
NDR	1	1.309	0.9617595805321477	-0.3212861158388755
CAMK2	5	4.5025	1.7264078289894305	0.28817061162843316
GSK	5	5.52	1.870654878601988	-0.27797751789930136
ATR	3	3.4185	1.5094691114757035	-0.2772497938635269
PKD	12	11.378	2.4195129719657955	0.2570765303624886
PHK	26	25.4595	2.4183225367899075	0.223502031584862
PDK1	17	16.5605	2.556092047105628	0.17194216479710248
PKCA	32	31.7275	1.8278167870723674	0.1490849640551047
DAPK	6	6.289	1.9619897303122984	-0.1472994458304317
PEK	25	25.3525	2.451580892900991	-0.14378477211203944
ATM	1	1.026	0.8739026564363237	-0.02975159739875959
